simplified	ES	example_ES	FR	example_FR	DE	example_DE
吧	la partícula de sugerencia; vamos; ¿vale?	Vamos.	la particule de suggestion; allons-y; d'accord ?	Allons-y.	die Vorschlagspartikel; lass uns; doch	Gehen wir.
白	blanco	Esta prenda es blanca.	blanc	Ce vêtement est blanc.	weiß	Dieses Kleidungsstück ist weiß.
百	cien	Este móvil cuesta cien yuanes.	cent	Ce téléphone coûte cent yuans.	hundert	Dieses Handy kostet hundert Yuan.
帮助	ayudar; la ayuda	Por favor, ayúdame.	aider; l'aide	Aidez-moi, s'il vous plaît.	helfen; die Hilfe	Bitte hilf mir.
报纸	el periódico	Papá lee el periódico.	le journal	Papa lit le journal.	die Zeitung	Papa liest die Zeitung.
比	que; comparar	Hoy hace más calor que ayer.	que; comparer	Aujourd'hui, il fait plus chaud qu'hier.	als; vergleichen	Heute ist es heißer als gestern.
别	no; otro	No te vayas.	ne pas; autre	Ne pars pas.	nicht; andere/-r/-s	Geh nicht weg.
长	largo	Este camino es largo.	long	Cette route est longue.	lang	Diese Straße ist lang.
唱歌	cantar	A mi hermana menor le gusta cantar.	chanter	Ma petite sœur aime chanter.	singen	Meine jüngere Schwester singt gern.
出	salir	Él salió.	sortir	Il est sorti.	hinausgehen; herauskommen	Er ist hinausgegangen.
穿	llevar puesto; ponerse	Llevo ropa blanca.	porter; mettre	Je porte des vêtements blancs.	tragen; anziehen	Ich trage weiße Kleidung.
船	el barco; la barca	El barco está en el agua.	le bateau	Le bateau est sur l'eau.	das Boot; das Schiff	Das Boot ist auf dem Wasser.
次	la vez	He estado en Pekín una vez.	la fois	Je suis allé une fois à Pékin.	das Mal	Ich war einmal in Peking.
从	de; desde	Voy de casa a la escuela.	de; depuis	Je vais de la maison à l'école.	von; aus	Ich gehe von zu Hause zur Schule.
错	equivocado; el error	Te equivocas.	faux; l'erreur	Tu as tort.	falsch; der Fehler	Du liegst falsch.
打篮球	jugar al baloncesto	Mi hermano mayor está jugando al baloncesto.	jouer au basket	Mon grand frère joue au basket.	Basketball spielen	Mein älterer Bruder spielt Basketball.
大家	todos; todo el mundo	Todos han venido.	tout le monde	Tout le monde est venu.	alle; jeder	Alle sind gekommen.
但是	pero; sin embargo	Estoy muy ocupado, pero muy contento.	mais; cependant	Je suis très occupé, mais très content.	aber; jedoch	Ich bin sehr beschäftigt, aber sehr froh.
到	llegar a	He llegado a la escuela.	arriver à	Je suis arrivé à l'école.	ankommen; erreichen	Ich bin in der Schule angekommen.
得	la partícula de complemento de grado	Él corre muy rápido.	la particule de complément de degré	Il court très vite.	die Gradkomplement-Partikel	Er läuft sehr schnell.
等	esperar	Te espero.	attendre	Je t'attends.	warten	Ich warte auf dich.
弟弟	el hermano menor	El hermano menor está en casa.	le petit frère	Le petit frère est à la maison.	der jüngere Bruder	Der jüngere Bruder ist zu Hause.
第一	primero	Él es el primero.	premier	Il est premier.	der Erste; die Erste	Er ist Erster.
懂	entender	Ya entiendo.	comprendre	J'ai compris.	verstehen	Ich verstehe jetzt.
对	correcto; hacia	Tienes razón.	correct; vers	Tu as raison.	richtig; gegenüber	Du hast recht.
房间	la habitación	Esta habitación es grande.	la chambre; la pièce	Cette pièce est grande.	das Zimmer	Dieses Zimmer ist groß.
非常	muy; extremadamente	Hoy hace mucho frío.	très; extrêmement	Aujourd'hui, il fait très froid.	sehr; äußerst	Heute ist es sehr kalt.
服务员	el camarero; el empleado de servicio	El camarero está en el restaurante.	le serveur; l'employé de service	Le serveur est au restaurant.	der Kellner; die Servicekraft	Der Kellner ist im Restaurant.
高	alto	Él es alto.	grand; haut	Il est grand.	groß; hoch	Er ist groß.
告诉	decir; contar	Por favor, dímelo.	dire; raconter	Dites-le-moi, s'il vous plaît.	sagen; mitteilen	Bitte sag es mir.
哥哥	el hermano mayor	El hermano mayor trabaja.	le grand frère	Le grand frère travaille.	der ältere Bruder	Der ältere Bruder arbeitet.
给	dar; a	Te doy un libro.	donner; à	Je te donne un livre.	geben; für	Ich gebe dir ein Buch.
公共汽车	el autobús	Voy al trabajo en autobús.	le bus; l'autobus	Je vais au travail en bus.	der Bus	Ich fahre mit dem Bus zur Arbeit.
公斤	el kilogramo	Compro un kilogramo de manzanas.	le kilogramme	J'achète un kilogramme de pommes.	das Kilogramm	Ich kaufe ein Kilogramm Äpfel.
公司	la empresa	Trabajo en una empresa.	l'entreprise; la société	Je travaille dans une entreprise.	die Firma; das Unternehmen	Ich arbeite in einer Firma.
贵	caro	Este reloj es caro.	cher	Cette montre est chère.	teuer	Diese Uhr ist teuer.
过	la partícula de experiencia pasada	He estado en China.	la particule d'expérience passée	Je suis déjà allé en Chine.	die Erfahrungspartikel	Ich war schon in China.
还	todavía; también	Él todavía está en la escuela.	encore; aussi	Il est encore à l'école.	noch; auch	Er ist noch in der Schule.
孩子	el niño; la niña	Este niño está muy contento.	l'enfant	Cet enfant est très content.	das Kind	Dieses Kind ist sehr froh.
好吃	rico; sabroso	Este plato está muy rico.	bon; délicieux	Ce plat est très bon.	lecker; köstlich	Dieses Gericht ist sehr lecker.
号	el número; la fecha	Hoy es día ocho.	le numéro; la date	Aujourd'hui, nous sommes le huit.	die Nummer; das Datum	Heute ist der Achte.
黑	negro	Este gato es negro.	noir	Ce chat est noir.	schwarz	Diese Katze ist schwarz.
红	rojo	Me gustan las manzanas rojas.	rouge	J'aime les pommes rouges.	rot	Ich mag rote Äpfel.
欢迎	dar la bienvenida; bienvenido	Bienvenido a Pekín.	accueillir; bienvenue	Bienvenue à Pékin.	willkommen heißen; willkommen	Willkommen in Peking.
回答	responder; la respuesta	Por favor, responde a esta pregunta.	répondre; la réponse	Répondez à cette question, s'il vous plaît.	antworten; die Antwort	Bitte beantworte diese Frage.
机场	el aeropuerto	El aeropuerto está lejos de aquí.	l'aéroport	L'aéroport est loin d'ici.	der Flughafen	Der Flughafen ist weit von hier.
鸡蛋	el huevo	Como huevos.	l'œuf	Je mange des œufs.	das Ei	Ich esse Eier.
件	el clasificador para ropa y objetos	Compré una prenda de ropa.	le classificateur pour vêtements et objets	J'ai acheté un vêtement.	das Zähleinheitswort für Kleidung und Gegenstände	Ich habe ein Kleidungsstück gekauft.
教室	el aula	Los estudiantes están en el aula.	la salle de classe	Les étudiants sont dans la salle de classe.	das Klassenzimmer	Die Schüler sind im Klassenzimmer.
姐姐	la hermana mayor	Mi hermana mayor es médica.	la grande sœur	Ma grande sœur est médecin.	die ältere Schwester	Meine ältere Schwester ist Ärztin.
介绍	presentar; introducir	Presento a mi amigo.	présenter; introduire	Je présente mon ami.	vorstellen; einführen	Ich stelle meinen Freund vor.
进	entrar	Pase, por favor.	entrer	Entrez, s'il vous plaît.	eintreten; hineingehen	Bitte kommen Sie herein.
近	cerca; cercano	La escuela está cerca de casa.	proche; près	L'école est près de la maison.	nahe; nah	Die Schule ist in der Nähe von zu Hause.
就	entonces; enseguida; justo	Ahora mismo voy.	alors; tout de suite; justement	J'y vais maintenant.	dann; sofort; eben	Ich gehe jetzt sofort.
觉得	pensar; sentir	Creo que este plato está rico.	penser; trouver	Je trouve ce plat bon.	denken; finden	Ich finde dieses Gericht lecker.
咖啡	el café	Bebo café.	le café	Je bois du café.	der Kaffee	Ich trinke Kaffee.
开始	empezar; el comienzo	El examen ha empezado.	commencer; le début	L'examen a commencé.	beginnen; der Anfang	Die Prüfung hat begonnen.
考试	el examen	Mañana hay examen.	l'examen	Demain, il y a un examen.	die Prüfung	Morgen gibt es eine Prüfung.
可能	quizá; posible	Quizá esté en casa.	peut-être; possible	Il est peut-être à la maison.	vielleicht; möglich	Er ist vielleicht zu Hause.
可以	poder; se puede	¿Puedo ir?	pouvoir; il est possible de	Puis-je y aller ?	können; dürfen	Darf ich gehen?
课	la clase; la lección	Hoy hay clase de chino.	le cours; la leçon	Aujourd'hui, il y a cours de chinois.	der Unterricht; die Lektion	Heute gibt es Chinesischunterricht.
快	rápido; pronto	Él camina muy rápido.	rapide; bientôt	Il marche très vite.	schnell; bald	Er geht sehr schnell.
快乐	feliz; alegre	Feliz cumpleaños.	heureux; joyeux	Joyeux anniversaire.	glücklich; fröhlich	Alles Gute zum Geburtstag.
累	cansado	Estoy muy cansado.	fatigué	Je suis très fatigué.	müde	Ich bin sehr müde.
离	de; a distancia de	La escuela no está lejos de casa.	de; éloigné de	L'école n'est pas loin de la maison.	entfernt von; von	Die Schule ist nicht weit von zu Hause.
两	dos	Tengo dos hijos.	deux	J'ai deux enfants.	zwei	Ich habe zwei Kinder.
路	el camino; la carretera	Este camino es largo.	la route; le chemin	Cette route est longue.	die Straße; der Weg	Diese Straße ist lang.
旅游	viajar; el turismo	Quiero viajar a China.	voyager; le voyage	Je veux voyager en Chine.	reisen; die Reise	Ich möchte nach China reisen.
卖	vender	En esta tienda venden manzanas.	vendre	Ce magasin vend des pommes.	verkaufen	Dieses Geschäft verkauft Äpfel.
慢	lento; despacio	Más despacio, por favor.	lent; lentement	Un peu plus lentement, s'il vous plaît.	langsam	Bitte etwas langsamer.
忙	ocupado	Hoy estoy ocupado.	occupé	Je suis occupé aujourd'hui.	beschäftigt	Ich bin heute beschäftigt.
每	cada	Estudio chino todos los días.	chaque	J'étudie le chinois tous les jours.	jeder; jede; jedes	Ich lerne jeden Tag Chinesisch.
妹妹	la hermana menor	Mi hermana menor está viendo la televisión.	la petite sœur	Ma petite sœur regarde la télévision.	die jüngere Schwester	Meine jüngere Schwester sieht fern.
门	la puerta; el portón	La puerta se abrió.	la porte; le portail	La porte s'est ouverte.	die Tür; das Tor	Die Tür ist aufgegangen.
男人	el hombre	Este hombre es profesor.	l'homme	Cet homme est professeur.	der Mann	Dieser Mann ist Lehrer.
您	usted	Hola.	vous	Bonjour.	Sie	Guten Tag.
牛奶	la leche	Bebo leche.	le lait	Je bois du lait.	die Milch	Ich trinke Milch.
女人	la mujer	Esa mujer es médica.	la femme	Cette femme-là est médecin.	die Frau	Diese Frau dort ist Ärztin.
旁边	al lado; junto a	Hay una tienda al lado de la escuela.	à côté de; près de	Il y a un magasin à côté de l'école.	neben; an der Seite	Neben der Schule gibt es ein Geschäft.
跑步	correr; hacer footing	Corro por la mañana.	courir; faire du jogging	Je cours le matin.	laufen; joggen	Ich laufe morgens.
便宜	barato	Esta manzana es barata.	bon marché; pas cher	Cette pomme n'est pas chère.	billig; günstig	Dieser Apfel ist günstig.
票	el billete; la entrada	Compro un billete.	le billet; le ticket	J'achète un billet.	die Fahrkarte; die Eintrittskarte	Ich kaufe eine Fahrkarte.
妻子	la esposa	Mi esposa es profesora.	l'épouse; la femme	Ma femme est professeure.	die Ehefrau	Meine Ehefrau ist Lehrerin.
起床	levantarse	Me levanto a las seis de la mañana.	se lever	Je me lève à six heures du matin.	aufstehen	Ich stehe morgens um sechs auf.
千	mil	Esta bicicleta cuesta mil yuanes.	mille	Ce vélo coûte mille yuans.	tausend	Dieses Fahrrad kostet tausend Yuan.
晴	despejado; soleado	Hoy hace sol.	ensoleillé; dégagé	Il fait beau aujourd'hui.	sonnig; klar	Heute ist es sonnig.
去年	el año pasado	El año pasado estuve en Pekín.	l'année dernière	L'année dernière, j'étais à Pékin.	das letzte Jahr; letztes Jahr	Letztes Jahr war ich in Peking.
让	dejar; permitir	Mamá me deja estudiar.	laisser; permettre	Maman me laisse étudier.	lassen; erlauben	Mama lässt mich lernen.
上班	ir al trabajo	Voy al trabajo a las ocho.	aller au travail	Je vais au travail à huit heures.	zur Arbeit gehen	Ich gehe um acht zur Arbeit.
身体	el cuerpo; la salud	Él tiene buena salud.	le corps; la santé	Il est en bonne santé.	der Körper; die Gesundheit	Er ist gesund.
生病	enfermarse	Él se enfermó.	tomber malade	Il est tombé malade.	krank werden	Er ist krank geworden.
生日	el cumpleaños	Hoy es mi cumpleaños.	l'anniversaire	Aujourd'hui, c'est mon anniversaire.	der Geburtstag	Heute ist mein Geburtstag.
时间	el tiempo	No tengo tiempo.	le temps	Je n'ai pas le temps.	die Zeit	Ich habe keine Zeit.
事情	el asunto; la cosa	Tengo algo que hacer.	l'affaire; la chose	J'ai quelque chose à faire.	die Sache; die Angelegenheit	Ich habe etwas zu erledigen.
手表	el reloj de pulsera	Este reloj es nuevo.	la montre	Cette montre est neuve.	die Armbanduhr	Diese Armbanduhr ist neu.
手机	el móvil	Mi móvil está en la mesa.	le portable; le téléphone portable	Mon portable est sur la table.	das Handy	Mein Handy liegt auf dem Tisch.
送	regalar; enviar	Te regalo un libro.	envoyer; offrir	Je t'offre un livre.	schenken; senden	Ich schenke dir ein Buch.
所以	por eso; por lo tanto	Hoy llueve, por eso no voy.	donc; par conséquent	Il pleut aujourd'hui, donc je n'y vais pas.	deshalb; daher	Heute regnet es, deshalb gehe ich nicht.
它	ello; eso	Es mi gato.	il; elle; cela	C'est mon chat.	es	Es ist meine Katze.
踢足球	jugar al fútbol	Ellos juegan al fútbol.	jouer au football	Ils jouent au football.	Fußball spielen	Sie spielen Fußball.
题	la pregunta; el ejercicio	Este ejercicio no es correcto.	la question; le sujet	Cette question n'est pas correcte.	die Frage; die Aufgabe	Diese Aufgabe ist nicht richtig.
跳舞	bailar	A ella le gusta bailar.	danser	Elle aime danser.	tanzen	Sie tanzt gern.
外	fuera; exterior	Está fuera, delante de la puerta.	dehors; extérieur	Il est dehors, devant la porte.	außen; außerhalb	Er ist vor der Tür.
完	terminar	He terminado.	finir	J'ai fini.	fertig sein; beenden	Ich bin fertig.
玩	jugar; divertirse	El niño está jugando.	jouer; s'amuser	L'enfant joue.	spielen; Spaß haben	Das Kind spielt.
晚上	la noche; la tarde-noche	Por la noche veo una película.	le soir; la nuit	Le soir, je regarde un film.	der Abend; die Nacht	Abends sehe ich einen Film.
为什么	por qué	¿Por qué no vas?	pourquoi	Pourquoi n'y vas-tu pas ?	warum	Warum gehst du nicht?
问	preguntar	Pregunto al profesor.	demander	Je demande au professeur.	fragen	Ich frage den Lehrer.
问题	la pregunta; el problema	Tengo una pregunta.	la question; le problème	J'ai une question.	die Frage; das Problem	Ich habe eine Frage.
西瓜	la sandía	Como sandía.	la pastèque	Je mange de la pastèque.	die Wassermelone	Ich esse Wassermelone.
希望	esperar; la esperanza	Espero que vengas.	espérer; l'espoir	J'espère que tu viendras.	hoffen; die Hoffnung	Ich hoffe, dass du kommst.
洗	lavar	Lavo la ropa.	laver	Je lave les vêtements.	waschen	Ich wasche Kleidung.
向	hacia; en dirección a	Él camina hacia mí.	vers; en direction de	Il marche vers moi.	in Richtung; zu	Er geht auf mich zu.
小时	la hora	Estudio dos horas.	l'heure	J'étudie deux heures.	die Stunde	Ich lerne zwei Stunden.
笑	sonreír; reír	Ella sonrió.	sourire; rire	Elle a souri.	lächeln; lachen	Sie hat gelächelt.
新	nuevo	Este es un libro nuevo.	nouveau	C'est un nouveau livre.	neu	Das ist ein neues Buch.
姓	el apellido; apellidarse	¿Cuál es su apellido?	le nom de famille; s'appeler	Quel est votre nom de famille ?	der Familienname; heißen	Wie ist Ihr Familienname?
休息	descansar; el descanso	Quiero descansar.	se reposer; le repos	Je veux me reposer.	sich ausruhen; die Pause	Ich möchte mich ausruhen.
雪	la nieve	Hoy nieva.	la neige	Il neige aujourd'hui.	der Schnee	Heute schneit es.
颜色	el color	Me gusta este color.	la couleur	J'aime cette couleur.	die Farbe	Ich mag diese Farbe.
眼睛	el ojo; los ojos	Ella tiene los ojos grandes.	l'œil; les yeux	Elle a de grands yeux.	das Auge; die Augen	Sie hat große Augen.
羊肉	la carne de cordero; el cordero	No como cordero.	la viande de mouton; l'agneau	Je ne mange pas de mouton.	das Lammfleisch; das Hammelfleisch	Ich esse kein Lammfleisch.
药	la medicina; el medicamento	Él toma un medicamento.	le médicament	Il prend un médicament.	die Medizin; das Medikament	Er nimmt ein Medikament.
要	querer; tener que	Quiero beber agua.	vouloir; devoir	Je veux boire de l'eau.	wollen; müssen	Ich möchte Wasser trinken.
也	también	Yo también voy.	aussi; également	J'y vais aussi.	auch	Ich gehe auch.
已经	ya	Ya he llegado.	déjà	Je suis déjà arrivé.	schon; bereits	Ich bin schon angekommen.
一起	juntos	Vamos juntos.	ensemble	Nous y allons ensemble.	zusammen	Wir gehen zusammen.
意思	el significado; el sentido	¿Qué significa este carácter?	le sens; la signification	Que signifie ce caractère ?	die Bedeutung; der Sinn	Was bedeutet dieses Schriftzeichen?
阴	nublado; cubierto	Hoy está nublado.	couvert; nuageux	Aujourd'hui, le temps est couvert.	bewölkt; bedeckt	Heute ist es bewölkt.
因为	porque; debido a	Como llueve, no voy.	parce que; à cause de	Comme il pleut, je n'y vais pas.	weil; wegen	Weil es regnet, gehe ich nicht.
游泳	nadar	Sé nadar.	nager	Je sais nager.	schwimmen	Ich kann schwimmen.
右边	la derecha; el lado derecho	La tienda está a la derecha.	la droite; le côté droit	Le magasin est à droite.	die rechte Seite; rechts	Das Geschäft ist rechts.
鱼	el pez; el pescado	Como pescado.	le poisson	Je mange du poisson.	der Fisch	Ich esse Fisch.
元	el yuan	Esta taza cuesta diez yuanes.	le yuan	Cette tasse coûte dix yuans.	der Yuan	Diese Tasse kostet zehn Yuan.
远	lejos; lejano	El aeropuerto está lejos.	loin; éloigné	L'aéroport est loin.	weit; entfernt	Der Flughafen ist weit weg.
运动	el deporte; el ejercicio	Me gusta hacer deporte.	le sport; l'exercice	J'aime faire du sport.	der Sport; die Bewegung	Ich mag Sport.
再	otra vez; luego	Mañana volveré.	de nouveau; ensuite	Je reviendrai demain.	wieder; dann	Ich komme morgen wieder.
早上	la mañana	Por la mañana bebo té.	le matin	Le matin, je bois du thé.	der Morgen	Morgens trinke ich Tee.
张	el clasificador para objetos planos	Compré un billete.	le classificateur pour objets plats	J'ai acheté un billet.	das Zähleinheitswort für flache Gegenstände	Ich habe eine Fahrkarte gekauft.
丈夫	el marido	Su marido es médico.	le mari	Son mari est médecin.	der Ehemann	Ihr Ehemann ist Arzt.
找	buscar; encontrar	Busco a un amigo.	chercher; trouver	Je cherche un ami.	suchen; finden	Ich suche einen Freund.
着	la partícula de acción o estado continuo	La puerta está abierta.	la particule d'action ou d'état continu	La porte est ouverte.	die Partikel für eine andauernde Handlung oder einen Zustand	Die Tür ist offen.
真	realmente; verdadero	Este libro es realmente bueno.	vraiment; vrai	Ce livre est vraiment bon.	wirklich; echt	Dieses Buch ist wirklich gut.
正在	estar en proceso de	Él está viendo la televisión.	être en train de	Il est en train de regarder la télévision.	gerade dabei sein	Er sieht gerade fern.
知道	saber	No lo sé.	savoir	Je ne sais pas.	wissen	Ich weiß es nicht.
准备	prepararse; preparar; la preparación	Me preparo para el examen.	préparer; se préparer; la préparation	Je me prépare pour l'examen.	sich vorbereiten; vorbereiten; die Vorbereitung	Ich bereite mich auf die Prüfung vor.
自行车	la bicicleta	Mi bicicleta es nueva.	le vélo	Mon vélo est neuf.	das Fahrrad	Mein Fahrrad ist neu.
走	caminar; ir	Voy caminando a casa.	marcher; aller	Je rentre à pied.	gehen; laufen	Ich gehe zu Fuß nach Hause.
最	el más; lo más	Él es el más alto.	le plus	Il est le plus grand.	am meisten; -ste	Er ist am größten.
左边	la izquierda; el lado izquierdo	La escuela está a la izquierda.	la gauche; le côté gauche	L'école est à gauche.	die linke Seite; links	Die Schule ist auf der linken Seite.
