simplified	RO	example_RO
啊	particulă modală de acord sau confirmare	Bine, atunci să mergem acum.
阿姨	mătușă; bonă; doamnă mai în vârstă	Mătușa lucrează într-un magazin mare.
矮	scund; jos	Masa aceasta este puțin joasă.
爱好	un hobby; un interes	Hobbyul meu este să ascult muzică.
安静	liniștit; calm	În bibliotecă este foarte liniște.
把	a ține; a apuca; particulă de obiect	Vă rog, închideți ușa.
搬	a se muta; a muta	Ne mutăm mâine.
班	o clasă; o echipă	În clasa noastră sunt douăzeci de elevi.
办法	o metodă; o cale	Metoda aceasta este foarte bună.
办公室	un birou	Directorul este în birou.
半	jumătate; semi-	Am așteptat o jumătate de oră.
帮忙	a ajuta; a da o mână de ajutor	Poți să mă ajuți?
包	a înveli; a ține; o geantă	Ea a cumpărat o geantă nouă.
饱	sătul; a se sătura	Am mâncat deja pe săturate.
北方	nord; partea de nord	Iarna în nord este foarte rece.
被	marcă pasivă; de către	Bicicleta mea a fost împrumutată de un prieten.
鼻子	un nas	Nasul lui este puțin roșu.
比较	a compara; destul de	Astăzi este destul de cald.
比赛	un meci; o competiție	Meciul acesta este foarte important.
笔记本	un caiet	Am pus caietul pe masă.
必须	a trebui; necesar	Trebuie să repeți cu atenție.
变化	o schimbare; a se schimba	Orașul acesta s-a schimbat mult.
别人	alții; alte persoane	Nu lua lucrurile altora.
冰箱	un frigider	Fructele sunt în frigider.
不但…而且…	nu numai... ci și...	El nu este doar deștept, ci și harnic.
菜单	un meniu	Vă rog să-mi dați un meniu.
参加	a participa; a lua parte	Vreau să particip la această ședință.
草	iarbă	Cățelul aleargă pe iarbă.
层	un etaj; un strat	Clădirea aceasta are trei etaje.
差	a diferi; a lipsi; rău	Vremea este rea astăzi.
超市	un magazin mare	Merg la magazinul mare să cumpăr pâine.
衬衫	o cămașă; o bluză	Cămașa aceasta este foarte curată.
城市	un oraș	Beijingul este un oraș mare.
成绩	note; rezultate	Notele lui la matematică sunt foarte bune.
迟到	a întârzia	Nu întârzia la ore.
除了	în afară de; pe lângă	Pe lângă cafea, mai vreau și ceai.
船	o barcă; o navă	Mergem cu barca în orașul acela.
春	primăvară	Primăvara sunt multe flori.
词典	un dicționar	Dicționarul acesta este foarte util.
聪明	deștept; inteligent	Copilul acesta este foarte deștept.
打扫	a face curat; a mătura	Fac curat în cameră la sfârșit de săptămână.
打算	a plănui; a intenționa	Ce planuri ai pentru mâine?
带	a aduce; a lua cu sine	Vă rog să vă aduceți pașaportul.
担心	îngrijorat; a-și face griji	Nu-ți face griji, te voi ajuta.
蛋糕	o prăjitură; un tort	Prăjitura aceasta este foarte dulce.
当然	desigur; bineînțeles	Desigur că poți.
地	particulă adverbială	El a zâmbit fericit.
灯	o lampă; o lumină	Vă rog să aprindeți lumina.
地方	un loc; o zonă	Locul acesta este foarte liniștit.
地铁	metrou	Merg cu metroul la serviciu în fiecare zi.
地图	o hartă	Caut școala pe hartă.
电梯	un lift	Liftul este în stânga.
电子邮件	un mesaj electronic	Îi trimit profesorului un mesaj electronic.
东	est	Soarele răsare din est.
冬	iarnă	Iarna îmi place să beau ceai fierbinte.
动物	un animal	Panda este un animal faimos în China.
短	scurt	Pantalonii aceștia sunt prea scurți.
段	un paragraf; o secțiune	Vă rog să citiți acest paragraf.
锻炼	a face mișcare; a se antrena	Fac mișcare în fiecare dimineață.
多么	cât de; ce	Cât de bun este mediul de aici!
饿	flămând; a-i fi foame	Mi-e foame și vreau să mănânc pâine.
耳朵	o ureche	Mă doare puțin urechea.
发	a trimite; a emite	Trimit mesaje electronice seara.
发烧	a avea febră	El are febră și nu poate merge la școală.
发现	a descoperi; a găsi	Am descoperit că metoda aceasta este bună.
方便	convenabil; comod	Este comod să iei metroul.
放	a pune; a elibera	Vă rog să puneți cartea pe masă.
放心	a sta liniștit; a nu-și face griji	Nu-ți face griji, voi ajunge la timp.
分	a împărți; a separa	Vă rog să împărțiți prăjitura tuturor.
复习	a recapitula; recapitulare	Trebuie să recapitulez înainte de examen.
附近	în apropiere; zona din apropiere	În apropiere este un restaurant.
干净	curat; îngrijit	Camera aceasta este foarte curată.
感冒	a răci; răceală	Am răcit și vreau să mă odihnesc.
感兴趣	a fi interesat	Sunt foarte interesat de limba chineză.
刚才	adineaori; chiar acum	Cine te-a sunat adineaori?
个子	înălțime; statură	El este înalt.
根据	potrivit; pe baza	Potrivit hărții, școala este la est.
跟	cu; a urma	Merg în parc cu un prieten.
更	mai; și mai	Astăzi este și mai frig decât ieri.
公斤	un kilogram	Merele acestea cântăresc un kilogram.
公园	un parc	Copiii se joacă în parc.
故事	o poveste	Bunicul îmi spune o poveste.
刮风	a bate vântul	Astăzi bate vântul; nu merge cu bicicleta.
关	a închide; a opri	Vă rog să închideți ușa.
关系	o relație	Relația mea cu colegul este bună.
关心	a avea grijă; a se preocupa	Mama se preocupă mult de sănătatea mea.
关于	despre; privind	Cartea aceasta este despre cultura chineză.
国家	o țară; un stat	China este o țară foarte mare.
过	particulă de experiență; a fi făcut ceva	Am fost la Beijing.
过去	trecut; înainte	Înainte nu era metrou aici.
还是	sau; totuși	Bei ceai sau cafea?
害怕	a se teme; a-i fi frică	Nu mi-e frică de examen.
黑板	o tablă	Profesorul scrie caractere pe tablă.
后来	mai târziu; după aceea	Mai târziu am mers în parc.
护照	un pașaport	Vă rog să vă aduceți pașaportul.
96:花	a cheltui; a costa	Cumpărarea telefonului a costat două mii de yuani.
97:花	o floare	Pe masă este o floare.
画	a desena; un desen; o pictură	Sora mea mai mică vrea să deseneze panda.
坏	rău; stricat	Calculatorul meu s-a stricat.
欢迎	a primi cu plăcere; bine ai venit	Bine ai venit la mine acasă.
环境	mediu; împrejurări	Mediul acestei școli este foarte bun.
还	a returna; a da înapoi	Vă rog să-mi returnați cartea mâine.
换	a schimba; a înlocui	Vreau să schimb o cămașă.
黄河	Fluviul Galben	Fluviul Galben este foarte lung.
回答	a răspunde; răspuns	Vă rog să răspundeți la întrebarea mea.
会议	o ședință; o conferință	Ședința începe la ora nouă.
或者	sau; poate	Poți lua metroul sau autobuzul.
几乎	aproape	El face mișcare aproape în fiecare zi.
机会	o ocazie; o șansă	Aceasta este o ocazie bună.
极	extrem de; foarte	Ea este extrem de fericită.
季节	un anotimp	Toamna este anotimpul meu preferat.
记得	a-și aminti	Îți amintești să aduci cardul de credit?
检查	a verifica; a examina	Doctorul mă examinează.
简单	simplu; necomplicat	Propoziția aceasta este foarte simplă.
健康	sănătate; sănătos	Mișcarea este bună pentru sănătate.
见面	a se întâlni	Ne vom întâlni mâine la școală.
讲	a explica; a vorbi	Profesorul explică foarte clar.
教	a preda; a învăța pe cineva	El mă învață să scriu caractere chinezești.
脚	un picior	Mă doare puțin piciorul.
角	un colț; un unghi	Magazinul este la colțul străzii.
接	a lua pe cineva; a primi; a răspunde	Merg la aeroport să iau un prieten.
街道	o stradă	Strada aceasta este foarte curată.
结婚	a se căsători	Ei se vor căsători anul viitor.
结束	a se termina; a încheia	Meciul s-a terminat deja.
节目	o emisiune	Emisiunea aceasta la televizor este foarte bună.
节日	o sărbătoare; un festival	Sărbătoarea Primăverii este o sărbătoare chineză importantă.
解决	a rezolva	Problema aceasta a fost deja rezolvată.
借	a împrumuta; a da cu împrumut	Vreau să împrumut dicționarul tău.
经常	adesea; frecvent	Merg des la bibliotecă.
经过	a trece pe lângă; proces	Trec prin parcul acesta în fiecare zi.
经理	un director; un responsabil	Directorul este la ședință.
久	mult timp	Locuiesc aici de mult timp.
旧	vechi; folosit	Haina aceasta este foarte veche.
句子	o propoziție	Vă rog să scrieți o propoziție.
决定	a decide; o decizie	Am decis să studiez chineza.
可爱	drăguț; adorabil	Pisica aceasta este foarte drăguță.
渴	însetat	Mi-e sete și vreau să beau apă.
刻	un sfert de oră; moment	Este opt și un sfert.
客人	un oaspete; un client	Astăzi a venit un oaspete la noi acasă.
空调	aer condiționat	Vă rog să porniți aerul condiționat.
口	gură; înghițitură; clasificator pentru persoane sau animale	El a luat o înghițitură de apă.
哭	a plânge	De ce plânge copilul?
裤子	pantaloni	Pantalonii aceștia sunt noi.
筷子	bețișoare	Pot să mănânc cu bețișoare.
蓝	albastru	Cerul este albastru.
老	bătrân; în vârstă	Profesorul meu nu este bătrân.
离开	a pleca; a părăsi	El pleacă mâine din Beijing.
礼物	un cadou	Acesta este un cadou pentru tine.
历史	istorie	Îmi place istoria Chinei.
脸	o față	Fața ei este foarte roșie.
练习	a exersa; exercițiu	Vă rog să exersați mai mult vorbitul în chineză.
辆	clasificator pentru vehicule	La ușă este un taxi.
聊天	a discuta; a sta de vorbă	Stau de vorbă cu un prieten.
了解	a înțelege; a afla	Vreau să înțeleg cultura chineză.
邻居	un vecin	Vecinul meu este foarte amabil.
留学	a studia în străinătate	Ea își face studiile în China.
楼	o clădire; un etaj	Biroul este la etajul al treilea.
绿	verde	Primăvara copacii s-au făcut verzi.
马	un cal	Calul acela aleargă foarte repede.
马上	imediat; îndată	Mă întorc imediat.
满意	mulțumit; satisfăcut	Sunt foarte mulțumit de această cameră.
帽子	o pălărie; o șapcă	Pălăria aceasta este foarte frumoasă.
米	un metru; orez	Masa aceasta are doi metri lungime.
面包	pâine	Mănânc pâine la micul dejun.
明白	a înțelege; clar	Înțeleg ce vrei să spui.
拿	a lua; a ține	Vă rog să luați o carte pentru mine.
奶奶	bunica paternă; bunica	Bunicii îi place să asculte muzică.
南	sud	Școala este în sudul orașului.
难	dificil; greu	Întrebarea aceasta nu este grea.
难过	trist; mâhnit	Ea este puțin tristă astăzi.
年级	clasă; an școlar	Sora mea mai mică este în clasa a treia.
年轻	tânăr	Directorul acesta este foarte tânăr.
鸟	o pasăre	În copac este o pasăre.
努力	efort; a se strădui	El învață foarte conștiincios.
爬山	a urca pe munte; drumeție	Mergem pe munte la sfârșitul acesta de săptămână.
盘子	o farfurie; o tavă	Pe masă sunt trei farfurii.
胖	gras; plinuț	Câinele acesta este puțin gras.
啤酒	bere	Tata nu bea bere.
皮鞋	pantofi de piele	Această pereche de pantofi de piele este scumpă.
瓶子	o sticlă	În sticlă este apă.
其实	de fapt; în realitate	De fapt, nu-mi place berea.
其他	alt; ceilalți	Ceilalți colegi au venit toți.
奇怪	ciudat; straniu	Sunetul acesta este foarte ciudat.
骑	a merge călare; a merge cu	El merge cu bicicleta la serviciu în fiecare zi.
起飞	a decola	Avionul va decola în curând.
起来	a se ridica; în sus	Vă rog să vă ridicați.
清楚	clar; limpede	Ai vorbit foarte clar.
请假	a cere liber	El a răcit și trebuie să ceară liber.
秋	toamnă	Vremea toamna este plăcută.
裙子	o fustă	Fusta aceasta este foarte frumoasă.
然后	apoi; după aceea	Mai întâi mănânc, apoi fac temele.
热情	cald; entuziast	Prietenii chinezi sunt foarte calzi.
认为	a crede; a considera	Cred că metoda aceasta este bună.
认真	serios; atent	Vă rog să ascultați profesorul cu atenție.
容易	ușor	Caracterul chinezesc acesta este ușor de scris.
如果	dacă	Dacă plouă, vom lua metroul.
伞	o umbrelă	Plouă; te rog să iei o umbrelă.
上网	a intra online	Seara intru online ca să verific harta.
声音	o voce; un sunet	Vocea ta sună frumos.
生气	supărat; furios	Nu te supăra; nu am făcut-o intenționat.
世界	lume	Lumea este foarte mare.
试	a încerca; test	Vreau să încerc această pereche de pantofi de piele.
瘦	slab; subțire	El este mai slab decât înainte.
叔叔	unchi	Unchiul mă duce cu mașina la școală.
舒服	confortabil; a se simți bine	Scaunul acesta este confortabil.
数学	matematică	Ora de matematică este interesantă.
树	un copac	În fața casei este un copac.
刷牙	a se spăla pe dinți	Mă spăl pe dinți în fiecare dimineață.
双	pereche; dublu	Am cumpărat o pereche de pantofi de piele.
水平	nivel; normă	Nivelul lui de chineză este ridicat.
司机	un șofer	Șoferul ne așteaptă la ușă.
太阳	soare	Soarele este puternic astăzi.
特别	mai ales; special	Emisiunea aceasta este deosebit de interesantă.
疼	a durea; dureros	Mă doare piciorul.
提高	a ridica; a îmbunătăți	Mai multă practică poate îmbunătăți nivelul de chineză.
体育	sport; educație fizică	Îmi place ora de sport.
甜	dulce	Băutura aceasta este prea dulce.
条	clasificator pentru obiecte lungi; bucată	Am cumpărat o fustă.
同事	un coleg de serviciu	Colegul meu este foarte ocupat.
同意	a fi de acord	Sunt de acord cu decizia ta.
头发	păr	Părul ei este lung.
突然	brusc; dintr-odată	El a plecat brusc.
图书馆	o bibliotecă	Biblioteca nu este deschisă astăzi.
腿	un picior	După ce am urcat pe munte, mă dor picioarele.
完成	a termina; a finaliza	Am terminat deja temele.
碗	un bol; un castron	Pe masă sunt două boluri.
万	zece mii; foarte multe	Orașul acesta are zece mii de oameni.
忘记	a uita	Nu uita să-ți aduci pașaportul.
为	pentru; din cauza	Mă bucur pentru tine.
为了	pentru; ca să	Pentru examen, el recapitulează în fiecare zi.
位	clasificator politicos pentru persoane	Profesorul acesta este foarte cunoscut.
文化	cultură; civilizație	Vreau să înțeleg cultura chineză.
西	vest	Banca este la vest de școală.
习惯	obicei; a fi obișnuit	Sunt obișnuit să fac mișcare dimineața.
洗手间	toaletă; baie	Toaleta este în dreapta.
洗澡	a face duș; a se spăla	Fac duș seara.
夏	vară	Vara este foarte cald.
先	mai întâi; înainte	Tu mănâncă mai întâi.
相信	a crede	Cred că el va veni.
香蕉	o banană	Am cumpărat trei banane.
像	a semăna cu; a fi ca	Norul acesta seamănă cu o pasăre.
向	către; spre	Vă rog să mergeți spre stânga.
小心	a fi atent; a avea grijă	Plouă; ai grijă pe drum.
校长	un director de școală	Directorul școlii este în birou.
新闻	știri	Tata urmărește știrile în fiecare zi.
新鲜	proaspăt	Fructele acestea sunt foarte proaspete.
信用卡	un card de credit	Pot plăti cu cardul de credit?
行李箱	o valiză	Valiza mea este grea.
熊猫	un panda	Copiilor le place să privească panda.
需要	a avea nevoie; a trebui	Am nevoie de ajutorul tău.
选择	a alege; o alegere	Ce cămașă alegi?
要求	a cere; a solicita	Profesorul ne cere să facem temele cu atenție.
爷爷	bunicul patern; bunicul	Bunicul merge în parc în fiecare zi.
一直	mereu; continuu	El te așteaptă de mult timp.
一定	cu siguranță; neapărat	Cu siguranță voi veni.
一共	în total	Cât costă aceste cărți în total?
一会儿	o clipă; un timp scurt	Vă rog să mă așteptați o clipă.
一样	la fel; același	Aceste două căni au aceeași mărime.
以前	înainte; odinioară	Înainte locuiam la Beijing.
一般	obișnuit; mediu	Mâncarea de la acest restaurant este mediocră.
一边	o parte; în timp ce	El ascultă muzică în timp ce face temele.
音乐	muzică	Îmi place muzica chineză.
银行	o bancă	Banca este lângă magazinul mare.
饮料	o băutură	Băutura aceasta are gust bun.
应该	ar trebui; trebuie	Ar trebui să te odihnești mai mult.
影响	influență; a influența	Vremea va influența meciul.
用	a folosi; a utiliza	Folosesc calculatorul ca să fac temele.
游戏	un joc	Copiii se joacă.
有名	faimos; cunoscut	Restaurantul acesta este foarte cunoscut.
又	din nou; iarăși	El a întârziat din nou astăzi.
遇到	a întâlni; a da peste	L-am întâlnit pe profesor pe stradă.
元	yuan; unitate monetară	Dicționarul acesta costă cincizeci de yuani.
愿意	a vrea; a fi dispus	Ești dispus să participi?
月亮	luna	Luna este luminoasă în seara aceasta.
越	cu cât... cu atât...	Cu cât învăț mai mult chineza, cu atât devine mai interesantă.
站	o stație; a sta în picioare	El stă în picioare la ușă.
张	clasificator pentru obiecte plate; foaie	Vă rog să-mi dați o hartă.
长	a crește	Copiii cresc repede.
着急	a se îngrijora; a fi neliniștit	Nu te îngrijora; liftul va veni curând.
照顾	a avea grijă de	Ea are grijă de bunica ei bolnavă.
照片	o fotografie	Fotografia aceasta arată bine.
照相机	un aparat foto	Folosesc aparatul foto ca să fac fotografii.
283:只	doar; numai	Beau doar o cană de ceai.
284:只	clasificator pentru animale	Sub masă este o pisică.
只有…才…	doar dacă... atunci...	Doar dacă recapitulezi atent vei putea lua bine examenul.
中间	mijloc; între	Masa este în mijlocul camerei.
中文	limba chineză; scriere chineză	Studiez chineza în fiecare zi.
终于	în sfârșit	În sfârșit am ajuns.
种	un fel; un tip	Ce fel de băutură îți place?
重要	important	Pașaportul este foarte important.
周末	sfârșit de săptămână	Vreau să merg în parc la sfârșit de săptămână.
主要	principal; major	Hobbyul lui principal este muzica.
注意	a fi atent; a acorda atenție	Vă rog să fiți atenți la profesor.
自己	însuși; singur	Vreau să fac temele singur.
自行车	o bicicletă	Bicicleta mea este jos.
总是	întotdeauna	El ajunge întotdeauna devreme la birou.
嘴	o gură	Vă rog să deschideți gura.
最后	ultimul; în cele din urmă	În cele din urmă, am fost toți de acord.
最近	recent; în ultima vreme	În ultima vreme am fost ocupat.
作业	teme; lucrare	Încă nu am terminat temele.
