simplified	TL	example_TL
啊	panandang pangwakas ng pagsang-ayon o pagpapatibay	Sige, umalis na tayo ngayon.
阿姨	tiya; ale; tagapag-alaga ng bata	Nagtatrabaho sa malaking tindahan ang ale.
矮	mababa; pandak	Medyo mababa ang mesang ito.
爱好	libangan; hilig	Ang libangan ko ay makinig ng musika.
安静	tahimik; payapa	Napakatahimik sa aklatan.
把	hawakan; panandang pang-ayos ng layon	Pakisara ang pinto.
搬	lumipat; maglipat	Lilipat kami ng bahay bukas.
班	klase; pangkat	May dalawampung estudyante sa klase namin.
办法	paraan; solusyon	Maganda ang paraang ito.
办公室	opisina	Nasa opisina ang tagapamahala.
半	kalahati; kalahating	Naghintay ako ng kalahating oras.
帮忙	tumulong; tulong	Makatutulong ka ba?
包	bag; balutin; saklawin	Bumili siya ng bagong bag.
饱	busog	Busog na ako.
北方	hilaga; hilagang bahagi	Malamig ang taglamig sa hilaga.
被	panandang pasibo	Hiniram ng kaibigan ang bisikleta ko.
鼻子	ilong	Medyo pula ang ilong niya.
比较	ikumpara; medyo	Medyo mainit ngayon.
比赛	laban; paligsahan	Napakahalaga ng laban na ito.
笔记本	kuwaderno; talaang-sulatan	Inilagay ko ang kuwaderno sa mesa.
必须	kailangan; dapat	Kailangan mong magrepaso nang mabuti.
变化	pagbabago; magbago	Malaki ang ipinagbago ng lungsod na ito.
别人	ibang tao	Huwag kunin ang gamit ng ibang tao.
冰箱	ref; refrigerator	Nasa ref ang mga prutas.
不但…而且…	hindi lamang… kundi pati…	Hindi lamang siya matalino, masipag din siya.
菜单	menu; talaan ng pagkain	Pakibigyan ako ng isang menu.
参加	sumali; dumalo	Gusto kong dumalo sa pulong na ito.
草	damo	Tumatakbo sa damo ang tuta.
层	palapag; patong	May tatlong palapag ang gusaling ito.
差	masama; kulang; magkaiba	Masama ang panahon ngayon.
超市	malaking tindahan; supermarket	Pupunta ako sa malaking tindahan para bumili ng tinapay.
衬衫	polo; blusa	Napakalinis ng polong ito.
城市	lungsod	Malaking lungsod ang Beijing.
成绩	marka; resulta	Maganda ang marka niya sa matematika.
迟到	mahuli; dumating nang huli	Huwag mahuli sa klase.
除了	maliban sa; bukod sa	Bukod sa kape, gusto ko rin ng tsaa.
船	bangka; barko	Sasakay kami ng bangka papunta sa lungsod na iyon.
春	tagsibol	Maraming bulaklak sa tagsibol.
词典	diksyunaryo	Napaka-kapaki-pakinabang ng diksyunaryong ito.
聪明	matalino	Napakamatalino ng batang ito.
打扫	maglinis; magwalis	Naglilinis ako ng kuwarto tuwing katapusan ng linggo.
打算	magplano; balak; plano	Ano ang plano mo bukas?
带	dalhin; magsama	Pakidalhin ang pasaporte mo.
担心	mag-alala; pag-aalala	Huwag kang mag-alala, tutulungan kita.
蛋糕	keyk	Napakatamis ng keyk na ito.
当然	siyempre; tiyak	Siyempre puwede.
地	panandang pang-abay	Ngumiti siya nang masaya.
灯	ilaw	Pakibuksan ang ilaw.
地方	lugar	Napakatahimik ng lugar na ito.
地铁	subway; tren sa ilalim ng lupa	Araw-araw akong sumasakay ng subway papunta sa trabaho.
地图	mapa	Hinahanap ko ang paaralan sa mapa.
电梯	asensor	Nasa kaliwa ang asensor.
电子邮件	email	Nagpapadala ako ng email sa guro.
东	silangan	Sumisikat ang araw mula sa silangan.
冬	taglamig	Sa taglamig, gusto kong uminom ng mainit na tsaa.
动物	hayop	Sikat na hayop sa Tsina ang panda.
短	maikli	Masyadong maikli ang pantalong ito.
段	talata; bahagi	Pakibasa ang talatang ito.
锻炼	mag-ehersisyo; magsanay	Nag-eehersisyo ako tuwing umaga.
多么	gaano; kay	Gaano kaganda ang kapaligiran dito!
饿	gutom	Gutom ako at gusto kong kumain ng tinapay.
耳朵	tainga	Medyo masakit ang tainga ko.
发	magpadala; maglabas	Nagpapadala ako ng email sa gabi.
发烧	lagnatin	May lagnat siya kaya hindi siya makapapasok sa paaralan.
发现	matuklasan; makita	Nakita kong maganda ang paraang ito.
方便	maginhawa; kombinyente	Maginhawang sumakay ng subway.
放	ilagay; pakawalan	Pakilagay ang libro sa mesa.
放心	mapanatag; huwag mag-alala	Mapanatag ka, darating ako sa oras.
分	hatiin; ipamahagi	Pakihati ang keyk sa lahat.
复习	magrepaso; repasuhin	Kailangan kong magrepaso bago ang pagsusulit.
附近	malapit; paligid	May isang restawran sa malapit.
干净	malinis	Napakalinis ng kuwartong ito.
感冒	sipunin; sipon	Sipon ako at gusto kong magpahinga.
感兴趣	maging interesado	Interesado ako sa wikang Tsino.
刚才	kanina lang	Sino ang tumawag sa iyo kanina lang?
个子	tangkad; pangangatawan	Matangkad siya.
根据	ayon sa; batay sa	Ayon sa mapa, nasa silangan ang paaralan.
跟	kasama; sumunod	Pupunta ako sa parke kasama ang kaibigan.
更	mas; lalo	Mas malamig ngayon kaysa kahapon.
公斤	kilogramo	Isang kilogramo ang bigat ng mga mansanas na ito.
公园	parke	Naglalaro ang mga bata sa parke.
故事	kuwento	Ikinukuwento ni Lolo sa akin ang isang kuwento.
刮风	mahangin	Mahangin ngayon, huwag kang magbisikleta.
关	isara; patayin	Pakisara ang pinto.
关系	relasyon	Maganda ang relasyon ko sa katrabaho ko.
关心	magmalasakit; alagaan	Malaking malasakit ng nanay ko sa kalusugan ko.
关于	tungkol sa	Tungkol sa kulturang Tsino ang librong ito.
国家	bansa	Malaking bansa ang Tsina.
过	pananda ng karanasan	Nakapunta na ako sa Beijing.
过去	nakaraan; dati	Dati, walang subway dito.
还是	o; o kaya	Iinom ka ba ng tsaa o kape?
害怕	takot; matakot	Hindi ako natatakot sa pagsusulit.
黑板	pisara	Nagsusulat ang guro ng mga karakter sa pisara.
后来	kalaunan; pagkatapos	Pagkatapos, pumunta kami sa parke.
护照	pasaporte	Pakidalhin ang pasaporte mo.
96:花	gumastos; gumugol	Gumastos ng dalawang libong yuan sa pagbili ng cellphone.
97:花	bulaklak	May isang bulaklak sa mesa.
画	gumuhit; larawan	Mahilig gumuhit ng panda ang nakababata kong kapatid.
坏	sira; masama	Sira ang kompyuter ko.
欢迎	salubungin; maligayang pagdating	Maligayang pagdating sa bahay ko.
环境	kapaligiran	Maganda ang kapaligiran ng paaralang ito.
还	ibalik	Pakibalik bukas ang libro ko.
换	palitan; magpalit	Gusto kong palitan ang isang polo.
黄河	Ilog Huang He	Napakahaba ng Ilog Huang He.
回答	sumagot; sagot	Pakisagot ang tanong ko.
会议	pulong; miting	Magsisimula ang pulong nang alas nuwebe.
或者	o; o kaya	Maaari kang sumakay ng subway o bus.
几乎	halos	Halos araw-araw siyang nag-eehersisyo.
机会	pagkakataon	Magandang pagkakataon ito.
极	labis; napaka	Labis siyang natuwa.
季节	panahon; season	Taglagas ang pinakapaborito kong panahon.
记得	matandaan	Naaalala mo bang dalhin ang kard pangkredito?
检查	suriin; eksaminin	Sinusuri ng doktor ang katawan ko.
简单	simple; madali	Napakasimple ng pangungusap na ito.
健康	kalusugan; malusog	Mabuti sa kalusugan ang ehersisyo.
见面	magkita	Magkikita tayo sa paaralan bukas.
讲	ipaliwanag; magsalita	Malinaw magpaliwanag ang guro.
教	magturo	Tinuturuan niya akong sumulat ng mga karakter na Tsino.
脚	paa	Medyo masakit ang paa ko.
角	kanto; anggulo	Nasa kanto ng kalye ang tindahan.
接	sunduin; tumanggap	Susunduin ko ang kaibigan sa paliparan.
街道	kalye	Malinis ang kalyeng ito.
结婚	magpakasal	Magpapakasal sila sa susunod na taon.
结束	matapos; tapusin	Tapos na ang laban.
节目	palabas; programa	Maganda ang programang ito sa telebisyon.
节日	pagdiriwang; pista	Mahalagang pagdiriwang sa Tsina ang Spring Festival.
解决	lutasin	Nalutas na ang problemang ito.
借	humiram; magpahiram	Gusto kong hiramin ang diksyunaryo mo.
经常	madalas	Madalas akong pumunta sa aklatan.
经过	dumaan; proseso	Araw-araw akong dumadaan sa parkeng ito.
经理	tagapamahala	Nagmi-miting ang tagapamahala.
久	matagal	Matagal na akong nakatira rito.
旧	luma	Luma na ang damit na ito.
句子	pangungusap	Pakisulat ang isang pangungusap.
决定	magpasya; desisyon	Nagpasya akong mag-aral ng Tsino.
可爱	kaibig-ibig; napakaganda	Napaka-kaibig-ibig ng pusang ito.
渴	uhaw	Uhaw ako at gusto kong uminom ng tubig.
刻	kuwarter; saglit	Alas otso kinse na ngayon.
客人	bisita; kostumer	May bisitang dumating sa bahay ngayon.
空调	aircon	Pakibuksan ang aircon.
口	bibig; higop; panukat para sa tao o hayop	Uminom siya ng isang higop ng tubig.
哭	umiyak	Bakit umiiyak ang bata?
裤子	pantalon	Bago ang pantalong ito.
筷子	sipit-kawayan	Marunong akong kumain gamit ang sipit-kawayan.
蓝	asul	Asul ang langit.
老	matanda; luma	Hindi matanda ang guro ko.
离开	umalis; lisanin	Aalis siya sa Beijing bukas.
礼物	regalo	Regalo ito para sa iyo.
历史	kasaysayan	Gusto ko ang kasaysayan ng Tsina.
脸	mukha	Pulang-pula ang mukha niya.
练习	pagsasanay; magsanay	Pakisanay magsalita ng Tsino nang mas madalas.
辆	panukat para sa sasakyan	May isang taxi sa may pinto.
聊天	makipagkuwentuhan; mag-chat	Nakikipagkuwentuhan ako sa kaibigan.
了解	maunawaan; malaman	Gusto kong maunawaan ang kulturang Tsino.
邻居	kapitbahay	Magiliw ang kapitbahay ko.
留学	mag-aral sa ibang bansa	Nag-aaral siya sa Tsina bilang estudyante mula sa ibang bansa.
楼	gusali; palapag	Nasa ikatlong palapag ang opisina.
绿	berde	Naging berde ang mga puno sa tagsibol.
马	kabayo	Napakabilis tumakbo ng kabayong iyon.
马上	agad; ngayon din	Babalik ako agad.
满意	kontento; nasisiyahan	Kontento ako sa kuwartong ito.
帽子	sombrero	Napaganda ng sombrerong ito.
米	metro; bigas	Dalawang metro ang haba ng mesang ito.
面包	tinapay	Kumakain ako ng tinapay sa almusal.
明白	maunawaan; malinaw	Naiintindihan ko ang ibig mong sabihin.
拿	kumuha; hawakan; dalhin	Pakikuha ako ng isang libro.
奶奶	lola	Mahilig makinig ng musika si Lola.
南	timog	Nasa timog ng lungsod ang paaralan.
难	mahirap	Hindi mahirap ang tanong na ito.
难过	malungkot	Medyo malungkot siya ngayon.
年级	baitang; grado	Nasa ikatlong baitang ang nakababata kong kapatid.
年轻	bata; kabataan	Bata pa ang tagapamahalang ito.
鸟	ibon	May isang ibon sa puno.
努力	magsikap; pagsisikap	Masipag siyang mag-aral.
爬山	umakyat ng bundok; mag-hiking	Aakyat kami ng bundok sa katapusan ng linggo.
盘子	plato	May tatlong plato sa mesa.
胖	mataba; mabilog	Medyo mataba ang asong ito.
啤酒	serbesa	Hindi umiinom ng serbesa si Tatay.
皮鞋	sapatos na balat	Mahal ang pares ng sapatos na balat na ito.
瓶子	bote	May tubig sa bote.
其实	talaga; sa totoo lang	Sa totoo lang, ayaw ko ng serbesa.
其他	iba; iba pa	Dumating na ang iba pang kaklase.
奇怪	kakaiba; kataka-taka	Kakaiba ang tunog na ito.
骑	sumakay; magbisikleta	Araw-araw siyang nagbibisikleta papunta sa trabaho.
起飞	lumipad; umalis sa lupa	Pa-lipad na ang eroplano.
起来	tumayo; bumangon	Pakitayo.
清楚	malinaw	Malinaw kang nagsalita.
请假	humingi ng leave; magpaalam lumiban	Sipon siya kaya kailangan niyang magpaalam lumiban.
秋	taglagas	Maginhawa ang panahon sa taglagas.
裙子	palda	Maganda ang paldang ito.
然后	pagkatapos; saka	Kumakain muna ako, saka gumagawa ng takdang-aralin.
热情	magiliw; masigasig	Magiliw ang mga kaibigang Tsino.
认为	isipin; maniwala	Sa tingin ko, maganda ang paraang ito.
认真	seryoso; maingat	Pakinggan mong mabuti ang paliwanag ng guro.
容易	madali	Madaling isulat ang karakter na Tsino na ito.
如果	kung	Kung uulan, sasakay kami ng subway.
伞	payong	Umuulan, pakidalhin ang payong.
上网	mag-internet; online	Sa gabi, nag-iinternet ako para tingnan ang mapa.
声音	tinig; tunog	Maganda pakinggan ang boses mo.
生气	magalit	Huwag kang magalit, hindi ko sinasadya.
世界	mundo	Malaki ang mundo.
试	subukan	Gusto kong sukatin ang pares ng sapatos na balat na ito.
瘦	payat	Pumayat siya kaysa dati.
叔叔	tiyo; tito	Hinatid ako ng tito ko sa paaralan gamit ang kotse.
舒服	komportable	Komportable ang upuang ito.
数学	matematika	Interesante ang klase sa matematika.
树	puno	May isang puno sa harap ng bahay.
刷牙	magsipilyo	Nagsisipilyo ako tuwing umaga.
双	pares; kambal	Bumili ako ng isang pares ng sapatos na balat.
水平	antas; lebel	Mataas ang antas niya sa wikang Tsino.
司机	drayber	Naghihintay sa amin ang drayber sa may pinto.
太阳	araw	Matindi ang sikat ng araw ngayon.
特别	espesyal; lalo na	Lalo nang interesante ang programang ito.
疼	sumakit; masakit	Masakit ang binti ko.
提高	pataasin; pagbutihin	Maraming pagsasanay ang makapagpapabuti ng antas sa Tsino.
体育	palakasan; pisikal na edukasyon	Gusto ko ang klase sa palakasan.
甜	matamis	Masyadong matamis ang inuming ito.
条	panukat para sa mahaba o patag na bagay; artikulo	Bumili ako ng isang palda.
同事	katrabaho	Abala ang katrabaho ko.
同意	sumang-ayon	Sumasang-ayon ako sa desisyon mo.
头发	buhok	Mahaba ang buhok niya.
突然	bigla	Bigla siyang umalis.
图书馆	aklatan	Hindi bukas ang aklatan ngayon.
腿	binti	Matapos umakyat ng bundok, masakit ang mga binti ko.
完成	tapusin; makumpleto	Natapos ko na ang takdang-aralin.
碗	mangkok	May dalawang mangkok sa mesa.
万	sampung libo	May sampung libong tao sa lungsod na ito.
忘记	makalimot	Huwag kalimutang dalhin ang pasaporte.
为	para sa; dahil sa	Masaya ako para sa iyo.
为了	para sa; upang	Para sa pagsusulit, nagrerepaso siya araw-araw.
位	magalang na panukat para sa tao	Sikat ang gurong ito.
文化	kultura	Gusto kong maunawaan ang kulturang Tsino.
西	kanluran	Nasa kanluran ng paaralan ang bangko.
习惯	ugali; masanay	Nasanay akong mag-ehersisyo sa umaga.
洗手间	banyo; palikuran	Nasa kanan ang banyo.
洗澡	maligo	Naliligo ako sa gabi.
夏	tag-init	Mainit ang tag-init.
先	muna; una	Kumain ka muna.
相信	maniwala	Naniniwala akong darating siya.
香蕉	saging	Bumili ako ng tatlong saging.
像	magmukhang; parang	Parang isang ibon ang ulap na ito.
向	patungo sa; direksiyon	Pakilakad pakaliwa.
小心	mag-ingat	Umuulan, mag-ingat ka sa daan.
校长	principal; punong-guro	Nasa opisina ang punong-guro.
新闻	balita	Araw-araw nanonood ng balita si Tatay.
新鲜	sariwa	Sariwa ang prutas na ito.
信用卡	kard pangkredito	Maaari ba akong magbayad gamit ang kard pangkredito?
行李箱	maleta	Mabigat ang maleta ko.
熊猫	panda	Mahilig manood ng panda ang mga bata.
需要	kailanganin	Kailangan ko ang tulong mo.
选择	pumili; pagpili	Aling polo ang pipiliin mo?
要求	hilingin; kailanganin	Hinihiling ng guro na gawin namin nang mabuti ang takdang-aralin.
爷爷	lolo	Araw-araw pumupunta sa parke si Lolo.
一直	palagi; tuloy-tuloy	Tuloy-tuloy ka niyang hinihintay.
一定	tiyak; siguradong	Siguradong darating ako.
一共	kabuuan; lahat-lahat	Magkano lahat ang mga librong ito?
一会儿	sandali	Pakihintay ako sandali.
一样	pareho	Pareho ang laki ng dalawang tasang ito.
以前	dati; noon	Dati akong nakatira sa Beijing.
一般	karaniwan; pangkaraniwan	Karaniwan lang ang pagkain sa restawrang ito.
一边	isang panig; habang	Habang nakikinig siya ng musika, gumagawa siya ng takdang-aralin.
音乐	musika	Gusto ko ang musikang Tsino.
银行	bangko	Nasa tabi ng malaking tindahan ang bangko.
饮料	inumin	Masarap ang inuming ito.
应该	dapat; nararapat	Dapat kang magpahinga pa.
影响	epekto; makaapekto	Makaaapekto ang panahon sa laban.
用	gamitin	Gumagamit ako ng kompyuter sa paggawa ng takdang-aralin.
游戏	laro	Naglalaro ang mga bata.
有名	sikat; kilala	Sikat ang restawrang ito.
又	muli; na naman	Nahuli na naman siya ngayon.
遇到	makasalubong; makatagpo	Nakasalubong ko ang guro sa kalye.
元	yuan	Limampung yuan ang diksyunaryong ito.
愿意	handang; pumayag	Handa ka bang sumali?
月亮	buwan	Maliwanag ang buwan ngayong gabi.
越	habang… lalong…	Habang mas nag-aaral ako ng Tsino, lalo itong nagiging interesante.
站	istasyon; tumayo	Nakatayo siya sa may pinto.
张	panukat para sa patag na bagay; piraso	Pakibigyan ako ng isang mapa.
长	lumaki; tumubo	Mabilis lumaki ang mga bata.
着急	mag-alala; mabalisa	Huwag kang mag-alala, darating na ang asensor.
照顾	alagaan	Inaalagaan niya ang maysakit na lola.
照片	litrato; larawan	Maganda ang litratong ito.
照相机	kamera	Gumagamit ako ng kamera sa pagkuha ng litrato.
283:只	lamang; lang	Isang tasa lang ng tsaa ang iniinom ko.
284:只	panukat para sa hayop	May isang pusa sa ilalim ng mesa.
只有…才…	tanging… saka lamang…	Tanging sa maingat na pagrerepaso saka lamang gaganda ang resulta sa pagsusulit.
中间	gitna	Nasa gitna ng kuwarto ang mesa.
中文	wikang Tsino; sulating Tsino	Araw-araw akong nag-aaral ng Tsino.
终于	sa wakas	Sa wakas, nakarating kami.
种	uri; klase	Anong uri ng inumin ang gusto mo?
重要	mahalaga	Napakahalaga ng pasaporte.
周末	katapusan ng linggo	Gusto kong pumunta sa parke sa katapusan ng linggo.
主要	pangunahin; pangunahing	Pangunahing libangan niya ang musika.
注意	pansinin; mag-ingat	Pakipakinggan nang mabuti ang guro.
自己	sarili	Gusto kong gawin ang takdang-aralin nang mag-isa.
自行车	bisikleta	Nasa ibaba ang bisikleta ko.
总是	palagi	Palagi siyang maagang dumarating sa opisina.
嘴	bibig	Pakibuka ang bibig.
最后	huli; sa wakas	Sa huli, sumang-ayon kaming lahat.
最近	kamakailan; nitong mga araw	Nitong mga araw, abala ako.
作业	takdang-aralin; gawain	Hindi ko pa natatapos ang takdang-aralin.
