simplified	IS	example_IS
极其	afar	Þetta mál er afar mikilvægt.
集合	safnast saman	Vinsamlegast safnist saman við innganginn klukkan átta.
集体	hópur	Þetta er hópviðburður.
集中	einbeita sér	Í tíma þarf maður að einbeita sér.
寂寞	einmana	Að búa einn getur stundum verið einmanalegt.
系领带	binda bindi	Hann bindur bindi á hverjum degi áður en hann fer í vinnu.
纪录	met	Hann sló skólametið.
纪律	agi	Agi í kennslustofunni er mjög mikilvægur.
纪念	minnast	Við tókum myndir til að minnast þessa dags.
计算	reikna	Vinsamlegast reiknaðu heildarkostnaðinn.
记录	skrá	Vinsamlegast skráðu efni fundarins.
记忆	minning	Þessi minning er mjög dýrmæt.
嘉宾	gestur	Gestur dagsins er rithöfundur.
夹子	klemma	Vinsamlegast haltu skjölunum saman með klemmu.
家庭	fjölskylda	Fjölskylda er mjög mikilvæg fyrir börn.
家务	heimilisstörf	Um helgina þarf ég að vinna heimilisstörf.
家乡	heimabær	Ég sakna heimabæjar míns mjög mikið.
假如	ef	Ef það rignir á morgun förum við ekki.
假设	gera ráð fyrir	Gerum ráð fyrir að þú sért kennari, hvað myndirðu gera?
假装	þykjast	Hann þóttist ekki hafa heyrt.
甲	aðili A	Aðili A þarf að greiða á réttum tíma.
价值	gildi; verðmæti	Þessi bók hefur mikið gildi.
嫁	giftast	Hún ætlar að giftast kærastanum sínum á næsta ári.
驾驶	aka	Aktu varlega þegar þú keyrir bíl.
兼职	hlutastarf	Hann vinnur hlutastarf á kvöldin.
坚决	ákveðinn	Hann er ákveðið ósammála þessari ákvörðun.
坚强	sterkur	Hún er sterk manneskja.
肩膀	öxl	Öxlin á honum er meidd.
艰巨	erfiður	Þetta er erfitt verkefni.
艰苦	erfiður	Þau gengu í gegnum erfitt líf.
剪刀	skæri	Vinsamlegast réttu mér skærin.
捡	taka upp	Hann tók upp veskið af jörðinni.
简历	ferilskrá	Áður en sótt er um starf þarf að undirbúa ferilskrá.
简直	einfaldlega	Þessar fréttir eru einfaldlega sláandi.
健身	rækt	Hann fer í ræktina þrisvar í viku.
建立	koma á	Við komum á nýju sambandi.
建设	uppbygging	Uppbygging borgarinnar þróast hratt.
建筑	bygging	Þessi bygging er mjög sérstök.
键盘	lyklaborð	Lyklaborðið mitt þarf að þrífa.
讲究	leggja áherslu á	Kínverjar leggja mikla áherslu á mat.
讲座	fyrirlestur	Í kvöld er fyrirlestur um kínversku.
酱油	sojasósa	Bættu smá sojasósu í réttinn.
交换	skipta	Við skiptumst á símanúmerum.
交际	samskipti	Þegar maður lærir tungumál þarf líka að æfa samskipti.
交往	vera saman	Þau hafa verið saman í tvö ár.
浇	vökva	Vinsamlegast vökvaðu blómin á hverjum degi.
胶水	lím	Ég notaði lím til að festa myndina.
狡猾	slóttugur	Refurinn er mjög slóttugur.
角度	sjónarhorn	Við skulum skoða vandamálið frá öðru sjónarhorni.
教材	kennslubók	Þessi kennslubók er mjög hagnýt.
教练	þjálfari	Þjálfarinn krefst þess að við mætum á réttum tíma.
教训	lærdómur	Þessi mistök voru lærdómur.
接触	snerting; kynnast	Þetta er í fyrsta sinn sem ég kynnist kínverskri menningu.
接待	taka á móti	Fyrirtækið útvegaði sérstakan starfsmann til að taka á móti gestunum.
接近	nálgast	Vorhátíðin nálgast sífellt.
结实	sterkbyggður	Þessi ferðataska er mjög sterkbyggð.
阶段	stig	Náminu er skipt í þrjú stig.
结构	bygging	Þessi grein hefur skýra byggingu.
结合	sameina	Nám ætti að sameinast æfingu.
结论	niðurstaða	Niðurstaða hans er mjög sannfærandi.
结账	gera upp	Eftir matinn fórum við að gera upp.
节省	spara	Að taka neðanjarðarlestina getur sparað tíma.
借口	afsökun	Ekki finna fleiri afsakanir.
届	skipti; mót	Þetta er þriðja keppnin.
戒	hætta	Læknirinn ráðlagði honum að hætta að reykja.
戒指	hringur	Hún er með hring.
金属	málmur	Járn er tegund af málmi.
尽快	eins fljótt og hægt er	Vinsamlegast svaraðu tölvupóstinum eins fljótt og hægt er.
紧急	bráð; aðkallandi	Þetta er neyðarástand.
谨慎	varfærinn	Maður þarf að vera varfærinn áður en fjárfest er.
尽力	gera sitt besta	Ég mun gera mitt besta til að hjálpa þér.
尽量	reyna eftir fremsta megni	Vinsamlegast reyndu að koma eins snemma og hægt er.
近代	nútími	Í nútíma Kína urðu miklar breytingar.
进步	taka framförum	Kínverskan hans tekur hröðum framförum.
进口	innfluttur	Þessi bíll er innfluttur.
精力	orka	Börnin hafa mikla orku.
精神	andi; líðan	Hann er í góðu skapi í dag.
经典	klassískur	Þetta er klassísk kvikmynd.
经商	stunda viðskipti	Faðir hans stundar viðskipti erlendis.
经营	reka	Hún rekur litla verslun.
酒吧	bar	Um kvöldið fóru þau á bar.
救	bjarga	Læknirinn bjargaði lífi hans.
救护车	sjúkrabíll	Sjúkrabíllinn kom fljótt.
舅舅	móðurbróðir	Móðurbróðir minn býr í Nanjing.
居然	óvænt; meira að segja	Hann gleymdi óvænt eigin afmælisdegi.
桔子	mandarína	Það eru nokkrar mandarínur á borðinu.
俱乐部	klúbbur	Hún gekk í sundklúbbinn.
具备	hafa	Hann hefur reynslu af stjórnun.
具体	nákvæmur	Vinsamlegast talaðu aðeins nákvæmar.
巨大	gríðarlegur	Þetta verkefni krefst gríðarlegrar fjárfestingar.
据说	sagt er	Sagt er að hann sé þegar farinn aftur til heimalands síns.
捐	gefa	Allir eru tilbúnir að gefa peninga.
决赛	úrslitaleikur	Á morgun er úrslitaleikur í fótbolta.
决心	ákveðni	Hann tók þá ákvörðun að læra kínversku vel.
绝对	algjörlega	Þetta má algjörlega ekki gleymast.
角色	hlutverk	Hún leikur mikilvægt hlutverk í kvikmyndinni.
军事	hernaðarmál	Hann hefur mikinn áhuga á hernaðarsögu.
均匀	jafn	Vinsamlegast berðu litinn jafnt á.
卡车	vörubíll	Vörubíll stendur við innganginn.
开发	þróa	Fyrirtækið er að þróa nýja vöru.
开放	opna	Garðurinn opnar klukkan sex á hverjum morgni.
开幕式	opnunarathöfn	Opnunarathöfnin verður haldin annað kvöld.
开水	soðið vatn	Vinsamlegast gefðu mér glas af soðnu vatni.
砍	höggva	Verkamaðurinn er að höggva greinar.
看不起	líta niður á	Ekki líta niður á neinn.
看望	heimsækja	Um helgina heimsæki ég afa og ömmu.
靠	halla sér	Hann hallar sér upp að veggnum og hvílir sig.
颗	talningarorð fyrir smáa hringlaga hluti	Það er ein stjarna á næturhimninum.
可见	það sést	Það sést að þessi aðferð er mjög áhrifarík.
可靠	áreiðanlegur	Hann er áreiðanlegur vinur.
可怕	hræðilegur	Þessi draumur var of hræðilegur.
克	gramm	Vinsamlegast bættu við tveimur grömmum af salti.
克服	yfirstíga	Við þurfum að yfirstíga erfiðleika.
刻苦	duglegur	Hann lærir mjög duglega.
客观	hlutlægur	Vinsamlegast greindu vandamálið hlutlægt.
课程	námskeið	Þetta námskeið er mjög gagnlegt.
空间	rými	Þetta herbergi hefur mikið rými.
控制	stjórna	Ökumaðurinn náði stjórn á hraða bílsins.
空闲	frítími	Hefurðu frítíma síðdegis á morgun?
口味	bragð	Hann kýs fremur mildan mat.
夸	hrósa	Kennarinn hrósaði honum fyrir miklar framfarir.
夸张	ýktur	Svipur hans er svolítið ýktur.
会计	bókari	Hún vinnur sem bókari hjá fyrirtækinu.
宽	breiður	Þessi vegur er mjög breiður.
昆虫	skordýr	Börnin eru að fylgjast með skordýrum.
扩大	stækka	Skólinn ætlar að stækka bókasafnið.
辣椒	chilipipar	Það var sett mikið af chilipipar í réttinn.
拦	stöðva	Lögreglan stöðvaði bíl.
烂	rotinn	Þetta epli er þegar orðið rotið.
朗读	lesa upp	Vinsamlegast lestu textann upphátt.
劳动	vinna	Vinna lætur fólki finnast lífið innihaldsríkt.
劳驾	afsakið	Afsakið, hvar er neðanjarðarlestarstöðin?
姥姥	amma móðurmegin	Amma mín móðurmegin eldar mjög góðan mat.
老百姓	almenningur	Almenningur hefur áhyggjur af framfærslukostnaði.
老板	yfirmaður	Yfirmaðurinn er ekki á skrifstofunni í dag.
老婆	eiginkona	Hann keypti blóm handa eiginkonu sinni.
老实	heiðarlegur	Hann er heiðarlegur maður.
老鼠	mús	Það er mús í eldhúsinu.
乐观	bjartsýnn	Hún er bjartsýn á framtíðina.
雷	þruma	Þruman í gærkvöldi var mjög hávær.
类型	tegund	Hvaða tegund er þessi kvikmynd?
冷淡	kaldur	Afstaða hans er svolítið köld.
厘米	sentimetri	Þessi penni er fimmtán sentimetrar að lengd.
梨	pera	Ég keypti nokkrar perur.
离婚	skilja	Þau skildu í fyrra.
理论	kenning	Þessi kenning er mjög flókin.
理由	ástæða	Hvaða ástæðu hefurðu fyrir því að koma of seint?
利润	hagnaður	Hagnaður fyrirtækisins jókst í ár.
利息	vextir	Vextir bankans eru ekki háir.
利益	hagsmunir	Við þurfum að vernda hagsmuni allra.
利用	nota	Hann notar helgina til að læra kínversku.
力量	kraftur	Samstaða er kraftur.
立即	strax	Vinsamlegast farðu héðan strax.
立刻	strax	Eftir að hafa heyrt fréttirnar lagði hann strax af stað.
联合	sameiginlegur	Fyrirtækin tvö þróuðu vöruna sameiginlega.
连忙	fljótt	Þegar hann heyrði símann hringja svaraði hann fljótt.
连续	samfellt	Hann vann samfellt í tíu klukkustundir.
恋爱	ástarsamband	Þau eru í ástarsambandi.
粮食	korn; matvæli	Kornuppskeran jókst í ár.
良好	góður	Hann hefur góðar námsvenjur.
亮	bjartur	Ljósið í herberginu er mjög bjart.
了不起	merkilegur	Hún náði merkilegum árangri.
列车	lest	Lestin fer alveg að leggja af stað.
临时	tímabundinn	Þetta er tímabundin ákvörðun.
灵活	sveigjanlegur	Námsaðferðir þurfa að vera sveigjanlegar.
铃	bjalla	Bjallan fyrir kennslustundina hringdi.
零件	hluti; varahlutur	Það vantar einn hluta í vélina.
零食	snarl	Börnum finnst gott að borða snarl.
领导	leiðtogi	Yfirmaðurinn er á fundi.
领域	svið	Hún starfar á sviði menntunar.
流传	ganga manna á milli	Þessi saga hefur gengið manna á milli í langan tíma.
流泪	gráta	Eftir að hafa heyrt fréttina grét hún.
浏览	skoða	Ég ætla fyrst að skoða vefsíðuna.
龙	dreki	Í kínverskri menningu eru drekar.
漏	leka	Þakið lekur þegar rignir.
录取	taka inn	Hann var tekinn inn í háskólann.
录音	upptaka	Vinsamlegast byrjaðu upptökuna.
陆地	land	Sjávarskjaldbakan skreið upp á land.
陆续	hver á eftir öðrum	Gestirnir komu hver á eftir öðrum.
轮流	skiptast á	Við skiptumst á að þrífa kennslustofuna.
论文	ritgerð	Hún er að skrifa útskriftarritgerðina sína.
逻辑	rökfræði	Rökfræði hans er mjög skýr.
落后	dragast aftur úr	Við megum ekki dragast aftur úr öðrum.
骂	skamma	Vinsamlegast ekki skamma barnið.
麦克风	hljóðnemi	Vinsamlegast réttu honum hljóðnemann.
馒头	gufusoðið brauð	Ég borðaði eitt gufusoðið brauð í morgunmat.
满足	uppfylla	Þetta svar uppfyllir ekki kröfurnar.
毛病	vandamál	Það er lítið vandamál með þessa tölvu.
矛盾	ágreiningur	Það er nokkur ágreiningur á milli þeirra.
冒险	áhættusamur	Að fara þangað einn er of áhættusamt.
贸易	verslun	Alþjóðaviðskipti þróast hratt.
媒体	fjölmiðlar	Fjölmiðlar greindu frá þessu máli.
煤炭	kol	Þetta svæði framleiðir kol.
眉毛	augabrún	Augabrúnir hennar eru þykkar.
美术	myndlist	Yngri systur minni finnst myndlist skemmtileg.
魅力	aðdráttarafl	Þessi borg hefur mikið aðdráttarafl.
梦想	draumur	Draumur hans er að verða læknir.
密切	náinn	Við höldum nánu sambandi.
秘密	leyndarmál	Þetta er leyndarmálið okkar.
秘书	ritari	Ritarinn skipulagði fundartímann.
蜜蜂	býfluga	Það eru margar býflugur meðal blómanna.
面对	takast á við	Við eigum að takast á við erfiðleika af hugrekki.
面积	flatarmál	Flatarmál þessa herbergis er ekki mikið.
面临	standa frammi fyrir	Fyrirtækið stendur frammi fyrir nýjum áskorunum.
描写	lýsa	Höfundurinn lýsti sveitalífi.
苗条	grannur	Hún er grannvaxin.
敏感	viðkvæmur	Þetta umræðuefni er fremur viðkvæmt.
名牌	þekkt vörumerki	Hann keypti úr frá þekktu vörumerki.
名片	nafnspjald	Vinsamlegast gefðu mér nafnspjald.
名胜古迹	sögufrægur staður	Í Peking eru margir sögufrægir staðir og fallegir ferðamannastaðir.
明确	skýr	Kennarinn útskýrði kröfurnar skýrt.
明显	augljós	Framfarir hans eru augljósar.
明星	kvikmyndastjarna	Hún vill verða kvikmyndastjarna.
命令	skipun	Hermenn verða að hlýða skipunum.
命运	örlög	Hann trúir því að hægt sé að breyta örlögunum.
摸	snerta	Vinsamlegast ekki snerta þetta málverk.
摩托车	mótorhjól	Hann fer á mótorhjóli í vinnuna.
模仿	herma eftir	Börnum finnst gaman að herma eftir tali fullorðinna.
模糊	óskýr	Þessi mynd er svolítið óskýr.
模特	fyrirsæta	Hún er fatafyrirsæta.
陌生	framandi	Þessi borg er mér mjög framandi.
某	einhver	Einhver kennari hringdi í mig.
木头	viður	Þetta borð er úr viði.
目标	markmið	Markmið mitt er að standast prófið.
目录	efnisyfirlit	Vinsamlegast skoðaðu fyrst efnisyfirlitið fremst í bókinni.
目前	sem stendur	Staðan er nokkuð stöðug sem stendur.
哪怕	jafnvel þótt	Jafnvel þótt hann sé upptekinn heldur hann áfram að læra.
难怪	engin furða	Engin furða að þú sért svona glaður í dag.
难免	erfitt að komast hjá	Í fyrsta sinn er erfitt að komast hjá mistökum.
脑袋	haus	Hann er svolítið aumur í hausnum.
内部	innri	Þetta eru innri gögn fyrirtækisins.
内科	lyflækningar	Hann fer til lyflæknis í dag.
嫩	meyr	Þetta kjötstykki er mjög meyrt.
能干	hæfur	Hún er mjög hæf manneskja.
能源	orka	Sólarorka er hrein orka.
嗯	mm	Mm, ég skil.
年代	áratugur	Þessi mynd var tekin á níunda áratugnum.
年纪	aldur	Hann er ekki gamall, en hefur mikla reynslu.
念	lesa	Vinsamlegast lestu textann einu sinni.
宁可	frekar vilja	Ég vil frekar ganga en bíða eftir strætó.
牛仔裤	gallabuxur	Hann er í gallabuxum.
农村	sveit	Hún ólst upp í sveit.
农民	bóndi	Bændurnir eru að vinna á akrinum.
农业	landbúnaður	Landbúnaður er mjög mikilvægur fyrir þetta svæði.
浓	sterkur	Þessi kaffibolli er of sterkur.
女士	kona	Konan bíður eftir strætó.
欧洲	Evrópa	Hann fer í ferðalag til Evrópu í næsta mánuði.
偶然	fyrir tilviljun	Ég hitti gamlan bekkjarfélaga fyrir tilviljun.
拍	taka	Vinsamlegast hjálpaðu mér að taka mynd.
派	senda	Fyrirtækið sendi hann til Shanghai í vinnuferð.
盼望	hlakka til	Ég hlakka til að hitta þig fljótlega.
培训	þjálfun	Nýir starfsmenn þurfa að sækja þjálfun.
培养	þjálfa	Skólinn leggur áherslu á að þjálfa hæfni nemenda.
赔偿	bæta	Fyrirtækið samþykkti að bæta tjónið.
佩服	dást að	Ég dáist mjög að hugrekki hans.
配合	samstarfa	Vinsamlegast vinnið með kennaranum.
盆	pottur	Það er blómapottur á svölunum.
碰	snerta	Passaðu þig, ekki snerta heita vatnið.
批	lota; sending	Þessi vörusending kom í dag.
批准	samþykkja	Stjórinn samþykkti þessa áætlun.
披	hafa yfir sér	Hún hefur kápu yfir öxlunum.
疲劳	þreyta	Löng vinna getur valdið þreytu.
匹	talningarorð fyrir hesta	Það er hestur á grasinu.
片	sneið	Vinsamlegast gefðu mér brauðsneið.
片面	einhliða	Þetta sjónarmið er of einhliða.
飘	svífa	Snjókorn svífa í loftinu.
拼音	pinyin	Vinsamlegast skrifaðu pinyin við hlið kínversku stafanna.
频道	rás	Vinsamlegast skiptu yfir á fréttarásina.
凭	með	Með miða má fara inn.
平均	að meðaltali	Að meðaltali eyddi hver maður tíu júan.
平	flatur	Þessi vegur er mjög flatur.
平安	öruggur	Ég óska þér öruggrar ferðar.
平常	venjulega	Hann kemur venjulega sjaldan of seint.
平等	jafn	Það ætti að koma jafnt fram við alla.
平方	fermetri	Þetta herbergi er tuttugu fermetrar.
平衡	jafnvægi	Vinna og líf þurfa jafnvægi.
平静	rólegur	Yfirborð vatnsins er mjög rólegt.
评价	mat; umsögn	Kennarinn gaf mjög góða umsögn.
破产	gjaldþrot	Það fyrirtæki varð gjaldþrota í fyrra.
破坏	skemma	Vinsamlegast ekki skemma almannaeign.
迫切	brýnn	Okkur vantar fleiri lækna brýnlega.
期待	hlakka til	Ég hlakka mikið til þessarar ferðar.
期间	á meðan	Vinsamlegast slökktu á símanum á meðan fundinum stendur.
其余	afgangurinn	Afgangurinn af málunum verður ræddur á morgun.
奇迹	kraftaverk	Læknirinn sagði að þetta væri kraftaverk.
企业	fyrirtæki	Þetta fyrirtæki þróast hratt.
启发	innblástur	Þessi bók veitti mér mikinn innblástur.
气氛	andrúmsloft	Andrúmsloftið í kennslustofunni er mjög afslappað.
汽油	bensín	Bíllinn þarf bensín.
签	skrifa undir	Vinsamlegast skrifaðu nafnið þitt hér.
谦虚	hógvær	Hann er framúrskarandi og líka hógvær.
前途	framtíðarhorfur	Þessi námsbraut hefur góðar framtíðarhorfur.
浅	grynnri; grunnur	Þessi á er mjög grunn.
欠	skulda	Hann skuldar mér enn tuttugu júan.
枪	byssa	Lögreglumaðurinn heldur á byssu.
墙	veggur	Það hangir málverk á veggnum.
强调	leggja áherslu á	Kennarinn lagði áherslu á öryggismál.
强烈	sterkur	Hann hefur sterka ábyrgðartilfinningu.
抢	rífast um	Ekki rífast við aðra um sæti.
悄悄	hljóðlega	Hún gekk hljóðlega inn í herbergið.
瞧	sjáðu	Sjáðu, það snjóar úti.
巧妙	snjall	Þessi aðferð er mjög snjöll.
切	skera	Vinsamlegast skerðu ávextina í litla bita.
亲爱	kær	Kæri vinur, takk fyrir.
亲切	vinsamlegur	Kennarinn talar mjög vinsamlega.
亲自	persónulega	Stjórinn tók persónulega á móti gestunum.
勤奋	duglegur	Duglegt fólk nær frekar árangri.
清淡	mildur	Ég vil helst borða mildan mat.
轻视	vanmeta	Ekki vanmeta þetta litla vandamál.
轻易	auðveldlega	Hann gefst ekki auðveldlega upp.
青	blágrænn	Þessi flík er blágræn.
青春	æska	Æskan er dýrmæt.
青少年	unglingur	Unglingar þurfa nægan svefn.
情景	sena	Senan í kvikmyndinni er mjög áhrifamikil.
情绪	tilfinningar	Tilfinningar hans eru ekki mjög stöðugar.
请求	beiðni	Hann setti fram beiðni.
庆祝	fagna	Við fögnuðum afmælisdegi hans.
球迷	aðdáandi	Margir aðdáendur komu til að horfa á leikinn.
趋势	þróun	Þessi þróun verður sífellt augljósari.
取消	aflýsa	Viðburðinum var aflýst vegna rigningar.
娶	giftast	Hann ætlar að giftast henni á næsta ári.
去世	látast	Afi hans lést í fyrra.
圈	hringur	Vinsamlegast teiknaðu hring utan um rétta svarið.
全面	heildstæður	Við þurfum að skilja stöðuna heildstætt.
权利	réttur	Allir eiga rétt á menntun.
权力	völd	Völd ættu að vera undir eftirliti.
劝	ráðleggja	Vinur minn ráðlagði mér að hvíla mig fyrr.
缺乏	skorta	Þetta svæði skortir hreint vatn.
确定	ákveða	Ég get enn ekki ákveðið tímann.
确认	staðfesta	Vinsamlegast staðfestu heimilisfangið þitt.
群	hópur	Hópur barna leikur sér á íþróttavellinum.
燃烧	brenna	Viðurinn brennur.
绕	ganga í kringum	Við gengum einn hring í kringum vatnið.
热爱	elska	Hann elskar vinnuna sína.
热烈	hlýr; ákafur	Allir tóku hlýlega á móti gestunum.
热心	hjálpsamur	Nágrannarnir eru allir mjög hjálpsamir.
人才	hæft fólk	Fyrirtækið þarf meira hæft fólk.
人口	mannfjöldi	Í þessari borg er mikill mannfjöldi.
人类	mannkyn	Mannkynið þarf að vernda jörðina.
人民币	renminbi	Ég skipti peningum í renminbi.
人生	líf	Lífið hefur marga valkosti.
人事	mannauðsmál	Hún vinnur í mannauðsdeildinni.
人物	persóna	Persónurnar í skáldsögunni virka mjög raunverulegar.
人员	starfsfólk	Allt starfsfólkið er komið.
忍不住	geta ekki stillt sig	Eftir að hafa heyrt brandarann gat hann ekki stillt sig um að hlæja.
日常	daglegur	Þetta er dagleg vinna mín.
日程	dagskrá	Dagskráin í dag er mjög þétt.
日历	dagatal	Það hangir dagatal á veggnum.
日期	dagsetning	Vinsamlegast skrifaðu dagsetninguna skýrt.
日用品	daglegar nauðsynjar	Matvörubúðin selur margar daglegar nauðsynjar.
日子	dagar	Hann hefur verið mjög upptekinn þessa dagana.
如何	hvernig	Hvernig eigum við að leysa þetta vandamál?
如今	nú á dögum	Nú á dögum eru samgöngur miklu þægilegri.
软	mjúkur	Þetta rúm er mjög mjúkt.
软件	hugbúnaður	Þessi hugbúnaður er auðveldur í notkun.
弱	veikur	Líkami hans er fremur veikburða.
洒	hella niður	Hann hellti vatninu óvart niður.
嗓子	háls	Mig verkjar svolítið í hálsinn.
色彩	litir	Þetta málverk er mjög litríkt.
杀	drepa	Það eru engar morðsenur í þessari kvikmynd.
沙漠	eyðimörk	Vatn í eyðimörkinni er mjög dýrmætt.
沙滩	strönd	Börnin leika sér á ströndinni.
傻	heimskulegur	Ekki gera neitt heimskulegt.
晒	þurrka í sólinni	Fötin eru að þorna í sólinni á svölunum.
删除	eyða	Vinsamlegast eyddu þessum tölvupósti.
闪电	elding	Elding birtist um nóttina.
善良	góður	Hún er góð manneskja.
善于	vera góður í	Hann er góður í að leysa vandamál.
扇子	blævængur	Á sumrin nota ég oft blævæng.
伤害	særa	Ekki særa tilfinningar annarra.
商品	vara	Þessi búð er með margar vörur.
商务	viðskipti	Hann fer á viðskiptafund á morgun.
商业	verslun	Verslun er vel þróuð á þessu svæði.
上当	láta blekkjast	Hann var næstum því blekktur.
蛇	snákur	Það er snákur í grasinu.
舍不得	tíma ekki	Ég tími ekki að fara héðan.
射击	skotfimi	Hann æfir skotfimi.
摄影	ljósmyndun	Hún hefur mikinn áhuga á ljósmyndun.
设备	búnaður	Búnaðurinn á rannsóknarstofunni er mjög háþróaður.
设计	hönnun	Þessi hönnun er mjög skapandi.
设施	aðstaða	Íþróttaaðstaða skólans er góð.
伸	rétta út	Vinsamlegast réttu fram höndina.
深刻	djúpur	Þessi reynsla hafði djúp áhrif á mig.
身材	líkamsbygging	Hún hefur heilbrigða líkamsbyggingu.
身份	auðkenni	Vinsamlegast sýndu persónuskilríki.
神话	goðsögn	Börnum finnst gaman að hlusta á goðsögur.
神秘	dularfullur	Þessi forna borg er mjög dularfull.
升	lítri	Olíuverðið hækkaði aðeins á lítra.
声调	tónn	Í kínversku eru fjórir grunntónar.
生产	framleiða	Þessi verksmiðja framleiðir farsíma.
生动	líflegur	Kennarinn útskýrir mjög líflega.
生长	vaxa	Þessi planta vex mjög hratt.
绳子	reipi	Vinsamlegast bindið kassann vel með reipi.
省略	sleppa	Hér má sleppa einum staf.
胜利	sigur	Þau náðu loksins sigri.
失眠	svefnleysi	Hann hefur oft þjáðst af svefnleysi nýlega.
失去	missa	Ekki missa sjálfstraustið.
失业	atvinnulaus	Eftir að hann missti vinnuna byrjaði hann að læra nýja færni.
湿润	rakur	Loftið eftir rigninguna er mjög rakt.
狮子	ljón	Það eru tvö ljón í dýragarðinum.
诗	ljóð	Hann skrifaði ljóð.
实话	sannleikur	Vinsamlegast segðu sannleikann.
实践	framkvæmd	Kenningar þarf að prófa í framkvæmd.
实习	starfsnám	Hún fer í starfsnám á sjúkrahúsi í sumarfríinu.
实现	gera að veruleika	Hann gerði loksins draum sinn að veruleika.
实验	tilraun	Nemendurnir eru að gera tilraun.
实用	hagnýtur	Þetta verkfæri er mjög hagnýtt.
时差	tímamismunur	Hann hefur ekki enn vanist tímamismuninum.
时代	tímabil	Við lifum á upplýsingaöld.
时刻	augnablik	Vinsamlegast mundu þetta mikilvæga augnablik.
时髦	tískulegur	Þessi flík er mjög tískuleg.
时期	tímabil	Háskólaárin höfðu mikil áhrif á hann.
时尚	tíska	Hún hefur mikinn áhuga á tísku.
石头	steinn	Það er steinn við veginn.
食物	matur	Vinsamlegast settu matinn í ísskápinn.
使劲儿	beita krafti	Það þarf að beita krafti til að opna þessa flösku.
始终	alltaf	Hann trúði alltaf að honum gæti tekist það.
事实	staðreynd	Staðreyndirnar sanna að hann hafði rétt fyrir sér.
事物	hlutur	Börn eru mjög forvitin um nýja hluti.
事先	fyrirfram	Vinsamlegast segðu mér tímann fyrirfram.
似的	eins og	Hann var svo þreyttur að það var eins og hann vildi ekki segja eitt orð.
士兵	hermaður	Hermennirnir eru að æfa.
市场	markaður	Þessi markaður er mjög líflegur.
试卷	prófblað	Kennarinn er að fara yfir prófblöð.
收获	ávinningur	Ég fékk mikið út úr þessari ferð.
收据	kvittun	Vinsamlegast geymdu kvittunina eftir greiðslu.
