simplified	IS	example_IS
手工	handavinna	Þessi gjöf er handgerð.
手术	skurðaðgerð	Læknirinn gerir aðgerð á honum á morgun.
手套	hanski	Maður þarf að vera með hanska þegar farið er út á veturna.
手续	formsatriði; afgreiðsla	Það þarf persónuskilríki til að ganga frá formsatriðunum.
手指	fingur	Fingurinn á honum er meiddur.
首	talningarorð fyrir lög og ljóð	Hún söng lag.
受伤	meiðast	Hann meiddist í keppninni.
寿命	líftími	Þessi tegund vélar hefur langan líftíma.
书架	bókahilla	Bókahillan er full af bókum.
梳子	greiða	Hún greiðir hárið með greiðu.
舒适	þægilegur	Þetta herbergi er mjög þægilegt.
蔬菜	grænmeti	Að borða meira grænmeti er gott fyrir heilsuna.
输入	slá inn	Vinsamlegast sláðu lykilorðið inn í tölvuna.
熟练	vanur	Hann getur notað tölvu af mikilli færni.
属于	tilheyra	Þessi bók tilheyrir bókasafninu.
数	telja	Vinsamlegast teldu hversu margir eru hér.
鼠标	tölvumús	Tölvumúsin mín er biluð.
数据	gögn	Þessi gögn eru mjög mikilvæg.
数码	stafrænn	Hann keypti stafræna myndavél.
摔倒	detta	Hún datt á veginum.
甩	hrista af sér	Hann hristi vatnið af höndunum.
双方	báðir aðilar	Báðir aðilar samþykktu þessa áætlun.
税	skattur	Þegar maður kaupir hluti þarf að borga skatt.
说不定	kannski	Kannski snjóar á morgun.
说服	sannfæra	Hann sannfærði loksins foreldra sína.
丝绸	silki	Þessi trefill er úr silki.
丝毫	alls ekki	Hann breytti alls ekki um skoðun.
思考	hugsa	Vinsamlegast hugsaðu vandlega um þetta vandamál.
思想	hugsun	Hugsun hans er mjög opin.
撕	rífa	Vinsamlegast ekki rífa þetta blað.
私人	einkarými	Þetta er einkarýmið mitt.
似乎	virðast	Hann virðist ekki mjög ánægður.
搜索	leita	Ég leitaði að upplýsingum á netinu.
宿舍	heimavist	Nemendurnir búa á heimavist skólans.
随身	hafa með sér	Vinsamlegast hafðu vegabréfið með þér.
随时	hvenær sem er	Þú getur hringt í mig hvenær sem er.
随手	gera í leiðinni	Vinsamlegast lokaðu hurðinni á eftir þér þegar þú ferð.
碎	brotna	Bollinn datt á gólfið og brotnaði.
损失	tap	Þetta slys olli miklu tapi.
缩短	stytta	Nýja leiðin stytti ferðina.
所	talningarorð fyrir skóla	Þessi skóli er mjög frægur.
锁	læsa	Vinsamlegast læstu hurðinni áður en þú ferð út.
台阶	trappa	Aldraði maðurinn gekk hægt upp tröppurnar.
太极拳	taiji	Í garðinum æfa sumir taiji.
太太	frú	Frú Wang er að elda.
谈判	samningaviðræður	Báðir aðilar eru í samningaviðræðum.
坦率	heiðarlegur	Hann sagði hugsanir sínar hreinskilnislega.
烫	brennandi heitur	Þessi tebolli er mjög heitur.
桃	ferskja	Það uxu margar ferskjur á trénu.
淘气	óþekkur	Þetta barn er svolítið óþekkt.
逃	flýja	Hvolpurinn hljóp út úr garðinum.
逃避	forðast	Ekki forðast ábyrgð.
讨价还价	prútta	Honum finnst gaman að prútta þegar hann verslar.
套	sett	Hann keypti nýtt fatasett.
特色	séreinkenni	Þessi veitingastaður hefur staðbundin sérkenni.
特殊	sérstakur	Í dag er sérstakur dagur.
特征	einkenni	Þessi dýrategund hefur skýr einkenni.
疼爱	þykja vænt um	Afa og ömmu þykir mjög vænt um barnið.
提倡	hvetja til	Skólinn hvetur til vatnssparnaðar.
提纲	drög	Gerðu fyrst drög áður en þú skrifar grein.
提问	spyrja	Nemendur geta spurt hvenær sem er.
题目	verkefni	Þetta verkefni er ekki mjög erfitt.
体会	skilningur	Með ferðalaginu öðlaðist ég nýjan skilning.
体贴	umhyggjusamur	Hann er mjög umhyggjusamur við fjölskyldu sína.
体现	endurspegla	Þetta mál endurspeglar liðsanda.
体验	upplifa	Ég vil upplifa líf heimamanna.
天空	himinn	Himinninn er mjög blár í dag.
天真	barnslegur	Hugmynd barnsins er mjög barnsleg.
调皮	óþekkur	Sá köttur er mjög óþekkur.
调整	stilla	Við þurfum að stilla áætlunina.
挑战	áskorun	Þetta er mikil áskorun.
通常	venjulega	Hann fer venjulega á fætur klukkan sjö.
统一	samræma	Það þarf að samræma skoðanir allra.
痛苦	sársauki	Að missa vin sinn olli honum miklum sársauka.
痛快	skemmtilegur	Í dag skemmtum við okkur virkilega vel.
偷	stela	Ekki stela hlutum annarra.
投入	einbeittur	Hann vinnur mjög einbeittur.
投资	fjárfesta	Þau fjárfestu í nýju verkefni.
透明	gegnsær	Þessi bolli er gegnsær.
突出	áberandi	Kostir hans eru mjög áberandi.
土地	land	Þetta land er mjög frjósamt.
土豆	kartafla	Ég keypti nokkrar kartöflur.
兔子	kanína	Barnið á kanínu.
吐	æla	Honum líður illa og vill æla.
团	hópur	Við tókum þátt í ferðahópi.
推辞	afþakka	Hann afþakkaði boð vinar síns.
推广	kynna	Fyrirtækið er að kynna nýja vöru.
推荐	mæla með	Kennarinn mælti með þessari bók.
退	stíga til baka	Vinsamlegast stígðu eitt skref til baka.
退步	hraka	Ef maður æfir ekki hrakar kunnáttunni.
退休	fara á eftirlaun	Hann fer á eftirlaun á næsta ári.
歪	skakkur	Þetta málverk hangir skakkt.
外公	afi móðurmegin	Afi minn móðurmegin er áttræður í ár.
外交	diplómatía	Hann lærir alþjóðasamskipti og diplómatíu.
完美	fullkominn	Þessi áætlun er ekki fullkomin.
完善	bæta	Við þurfum að bæta þjónustuferlið.
完整	heill	Vinsamlegast gefðu mér heila skýrslu.
玩具	leikfang	Barnið setti leikföngin í kassann.
万一	ef ske kynni	Ef ske kynni að það rigndi förum við annan dag.
王子	prins	Prinsinn í sögunni er mjög hugrakkur.
往返	fram og til baka	Þessi miði gildir fram og til baka sama dag.
网络	nettenging	Nettengingin hér er mjög stöðug.
危害	skaða	Reykingar geta skaðað heilsuna.
威胁	ógna	Mengun ógnar ánni.
微笑	brosa	Hún brosti til mín.
唯一	eini	Þetta er eina leiðin.
围巾	trefill	Hann er með trefil á veturna.
围绕	snúast um	Umræðan snerist um þetta mál.
维修	viðgerð	Lyftan er í viðgerð.
违反	brjóta gegn	Að gera þetta brýtur gegn reglunum.
伟大	mikill	Þetta er mikil uppgötvun.
委屈	særður	Henni fannst hún beitt órétti.
尾巴	hali	Hvolpurinn dinglaði halanum.
位于	vera staðsettur	Skólinn er staðsettur í miðbænum.
位置	staður	Þessi staður er mjög rólegur.
未必	ekki endilega	Það sem hann sagði er ekki endilega satt.
未来	framtíð	Við þurfum að búa okkur undir framtíðina.
胃	magi	Mér er svolítið illt í maganum.
胃口	matarlyst	Hann hefur góða matarlyst í dag.
温暖	hlýr	Vorsólin er mjög hlý.
温柔	blíður	Hún talar mjög blíðlega.
文件	skjal	Vinsamlegast sendu mér skjalið.
文具	ritföng	Það eru mörg ritföng í skólatöskunni.
文明	menningarlegur	Að standa í röð er siðmenntuð hegðun.
文学	bókmenntir	Hún hefur gaman af kínverskum bókmenntum.
文字	letur; texti	Þessi texti er erfiður að lesa.
闻	finna lykt	Ég fann blómailm.
吻	kyssa	Móðirin kyssti barnið á kinnina.
稳定	stöðugur	Verðlag helst stöðugt.
问候	kveðja	Vinsamlegast færðu fjölskyldu þinni kveðju frá mér.
卧室	svefnherbergi	Það er stórt rúm í svefnherberginu.
握手	takast í hendur	Þau tókust í hendur þegar þau hittust.
屋子	herbergi	Það er hlýtt í herberginu.
无奈	ráðalaus	Hann hristi höfuðið ráðalaus.
无数	ótal	Það eru ótal stjörnur á næturhimninum.
无所谓	skiptir ekki máli	Það skiptir ekki máli hvað þú vilt borða.
武术	bardagalist	Hann hefur lært bardagalistir frá barnæsku.
勿	ekki	Vinsamlegast reykið ekki hér.
物理	eðlisfræði	Eðlisfræðitíminn er mjög áhugaverður.
物质	efni	Vatn er mikilvægt efni.
雾	þoka	Það var mikil þoka um morguninn.
吸取	læra af	Við eigum að læra af þessum lærdómi.
吸收	taka upp	Plöntur taka upp vatn.
戏剧	leiklist	Honum finnst gaman að horfa á hefðbundna leiklist.
系	deild	Hún stundar nám í kínverskudeildinni.
系统	kerfi	Þetta kerfi virkar stöðugt.
细节	smáatriði	Vinsamlegast taktu eftir þessum smáatriðum.
瞎	í blindni	Ekki giska í blindni, skoðaðu gögnin fyrst.
下载	hlaða niður	Ég hlóð þessum hugbúnaði niður.
吓	hræða	Skelfilegi hljóðið hræddi mig.
夏令营	sumarnámskeið	Barnið tók þátt í kínversku sumarnámskeiði.
鲜艳	skær	Liturinn á þessu pilsi er mjög skær.
显得	láta líta út	Þessi flík lætur hann líta mjög ungan út.
显然	augljóslega	Augljóslega veit hann nú þegar niðurstöðuna.
显示	sýna	Skjárinn sýnir rangan tíma.
县	sýsla	Í þessari sýslu eru margir tegarðar.
现代	nútímalegur	Nútímalíf er óaðskiljanlegt frá netsambandi.
现实	raunveruleiki	Við verðum að horfast í augu við raunveruleikann.
现象	fyrirbæri	Þetta fyrirbæri er mjög algengt.
限制	takmarka	Hér er aðgangur ökutækja takmarkaður.
相处	koma vel saman	Þeim kemur mjög vel saman.
相当	nokkuð	Þessi bók er nokkuð áhugaverð.
相对	tiltölulega	Verðin hér eru tiltölulega ódýr.
相关	viðeigandi	Vinsamlegast leggðu fram viðeigandi gögn.
相似	líkur	Merking þessara tveggja stafa er mjög lík.
香肠	pylsa	Í morgunmat eru egg og pylsa.
享受	njóta	Þau njóta frísins.
想念	sakna	Ég sakna fjölskyldunnar minnar mjög mikið.
想象	ímynda sér	Ég get ekki ímyndað mér slíkt líf.
象棋	kínversk skák	Afi hefur gaman af að tefla kínverska skák.
象征	tákna	Hvítt táknar oft hreinleika.
项	liður; atriði	Þetta verkefni er mjög mikilvægt.
项链	hálsmen	Hún er með silfurhálsmen.
项目	verkefni	Þetta verkefni tekur þrjá mánuði.
消费	neysla	Neyslan jókst yfir hátíðina.
消化	melting	Ganga eftir mat hjálpar meltingunni.
消极	neikvæður	Ekki líta á vandamál með neikvæðu viðhorfi.
消失	hverfa	Sólin hvarf hægt bak við fjallið.
销售	selja	Þetta fyrirtæki selur raftæki.
小麦	hveiti	Mikið hveiti er ræktað í norðri.
小气	nískur	Ekki vera svona nískur.
孝顺	góður við foreldra	Hann er mjög góður við foreldra sína.
效率	skilvirkni	Að gera þetta svona getur aukið skilvirkni.
歇	hvíla	Við skulum hvíla okkur smá fyrst.
斜	skakkur	Þessi vegur hallar svolítið.
写作	ritun	Ritun krefst langvarandi æfingar.
心理	andlegt ástand	Fyrir próf þarf að stilla andlega ástandið.
心脏	hjarta	Heilsa hjartans er mjög mikilvæg.
欣赏	dást að	Við dáðumst að fallegu landslaginu.
信号	merki	Farsímamerkið hér er slæmt.
信任	traust	Vinir þurfa að bera traust hver til annars.
形成	myndast	Góðar venjur þurfa að myndast smám saman.
形容	lýsa	Ég veit ekki hvernig ég á að lýsa þessari tilfinningu.
形势	staða	Núverandi staða er nokkuð flókin.
形式	form	Fundurinn getur farið fram á netinu.
形象	ímynd	Opinber ímynd hans er góð.
形状	lögun	Lögun þessa kassa er mjög sérstök.
行动	aðgerð	Við þurfum að grípa strax til aðgerða.
行人	vegfarandi	Gættu að vegfarendum þegar þú ferð yfir götuna.
行为	hegðun	Slík hegðun er ókurteis.
幸亏	sem betur fer	Sem betur fer minntir þú mig á þetta.
幸运	heppinn	Hann var heppinn að finna vinnu.
性质	eðli	Eðli þessa vandamáls er mjög alvarlegt.
兄弟	bræður	Bræðurnir tveir eiga gott samband.
胸	brjóst	Honum finnst svolítið þröngt fyrir brjóstinu.
休闲	afþreying	Helgin er góður tími fyrir afþreyingu.
修改	breyta	Vinsamlegast breyttu þessari grein.
虚心	auðmjúkur	Við eigum að hlusta á skoðanir af auðmýkt.
叙述	segja frá	Hann sagði skýrt frá því sem gerðist.
宣布	tilkynna	Skólinn tilkynnti nýju reglurnar.
宣传	kynna	Þau eru að kynna upplýsingar um umhverfisvernd.
学历	menntun	Þetta starf krefst háskólagráðu.
学术	fræðilegur	Á þessum fundi er rætt um fræðileg málefni.
学问	þekking	Hann er mjög fróður.
血	blóð	Það blæddi svolítið úr hendinni á honum.
寻找	leita að	Við erum að leita að nýrri aðferð.
询问	spyrjast fyrir	Hann spurði kennarann um próftímann.
训练	þjálfun	Íþróttamaðurinn æfir á hverjum degi.
迅速	hratt	Fréttin breiddist hratt út.
押金	tryggingargjald	Það þarf að greiða tryggingargjald þegar maður leigir húsnæði.
牙齿	tönn	Vinsamlegast hugsaðu vel um tennurnar á hverjum degi.
严肃	alvarlegur	Svipur kennarans er mjög alvarlegur.
延长	lengja	Fundurinn var lengdur um hálfa klukkustund.
演讲	ræða	Hann undirbýr ræðuna fyrir morgundaginn.
宴会	veisla	Þau tóku þátt í veislu.
阳台	svalir	Það eru nokkrir blómapottar á svölunum.
痒	klæja	Mig klæjar svolítið í handlegginn.
样式	stíll	Þessi stíll er mjög vinsæll.
腰	mjóbak	Mjóbakið getur farið að verkja eftir langa setu.
摇	hrista	Vindurinn hristi greinarnar fram og til baka.
咬	bíta	Þessi hundur bítur ekki fólk.
要不	annars; hvað með	Hvað með að við förum aftur á morgun?
业务	starfsemi	Starfsemi fyrirtækisins fer vaxandi.
业余	frístund	Hann lærir ljósmyndun í frístundum.
夜	nótt	Gatan er mjög róleg á nóttunni.
依然	enn	Hann býr enn í Peking.
一辈子	alla ævi	Hún elskaði tónlist alla ævi.
一旦	þegar	Þegar þú hefur ákveðið þig ættirðu að halda fast við það.
一律	allir án undantekningar	Á meðan fundinum stendur skulu allir símar vera slökktir.
一再	ítrekað	Hann minnti okkur ítrekað á að gæta öryggis.
一致	samhljóða	Skoðanir allra eru alveg samhljóða.
疑问	spurning	Ég hef spurningu um þetta svar.
移动	færa	Vinsamlegast færðu borðið aðeins.
移民	flytja úr landi	Þau ætla að flytja úr landi.
遗憾	sjá eftir	Ég sé eftir því að hafa ekki getað hitt þig.
乙	aðili B	Í samningnum ber aðili B ábyrgð á greiðslu.
以及	auk	Ég keypti bækur auk ritfanga.
以来	síðan	Síðan hann útskrifaðist hefur hann unnið í Peking.
义务	skylda	Að vernda umhverfið er skylda allra.
亿	milljarður	Í þessu landi búa rúmlega einn milljarður manna.
意外	óvænt	Það að koma of seint í þetta skipti var alveg óvænt.
意义	merking	Þessi viðburður er mjög þýðingarmikill.
议论	ræða	Allir eru að ræða þetta mál.
因而	þess vegna	Hann lærir af kappi og þess vegna eru einkunnir hans góðar.
因素	þáttur	Veður er mikilvægur þáttur.
银	silfur	Hún er með silfurarmband.
印刷	prentun	Þessi bók er mjög skýrt prentuð.
英俊	myndarlegur	Hann er mjög myndarlegur.
英雄	hetja	Slökkviliðsmenn eru sannar hetjur.
营养	næring	Morgunmatur ætti að innihalda næga næringu.
营业	vera opið	Þessi búð opnar klukkan níu.
迎接	taka á móti	Við fórum á flugvöllinn til að taka á móti gestunum.
影子	skuggi	Skugginn hans er undir götuljósinu.
应付	takast á við	Hann ræður við þetta vandamál.
应用	beita	Þessa aðferð má beita í kennslu.
硬	harður	Þessi stóll er of harður.
硬件	vélbúnaður	Þessi tölva er með góðan vélbúnað.
拥抱	faðma	Barnið hljóp til mömmu og faðmaði hana.
拥挤	þröngt	Neðanjarðarlestin er mjög þéttskipuð í morgunannríkinu.
勇气	hugrekki	Hann hefur hugrekki til að viðurkenna mistök.
用功	duglegur	Hún lærir mjög duglega.
用途	notkun	Þetta efni hefur margvíslega notkun.
优惠	afsláttur	Þessi búð er með afslátt í dag.
优美	fallegur	Umhverfið hér er mjög fallegt.
优势	kostur	Kostur hans er mikil reynsla.
悠久	langur	Kína á sér langa sögu.
油炸	steiktur	Ég borða sjaldan djúpsteiktan mat.
游览	skoða	Við skoðum Forboðnu borgina á morgun.
犹豫	hika	Hann hikaði í smá stund áður en hann svaraði.
有利	hagstæður	Þetta skilyrði er okkur hagstætt.
幼儿园	leikskóli	Barnið fer í leikskóla á næsta ári.
娱乐	afþreying	Að horfa á kvikmyndir er afþreying.
与其	frekar en	Frekar en að kvarta er betra að grípa til aðgerða.
语气	tónn	Tónninn í máli hans er mjög mildur.
玉米	maís	Það er maíssúpa í kvöldmat.
预报	spá	Veðurspáin segir að það rigni á morgun.
预订	bóka	Ég hef þegar bókað hótelið.
预防	koma í veg fyrir	Að þvo hendur oft getur komið í veg fyrir kvef.
元旦	nýársdagur	Á nýársdag fáum við frí í einn dag.
原料	hráefni	Helsta hráefnið í brauði er hveiti.
原则	meginregla	Maður ætti að hafa meginreglur.
员工	starfsmaður	Fyrirtækið hefur þrjú hundruð starfsmenn.
圆	kringlóttur	Tunglið er stórt og kringlótt.
愿望	ósk	Ósk hans er að ferðast um heiminn.
乐器	hljóðfæri	Hún kann að spila á nokkur hljóðfæri.
晕	sviminn	Ég verð svolítið sviminn þegar ég fer með báti.
运气	heppni	Ég er heppinn í dag.
运输	flutningur	Þessar vörur þurfa járnbrautarflutning.
运用	nota	Vinsamlegast notaðu þessi orð á sveigjanlegan hátt.
灾害	hamfarir	Flóð eru náttúruhamfarir.
再三	ítrekað	Kennarinn minnti okkur ítrekað á að rifja upp.
在乎	skipta máli	Honum skiptir miklu máli hvað vinum hans finnst.
在于	liggja í	Árangur liggur í þrautseigju.
赞成	samþykkja	Ég samþykki tillögu þína.
赞美	hrósa	Allir hrósuðu hugrekki hennar.
糟糕	hræðilegur	Veðrið í dag er virkilega hræðilegt.
造成	valda	Mikil rigning olli umferðarteppu.
则	þá	Ef maður leggur sig fram, þá verða framfarir.
责备	ásaka	Kennarinn ásakaði hann ekki.
摘	tína	Hún tíndi blóm í garðinum.
窄	þröngur	Þessi vegur er of þröngur.
粘贴	líma	Vinsamlegast límdu myndina hér.
展开	hefja	Umræðan hófst fljótt.
展览	sýning	Safnið er með nýja sýningu.
占	taka pláss	Þetta borð tekur pláss.
战争	stríð	Stríð færir fólki þjáningar.
掌握	ná tökum á	Hann hefur þegar náð tökum á grunnmálfræðinni.
涨	hækka	Leigan hefur hækkað aftur nýlega.
长辈	eldri ættingi	Á nýárinu á maður að heilsa eldri ættingjum.
账户	reikningur	Vinsamlegast athugaðu bankareikninginn þinn.
招待	taka á móti	Gestgjafinn tók hlýlega á móti gestunum.
着火	kvikna í	Það kviknaði skyndilega í eldhúsinu.
着凉	kvefast	Það er kalt, passaðu að kvefast ekki.
召开	halda fund	Skólinn heldur fund á morgun.
照常	eins og venjulega	Búðin verður opin eins og venjulega á morgun.
哲学	heimspeki	Hann lærði heimspeki í háskóla.
珍惜	meta	Við ættum að meta tímann.
真实	sannur	Þessi saga er sönn.
针对	miðast við	Þessi tillaga miðast við nýja nemendur.
诊断	greining	Læknirinn gerði fljótt greiningu.
振动	titra	Síminn titrar á borðinu.
阵	skúr	Það kom stuttur regnskúr úti.
争论	deila	Þau deildu lengi um þetta mál.
争取	berjast fyrir	Við eigum að berjast fyrir fleiri tækifærum.
征求	leita eftir	Kennarinn leitaði eftir skoðunum allra.
挣	losna	Fuglinn losnaði úr bandinu.
睁	opna	Vinsamlegast opnaðu augun aðeins meira.
整个	allur	Öll borgin er mjög róleg.
整齐	snyrtilegur	Bókunum er raðað mjög snyrtilega.
整体	heild	Við þurfum að hugsa um heildaráhrifin.
政府	ríkisstjórn	Ríkisstjórnin gaf út nýja tilkynningu.
政治	stjórnmál	Hann hefur mikinn áhuga á stjórnmálum.
正	réttur	Þetta svar er rétt.
证件	skilríki	Vinsamlegast sýndu skilríkin þín.
证据	sönnunargögn	Lögreglan fann ný sönnunargögn.
支	talningarorð fyrir mjóa hluti	Það er penni á borðinu.
支票	ávísun	Hann greiddi með ávísun.
执照	leyfi	Það þarf ökuskírteini til að aka.
直	beint	Gakktu beint áfram eftir þessum vegi.
指导	leiðbeina	Kennarinn leiðbeindi okkur við að skrifa ritgerðina.
指挥	stjórna	Hann ber ábyrgð á að stjórna þessari aðgerð.
制定	setja fram	Fyrirtækið setti fram nýja áætlun.
制度	kerfi	Skólinn hefur strangt kerfi.
制造	framleiða	Þessi verksmiðja framleiðir vélar.
制作	búa til	Hún er að búa til afmælisköku.
志愿者	sjálfboðaliði	Margir sjálfboðaliðar tóku þátt í viðburðinum.
智慧	viska	Þessi aldraði maður býr yfir mikilli visku.
治疗	meðferð	Læknirinn er að meðhöndla sjúklinginn.
秩序	regla	Vinsamlegast haldið röð og reglu.
至今	enn þann dag í dag	Þetta vandamál hefur enn ekki verið leyst.
至于	hvað varðar	Hvað kostnaðinn varðar ræðum við hann á morgun.
中介	miðlari	Hann leigði íbúðina í gegnum miðlara.
中心	miðja	Sjúkrahúsið er í miðborginni.
中旬	um miðjan mánuð	Fundurinn er áætlaður um miðjan maí.
种类	tegund	Hér eru margar tegundir af ávöxtum.
重大	mikill	Þetta er mikil ákvörðun.
重量	þyngd	Hver er þyngd þessa kassa?
周到	umhyggjusamur	Þjónusta hans er mjög umhyggjusöm.
猪	svín	Það eru mörg svín á bóndabænum.
竹子	bambus	Pöndum finnst gott að borða bambus.
逐步	skref fyrir skref	Áætlunin verður framkvæmd skref fyrir skref.
逐渐	smám saman	Veðrið kólnaði smám saman.
主持	stýra	Hún stýrir fundinum í dag.
主动	að eigin frumkvæði	Hann hjálpaði bekkjarfélaga sínum að eigin frumkvæði.
主观	huglægur	Þessi umsögn er svolítið huglæg.
主人	gestgjafi	Gestgjafinn bauð okkur hlýlega velkomin.
主任	forstöðumaður	Forstöðumaðurinn er á skrifstofunni.
主题	þema	Þema umræðunnar í dag er umhverfisvernd.
主席	fundarstjóri	Fundarstjórinn tilkynnti að fundurinn væri hafinn.
主张	mæla með	Hann mælir með að leysa umferðarvandann fyrst.
煮	sjóða	Mamma er að sjóða núðlur.
注册	skrá sig	Nýir notendur þurfa fyrst að skrá sig.
祝福	heillaósk	Vinirnir sendu heillaóskir sínar.
抓	grípa	Barnið greip í hönd mömmu sinnar.
抓紧	nýta vel	Við þurfum að nýta tímann vel.
专家	sérfræðingur	Sérfræðingurinn kom með tillögur.
专心	einbeittur	Í tíma þarf að hlusta einbeitt.
转变	breyting	Afstaða hans tók breytingum.
转告	koma skilaboðum áleiðis	Vinsamlegast segðu honum að það sé fundur á morgun.
装	setja	Vinsamlegast settu bækurnar í töskuna.
装饰	skreyta	Þau skreyttu herbergið með blómum.
装修	endurnýja	Nýja húsið er í endurnýjun.
撞	rekast á	Tveir bílar rákust saman á gatnamótunum.
状况	staða	Núverandi staða er nokkuð stöðug.
状态	ástand	Hann er í góðu formi í dag.
追	elta	Barnið eltir hvolpinn fyrir aftan.
追求	sækjast eftir	Hann hefur alltaf sóst eftir draumi sínum.
咨询	ráðfæra sig við	Þú getur ráðfært þig við sérfræðilækni.
姿势	líkamsstaða	Vinsamlegast haltu réttri líkamsstöðu.
资格	réttindi	Hann hefur rétt til að taka þátt í keppninni.
资金	fjármagn	Verkefnið þarf meira fjármagn.
资料	gögn	Vinsamlegast sendu mér gögnin.
资源	auðlind	Vatn er mikilvæg náttúruauðlind.
紫	fjólublár	Henni líkar fjólublátt.
字母	bókstafur	Enska hefur tuttugu og sex bókstafi.
字幕	texti	Þessi kvikmynd er með kínverskum texta.
自从	síðan	Síðan hann útskrifaðist kemur hann sjaldan aftur.
自动	sjálfvirkur	Þessi hurð opnast sjálfkrafa.
自豪	stoltur	Ég er stoltur af framförum mínum.
自觉	að eigin frumkvæði	Hann kláraði heimavinnuna að eigin frumkvæði.
自私	eigingjarn	Maður ætti ekki að vera of eigingjarn.
自由	frelsi	Allir meta frelsi.
自愿	sjálfviljugur	Þau tóku þátt í viðburðinum af fúsum og frjálsum vilja.
综合	samþættur	Við þurfum að taka alls konar þætti saman til skoðunar.
总裁	forstjóri	Forstjórinn hélt ræðu í dag.
总共	samtals	Þessi ferð kostaði samtals þrjú þúsund júan.
总理	forsætisráðherra	Forsætisráðherrann sótti fundinn.
总算	loksins	Vandamálið var loksins leyst.
总统	forseti	Forsetinn hélt sjónvarpsávarp.
总之	í stuttu máli	Í stuttu máli verðum við að ljúka þessu á réttum tíma.
组	hópur	Kennarinn skipti okkur í þrjá hópa.
组成	samanstanda af	Vatn samanstendur af vetni og súrefni.
组合	samsetning	Þessi litasamsetning er falleg.
组织	skipuleggja	Skólinn skipulagði ferð.
阻止	koma í veg fyrir	Lögreglan kom í veg fyrir hættulega hegðun.
最初	í upphafi	Í upphafi skildi ég þetta ekki alveg.
醉	drukkið	Hann drakk of mikið og er svolítið drukkinn.
尊敬	virða	Nemendurnir virða allir kennarann.
遵守	fylgja	Við verðum að fylgja umferðarreglum.
作品	verk	Þetta málverk er verk hans.
作为	sem	Sem kennari er hann mjög þolinmóður.
作文	ritgerð	Kennarinn lét okkur skrifa ritgerð.
