source_headword	MS	example_MS
hunt	memburu; mencari	Mereka mencari cendawan pada musim luruh.
hurricane	taufan	Taufan itu merosakkan banyak rumah.
hurry	tergesa-gesa	Tidak perlu tergesa-gesa hari ini.
identity	identiti	Identitinya masih dirahsiakan.
ignore	mengabaikan	Jangan abaikan amaran ini.
illegal	haram	Meletak kereta di sini adalah haram.
imaginary	khayalan	Cerita itu mempunyai pulau khayalan.
immediate	segera	Kami memerlukan jawapan segera.
immigrant	pendatang	Pendatang itu belajar bahasa Inggeris dengan cepat.
impact	kesan	Berita itu mempunyai kesan yang kuat.
import	mengimport	Negara itu akan mengimport lebih banyak beras.
importance	kepentingan	Dia memahami kepentingan tidur.
impression	tanggapan	Tanggapan pertamanya positif.
impressive	mengagumkan	Muzium itu mempunyai pintu masuk yang mengagumkan.
improvement	penambahbaikan	Terdapat penambahbaikan yang jelas bulan ini.
incredibly	sangat	Ujian itu sangat sukar.
indeed	memang	Hari itu memang pelik.
indicate	menunjukkan	Tanda itu akan menunjukkan jalan keluar.
indirect	tidak langsung	Dia memberikan jawapan tidak langsung.
indoor	dalam bangunan	Hotel itu mempunyai kolam renang dalam bangunan.
indoors	di dalam rumah	Kami tinggal di dalam rumah semasa ribut.
influence	pengaruh	Gurunya mempunyai pengaruh yang kuat.
ingredient	bahan	Tepung ialah bahan utama.
injure	mencederakan	Jangan cederakan belakang kamu.
injured	cedera	Pemain yang cedera meninggalkan padang.
innocent	tidak bersalah; polos	Kanak-kanak itu kelihatan sangat polos.
intelligence	kecerdasan	Dia menunjukkan kecerdasan tinggi di kelas.
intend	berniat	Saya berniat untuk belajar di luar negara.
intention	niat	Niatnya adalah untuk membantu.
invest	melabur	Mereka melabur wang dalam pendidikan.
investigate	menyiasat	Polis akan menyiasat kemalangan itu.
involved	terlibat	Beberapa pelajar terlibat.
iron	besi	Pintu pagar itu dibuat daripada besi.
issue	isu	Ini ialah isu yang serius.
IT	teknologi maklumat	Dia bekerja dalam teknologi maklumat.
journal	jurnal	Dia menulis dalam jurnal.
judge	hakim	Hakim itu mendengar dengan teliti.
keen	bersemangat	Dia bersemangat untuk belajar.
keyboard	papan kekunci	Papan kekunci saya berhenti berfungsi.
kick	menendang	Tendang bola itu dengan perlahan.
killing	pembunuhan	Pembunuhan itu mengejutkan kampung.
kind (caring)	baik hati	Itu perbuatan yang baik hati.
kiss	ciuman	Dia memberi bayi itu satu ciuman.
label	label	Baca label sebelum digunakan.
laboratory	makmal	Makmal itu ditutup hari ini.
lack	kekurangan	Kekurangan tidur menjejaskan ingatan.
latest	terkini	Adakah kamu sudah membaca laporan terkini.
lay	meletakkan	Letakkan buku itu di atas meja.
layer	lapisan	Tambah satu lapisan cat lagi.
leading	terkemuka	Dia ialah saintis terkemuka.
leaf	daun	Sehelai daun jatuh pada kot saya.
leather	kulit	Baginya dibuat daripada kulit.
legal	undang-undang; sah	Kami memerlukan nasihat undang-undang.
leisure	masa lapang	Membaca ialah aktiviti masa lapang kegemaran saya.
length	panjang	Ukur panjang bilik itu.
lie2 (tell a lie)	berbohong	Jangan berbohong kepada ibu bapa kamu.
limit	had	Had laju ialah lima puluh.
lip	bibir	Dia menggigit bibirnya.
liquid	cecair	Air ialah cecair yang jernih.
literature	kesusasteraan	Dia mempelajari kesusasteraan Perancis.
live2	secara langsung	Kumpulan itu bermain secara langsung malam tadi.
living	hidup	Tumbuhan hidup memerlukan cahaya.
locate	mencari lokasi	Bolehkah kamu mencari lokasi fail itu.
located	terletak	Pejabat itu terletak di pusat bandar.
location	lokasi	Ini lokasi yang baik.
lonely	kesepian	Dia berasa kesepian selepas berpindah.
loss	kehilangan	Kehilangan itu sukar bagi semua orang.
luxury	kemewahan	Hotel itu menawarkan kemewahan sebenar.
mad	marah	Dia marah tentang kelewatan itu.
magic	sihir	Pertunjukan itu penuh dengan sihir.
mainly	terutamanya	Kumpulan itu terutamanya pelajar.
mall	pusat beli-belah	Kami bertemu di pusat beli-belah.
management	pengurusan	Pengurusan yang baik menjimatkan masa.
marketing	pemasaran	Pemasaran membantu menjual produk.
marriage	perkahwinan	Perkahwinan mereka bertahan tiga puluh tahun.
meanwhile	sementara itu	Saya memasak makan malam sementara itu.
measure	mengukur	Ukur meja itu dengan teliti.
medium	sederhana	Saya memesan piza sederhana.
mental	mental	Tekanan menjejaskan kesihatan mental.
mess	sepah	Bersihkan sepah ini.
mild	ringan	Sup itu mempunyai rasa yang ringan.
mine (hole in the ground)	lombong	Lombong itu ditutup tahun lepas.
mix	mencampur	Campurkan telur dengan susu.
mixture	campuran	Campuran itu menjadi pekat.
mood	suasana hati	Muzik mengubah suasana hatinya.
mud	lumpur	Kasutnya diliputi lumpur.
murder	pembunuhan	Pembunuhan itu berlaku pada waktu malam.
muscle	otot	Senaman membina otot.
mystery	misteri	Rumah lama itu satu misteri.
nail	kuku	Satu kuku saya patah.
narrative	naratif	Novel itu mempunyai naratif yang jelas.
nation	negara	Seluruh negara meraikannya.
native	ibunda	Bahasa Sepanyol ialah bahasa ibundanya.
naturally	secara semula jadi	Kanak-kanak belajar secara semula jadi melalui bermain.
necessarily	semestinya	Makanan mahal tidak semestinya lebih baik.
needle	jarum	Jarum itu sangat tajam.
neighbourhood	kawasan kejiranan	Mereka tinggal di kawasan kejiranan yang tenang.
net	jaring	Nelayan itu membaiki jaringnya.
nor	mahupun	Dia tidak tersenyum mahupun bercakap.
northern	utara	Mereka melawat pantai utara.
nuclear	nuklear	Perbahasan itu tentang kuasa nuklear.
obvious	jelas	Jawapannya jelas.
obviously	jelas sekali	Jelas sekali, kita memerlukan lebih masa.
occasion	majlis	Ini majlis yang istimewa.
occur	berlaku	Kemalangan boleh berlaku di mana-mana.
odd	pelik	Itu soalan yang pelik.
official	rasmi	Keputusan rasmi tiba hari ini.
old-fashioned	ketinggalan zaman	Telefonnya kelihatan ketinggalan zaman.
operation	pembedahan; operasi	Pembedahan itu berlangsung dua jam.
organized	teratur	Mejanya sangat teratur.
organizer	penganjur	Penganjur itu menyambut tetamu.
originally	asalnya	Dia asalnya datang dari Kanada.
ought modal	sepatutnya	Kamu sepatutnya berehat.
ours	milik kami	Meja ini milik kami.
outdoor	luar rumah	Kami membeli perabot luar rumah.
outdoors	di luar	Kanak-kanak patut bermain di luar.
package	bungkusan	Bungkusan itu tiba pagi ini.
painful	menyakitkan	Luka itu menyakitkan.
pale	pucat	Wajahnya kelihatan pucat.
pan	kuali	Panaskan kuali dahulu.
participate	menyertai	Semua orang boleh menyertai.
particularly	terutamanya	Saya terutamanya suka lagu ini.
passion	minat	Muzik ialah minatnya.
path	laluan	Ikut laluan melalui taman.
payment	pembayaran	Pembayaran perlu dibuat esok.
peaceful	tenang	Taman itu tenang.
percentage	peratusan	Peratusan kecil bersetuju.
perfectly	dengan sempurna	Rancangan itu berhasil dengan sempurna.
performance	persembahan	Persembahannya sangat cemerlang.
personally	secara peribadi	Secara peribadi, saya lebih suka teh.
persuade	memujuk	Bolehkah kamu memujuknya untuk menyertai.
photographer	jurugambar	Jurugambar itu mengambil banyak gambar.
photography	fotografi	Fotografi ialah hobi kegemarannya.
pin	pin	Letakkan pin pada peta.
pipe	paip	Paip itu membawa air.
planning	perancangan	Perancangan mengambil masa.
pleasant	menyenangkan	Kami mempunyai malam yang menyenangkan.
pleasure	kesenangan	Gembira bertemu dengan kamu.
plenty	banyak	Kita mempunyai banyak masa.
plot	plot	Plot itu mudah diikuti.
plus1	tambah	Dua tambah tiga ialah lima.
poem	sajak	Dia menulis sajak pendek.
poet	penyair	Penyair itu membaca dengan kuat.
poetry	puisi	Dia menikmati puisi moden.
poison	racun	Jauhkan racun daripada kanak-kanak.
poisonous	beracun	Sesetengah cendawan beracun.
policy	dasar	Syarikat itu menukar dasarnya.
political	politik	Ucapan itu bersifat politik.
politician	ahli politik	Ahli politik itu menjawab soalan.
politics	politik	Politik boleh menjadi rumit.
port	pelabuhan	Kapal itu memasuki pelabuhan.
portrait	potret	Potret itu tergantung di dewan.
possibly	mungkin	Dia mungkin tiba lewat.
pot	pasu; periuk	Tumbuhan itu memerlukan pasu yang lebih besar.
pour	menuang	Tuang susu perlahan-lahan.
poverty	kemiskinan	Banyak keluarga hidup dalam kemiskinan.
powder	serbuk	Tambah serbuk ke dalam air.
powerful	berkuasa	Enjin itu berkuasa.
practical	praktikal	Ini penyelesaian yang praktikal.
pray	berdoa	Mereka berdoa setiap pagi.
prayer	doa	Dia membaca doa yang senyap.
prediction	ramalan	Ramalannya betul.
prepared	bersedia	Saya bersedia untuk peperiksaan.
presentation	pembentangan	Pembentangannya jelas.
press	menekan	Tekan butang sekali.
pressure	tekanan	Tekanan boleh menjejaskan kesihatan.
pretend	berpura-pura	Jangan berpura-pura tidur.
previous	sebelumnya	Pelajaran sebelumnya lebih mudah.
previously	sebelum ini	Kami tinggal di Rom sebelum ini.
priest	paderi	Paderi itu bercakap dengan lembut.
primary	utama	Kesihatan ialah kebimbangan utama kami.
prince	putera	Putera itu melawat sekolah.
princess	puteri	Puteri itu memakai gaun biru.
printing	percetakan	Mencetak laporan itu mengambil beberapa minit.
prisoner	banduan	Banduan itu melarikan diri pada waktu malam.
private	peribadi	Ini perbualan peribadi.
producer	penerbit	Penerbit itu menyukai filem itu.
production	pengeluaran	Pengeluaran bermula minggu depan.
profession	profesion	Mengajar ialah profesion yang dihormati.
profit	keuntungan	Kedai itu memperoleh keuntungan.
promote	menggalakkan	Mereka menggalakkan pemakanan sihat.
proper	sesuai	Pakai kasut yang sesuai untuk mendaki.
properly	dengan betul	Tutup pintu dengan betul.
property	harta	Mereka membeli harta berhampiran sungai.
protest	bantahan	Bantahan itu berakhir dengan aman.
proud	bangga	Dia berasa bangga dengan anak lelakinya.
prove	membuktikan	Bolehkah kamu membuktikan jawapan kamu.
punish	menghukum	Guru itu tidak menghukumnya.
punishment	hukuman	Hukuman itu kelihatan adil.
qualification	kelayakan	Kamu memerlukan kelayakan untuk kerja ini.
qualified	berkelayakan	Dia seorang jururawat berkelayakan.
qualify	layak	Pasukan kami mungkin layak.
queue	barisan	Kami menunggu dalam barisan panjang.
quit	berhenti	Dia memutuskan untuk berhenti merokok.
quotation	petikan	Karangan itu bermula dengan petikan.
quote	memetik	Bolehkah saya memetik kata-kata kamu.
race (people)	kaum	Borang itu bertanya tentang kaum.
racing	lumba	Lumba kuda popular di sana.
range	julat; pelbagai	Kedai itu menjual pelbagai barang.
rare	jarang	Burung ini jarang ditemui.
rarely	jarang	Kami jarang makan di luar.
reaction	reaksi	Reaksinya mengejutkan saya.
reality	realiti	Realiti berbeza daripada mimpinya.
receipt	resit	Simpan resit itu.
recommendation	cadangan	Terima kasih atas cadangan itu.
reference	rujukan	Tambah rujukan di bahagian akhir.
reflect	memantulkan	Cermin boleh memantulkan cahaya.
regularly	secara kerap	Dia bersenam secara kerap.
reject	menolak	Mereka mungkin menolak tawaran itu.
relate	berkaitan	Saya boleh berkaitan dengan cerita itu.
related	berkaitan	Dua masalah itu berkaitan.
relation	hubungan	Terdapat hubungan antara kedua-duanya.
relative	relatif	Kelajuan adalah relatif.
relaxed	santai	Dia berasa santai selepas makan malam.
relaxing	menenangkan	Muzik itu menenangkan.
release	mengeluarkan	Mereka akan mengeluarkan filem itu tidak lama lagi.
reliable	boleh dipercayai	Bas ini biasanya boleh dipercayai.
religion	agama	Agama penting baginya.
religious	keagamaan	Mereka melawat bangunan keagamaan.
remain	kekal	Sila kekal tenang.
remind	mengingatkan	Ingatkan saya esok.
remote	terpencil	Mereka tinggal di kampung terpencil.
rent	sewa	Sewa perlu dibayar hari ini.
repeated	berulang	Kesilapan berulang melambatkan kerja.
represent	mewakili	Bintang itu mewakili harapan.
require	memerlukan	Kerja ini akan memerlukan latihan.
reservation	tempahan	Saya membuat tempahan.
resource	sumber	Perpustakaan ialah sumber yang berguna.
respect	menghormati	Hormati rakan sekelas kamu.
responsibility	tanggungjawab	Penjagaan anak ialah tanggungjawab besar.
responsible	bertanggungjawab	Dia bertanggungjawab atas tiket.
retire	bersara	Ayah saya akan bersara tidak lama lagi.
retired	bersara	Dia seorang guru yang sudah bersara.
revise	menyemak	Semak karangan kamu malam ini.
risk	risiko	Terdapat risiko hujan.
robot	robot	Robot itu membersihkan lantai.
roll	menggolek	Golekkan bola kepada saya.
romantic	romantik	Mereka makan malam yang romantik.
rope	tali	Ikat tali itu dengan ketat.
rough	kasar	Jalan itu kasar.
row1	baris	Duduk di baris hadapan.
royal	diraja	Keluarga diraja telah tiba.
rugby	ragbi	Kami menonton ragbi di televisyen.
safety	keselamatan	Keselamatan penting di tempat kerja.
sailor	pelaut	Pelaut itu membaiki bot.
sample	sampel	Jururawat mengambil sampel darah.
sand	pasir	Pasir menutupi kasut saya.
scan	mengimbas	Imbas dokumen itu dahulu.
scientific	saintifik	Ini kaedah saintifik.
script	skrip	Pelakon itu membaca skrip.
sculpture	arca	Arca itu berdiri di luar.
secondary	sekunder	Ini masalah sekunder.
security	keselamatan	Keselamatan memeriksa beg kami.
seed	benih	Tanam benih di dalam tanah.
sensible	masuk akal	Itu idea yang masuk akal.
seriously	secara serius	Ambil masalah ini secara serius.
servant	pembantu	Pembantu itu membuka pintu.
set (put)	meletakkan	Letakkan gelas di atas meja.
set (group)	set	Set ini termasuk enam cawan.
setting	latar	Cerita itu mempunyai latar bandar.
sex	jantina	Borang itu meminta umur dan jantina.
sexual	seksual	Kelas itu membincangkan kesihatan seksual.
sharp	tajam	Pisau ini tajam.
shelf	rak	Letakkan buku di atas rak.
shell	cengkerang	Cengkerang itu kosong.
shift	syif	Syif saya bermula pada pukul lapan.
shine	bersinar	Bintang bersinar pada waktu malam.
shiny	berkilat	Kasutnya berkilat.
shoot	merakam	Jurugambar akan merakam adegan itu.
shy	pemalu	Dia pemalu dengan orang asing.
sight	pemandangan	Gunung itu pemandangan yang indah.
signal	isyarat	Isyarat itu lemah.
silent	senyap	Bilik itu menjadi senyap.
silly	bodoh	Itu kesilapan bodoh.
similarity	persamaan	Terdapat persamaan yang jelas.
similarly	dengan sama	Perancangan kedua berfungsi dengan sama.
simply	hanya	Hanya tekan butang ini.
sink	tenggelam	Batu berat tenggelam dengan cepat.
slice	keping	Saya makan sekeping kek.
slightly	sedikit	Bilik itu sedikit lebih panas.
smart	kemas	Dia memakai jaket yang kemas.
smooth	licin	Jalan itu licin.
software	perisian	Perisian itu memerlukan kemas kini.
soil	tanah	Tanah itu kering.
solid	pejal	Dinding itu pejal.
southern	selatan	Mereka tinggal di pantai selatan.
specifically	secara khusus	Saya meminta teh secara khusus.
spending	perbelanjaan	Perbelanjaan kerajaan meningkat.
spicy	pedas	Kari ini pedas.
spirit	semangat	Pasukan itu menunjukkan semangat yang hebat.
spoken	lisan	Bahasa Inggeris lisan bertambah baik dengan latihan.
spot	tempat	Tempat ini sempurna.
spread	menyapu	Sapu mentega pada roti.
stadium	stadium	Stadium itu penuh.
staff	kakitangan	Kakitangan itu membantu.
standard	standard	Standard itu tinggi.
statistic	statistik	Statistik ini mengejutkan.
statue	patung	Patung itu berdiri di dataran.
stick (push into/attach)	menampal	Tampal label pada kotak.
stick (piece of wood)	batang kayu	Dia mengambil sebatang kayu.
