source_headword	SW	example_SW
institute	taasisi	Taasisi ilianzisha programu mpya ya utafiti.
institution	shirika	Taasisi ilibadilisha sheria zake za udahili.
insurance	bima	Bima yake ililipa gharama za hospitali.
intended	iliyokusudiwa	Ujumbe uliwafikia watazamaji waliokusudiwa.
intense	kali	Mjadala ulikuwa mkali haraka sana.
internal	ya ndani	Kampuni ilianza ukaguzi wa ndani.
interpret	kutafsiri	Tafadhali fasiri matokeo kwa uangalifu.
interrupt	kukatiza	Usikatize mzungumzaji sasa.
investigation	uchunguzi	Uchunguzi ulifichua makosa makubwa.
investment	uwekezaji	Uwekezaji ulitengeneza nafasi nyingi za kazi za ndani.
joy	furaha	Mafanikio yao yalileta furaha kubwa.
judgement	hukumu	Hukumu yake iliboreka kutokana na uzoefu.
junior	mdogo	Alijiunga na timu kama mchambuzi wa ngazi ya chini.
justice	haki	Familia ilidai haki baada ya kesi kumalizika.
justify	kuhalalisha	Lazima uhalalishe uamuzi huo waziwazi.
labour	nguvu kazi	Mradi unahitaji nguvu kazi yenye ujuzi.
landscape	mandhari	Mandhari yalibadilika baada ya dhoruba.
largely	kwa kiasi kikubwa	Mpango huo ulifanikiwa kwa kiasi kikubwa.
launch	kuzindua	Watazindua bidhaa hiyo kesho.
leadership	uongozi	Uongozi thabiti ulisaidia timu kupona.
league	ligi	Klabu yetu ilijiunga na ligi ya kikanda.
lean	kuegemea	Usiegemee ukuta wenye maji.
licence	leseni	Leseni inaisha muda wake mwezi ujao.
limited	chache	Tuna muda mchache leo.
lively	changamfu	Mkutano ulikuwa mchangamfu baada ya chakula cha mchana.
load	mzigo	Lori lilibeba mzigo mzito.
loan	mkopo	Benki iliidhinisha mkopo.
logical	yenye mantiki	Hoja yake ilikuwa wazi na yenye mantiki.
long-term	ya muda mrefu	Hili ni suluhisho la muda mrefu.
loose	legelege	Kipini kinahisi legelege.
lord	bwana	Bwana huyo alimiliki vijiji kadhaa.
lower	kushusha	Wao hushusha bei wakati wa msimu wa baridi.
lung	pafu	Uvutaji sigara unaweza kuharibu pafu.
maintain	kudumisha	Tunadumisha mawasiliano ya mara kwa mara.
majority	wengi	Wengi waliunga mkono pendekezo hilo.
mass	kundi	Kundi la mawingu lilifunika anga.
massive	kubwa sana	Tetemeko la ardhi lilisababisha uharibifu mkubwa sana.
master	bingwa	Alikuwa bingwa wa majadiliano.
matching	inayoendana	Alivaa viatu na mshipi unaoendana.
maximum	upeo	Chumba kilifikia uwezo wake wa mwisho.
means	njia	Barua pepe ndiyo njia yetu kuu ya mawasiliano.
measurement	kipimo	Kipimo kilikuwa na makosa kidogo.
melt	kuyeyuka	Theluji itayeyuka ifikapo mchana.
military	ya kijeshi	Kambi ya kijeshi ilifungwa mwaka jana.
mineral	madini	Chuma ni madini muhimu.
minimum	ya chini kabisa	Umri wa chini kabisa ni miaka kumi na nane.
minister	waziri	Waziri alijibu maswali magumu.
minor	ndogo	Ajali ilisababisha uharibifu mdogo.
minority	wachache	Wachache walipinga sheria hiyo mpya.
mission	kazi	Kazi yao ilikamilika salama.
mixed	mchanganyiko	Habari zilipokea hisia mchanganyiko.
modify	kurekebisha	Tunaweza kurekebisha muundo baadaye.
monitor	kufuatilia	Muuguzi atafuatilia hali yake.
moral	-a kimaadili	Hadithi ina somo la kimaadili.
motor	mota	Mota ilisimama bila onyo.
mount	kufunga	Wanafunga kamera karibu na mlango.
multiple	nyingi	Sababu nyingi zilisababisha ucheleweshaji.
multiply	kuzidisha	Zidisha namba kwa kumi.
mysterious	-a siri / -a kutatanisha	Nuru ya ajabu ilitokea nje.
neat	nadhifu	Dawati lake huwa nadhifu kila wakati.
nerve	mshipa wa fahamu	Jeraha liliharibu mshipa wa fahamu.
nevertheless	hata hivyo	Kazi ilikuwa ngumu; hata hivyo, tulimaliza.
nightmare	jinamizi	Safari iligeuka kuwa jinamizi.
notion	wazo / dhana	Kataa dhana kwamba mabadiliko hayawezekani.
numerous	nyingi	Tafiti nyingi zinaunga mkono wazo hili.
obey	kutii	Madereva lazima watii alama.
objective	lengo	Lengo letu ni kupunguza taka.
obligation	wajibu	Wazazi wana wajibu wa kuwalinda watoto.
observation	uchunguzi / maoni	Uchunguzi wake ulibadilisha mjadala.
observe	kuchunguza	Wanasayansi huchunguza ndege kila chemchemi.
obtain	kupata	Lazima upate ruhusa iliyoandikwa.
occasionally	mara kwa mara	Yeye hufanya kazi kutoka nyumbani mara kwa mara.
offence	kosa / chukizo	Maoni hayo yalisababisha chukizo kubwa.
offend	kuudhi	Sikukusudia kuudhi mtu yeyote.
offensive	-a kuudhi	Bango lilikuwa na lugha ya kuudhi.
opening	nafasi (ya kazi)	Nafasi ya kazi ilivutia waombaji wengi.
operate	kufanya kazi / kuendesha	Mashine inaweza kufanya kazi moja kwa moja.
opponent	mpinzani	Mpinzani wake alikosoa sera hiyo.
oppose	kupinga	Wakazi wengi wanapinga mpango huo.
opposed	-inayopingana	Makundi yalikuwa na maoni yanayopingana.
opposition	upinzani	Pendekezo lilikabiliwa na upinzani mkali.
organ	kiungo	Moyo ni kiungo muhimu.
origin	asili / chanzo	Chanzo cha moto hakijulikani.
otherwise	vinginevyo	Ondoka sasa; vinginevyo, utachelewa.
outcome	matokeo	Matokeo yalishangaza kila mtu.
outer	-a nje	Ukuta wa nje unahitaji matengenezo.
outline	kueleza kwa muhtasari	Tafadhali eleza kwa muhtasari hoja yako kuu.
overall	kwa ujumla / -a jumla	Matokeo ya jumla yalikuwa mazuri.
owe	kudaiwa / kuwa na deni	Ninapaswa kukuomba msamaha.
pace	mwendo / kasi	Tembea kwa mwendo wa kawaida.
panel	jopo	Jopo lilijadili sera ya hali ya hewa.
parliament	bunge	Bunge liliidhinisha sheria mpya.
participant	mshiriki	Kila mshiriki alisaini fomu.
partly	kwa kiasi	Ucheleweshaji ulikuwa kosa letu kwa kiasi.
passage	kifungu	Soma kifungu kabla ya kujibu.
pension1	pensheni	Pensheni yake inamsaidia baada ya kustaafu.
permanent	-a kudumu	Wanahitaji suluhisho la kudumu.
permit	kuruhusu	Sheria zinaruhusu ziara fupi.
perspective	mtazamo	Jaribu kuona mtazamo wake.
phase	awamu	Mradi uliingia katika awamu yake ya mwisho.
phenomenon	jambo	Jambo hili hutokea katika tamaduni nyingi.
philosophy	falsafa	Falsafa yake inathamini vitendo.
pile	rundo	Rundo la karatasi lilifunika dawati.
pitch	uwanja	Timu iliandaa uwanja kwa uangalifu.
plain	wazi	Maelekezo yalikuwa wazi na ya moja kwa moja.
pointed	kali	Alitoa maoni makali.
popularity	umaarufu	Mwimbaji alipata umaarufu mtandaoni.
pose	kusababisha	Swali hilo linaweza kusababisha tatizo.
possess	kuwa na	Wanafunzi wachache wana ujuzi huo.
potential	uwezo	Wazo lina uwezo wa kweli.
praise	sifa	Mwalimu alitoa sifa za dhati.
pregnant	mjamzito	Yeye ni mjamzito wa miezi sita.
preparation	maandalizi	Maandalizi mazuri hupunguza msongo wa mawazo.
presence	uwepo	Uwepo wake ulibadilisha hali.
preserve	kuhifadhi	Lazima tuhifadhi jengo hili la kihistoria.
prime	kuu	Sababu kuu ilikuwa mipango mibovu.
principle	kanuni	Uamuzi ulifuata kanuni wazi.
priority	kipaumbele	Usalama ni kipaumbele chetu cha kwanza.
privacy	faragha	Wateja wanatarajia faragha mtandaoni.
procedure	utaratibu	Utaratibu huchukua dakika thelathini.
proof	ushahidi	Tunahitaji ushahidi kabla ya kuchukua hatua.
proposal	pendekezo	Pendekezo linahitaji maelezo zaidi.
propose	kupendekeza	Ninapendekeza suluhisho tofauti.
prospect	matarajio	Matarajio ya kushindwa yaliwatia wasiwasi.
protection	ulinzi	Kofia ngumu hutoa ulinzi wa kimsingi.
psychologist	mwanasaikolojia	Mwanasaikolojia alieleza matokeo ya mtihani.
psychology	saikolojia	Anajifunza saikolojia chuo kikuu.
publication	chapisho	Chapisho hilo lilivutia umma.
pupil	mwanafunzi	Kila mwanafunzi alipokea kitabu kipya cha kiada.
purchase	ununuzi	Wao hununua vifaa kila mwezi.
pure	safi	Maji yalikuwa safi na baridi.
pursue	kufuata	Atafuata taaluma ya udaktari.
rank	cheo	Ana cheo cha juu.
rapid	ya haraka	Nchi iliona ukuaji wa haraka.
rapidly	kwa haraka	Bei zilipanda kwa haraka mwaka huu.
raw	mbichi	Mpishi aliandaa mboga mbichi.
realistic	ya kweli	Weka tarehe ya mwisho ya kweli.
reasonable	ya kuridhisha	Hilo linaonekana kama ombi la kuridhisha.
recall	kukumbuka	Ninakumbuka maneno yake kamili.
recover	kupona	Atapona baada ya matibabu.
reduction	punguzo	Punguzo liliokoa pesa.
regard	kuchukulia	Watu wengi wanamchukulia kama mwaminifu.
regional	kikanda	Ofisi ya kikanda imefungwa leo.
register	kujisajili	Tafadhali jisajili kabla ya mkutano.
regret	kujutia	Ninajutia uamuzi wangu wa awali.
regulation	kanuni	Kanuni mpya inawaathiri madereva wote.
relatively	kwa kiasi fulani	Mtihani ulikuwa rahisi kwa kiasi fulani.
relevant	muhimu	Chagua maelezo muhimu tu.
relief	afueni	Habari zilileta afueni kubwa.
rely	kutegemea	Watoto hutegemea msaada wa watu wazima.
remark	maoni	Maoni yake yalimaliza mjadala.
representative	mwakilishi	Mwakilishi alikutana na wafanyakazi wa ndani.
reputation	sifa	Hoteli ina sifa nzuri.
requirement	sharti	Uzoefu ni sharti la msingi.
rescue	kuokoa	Wanaokoa watu kutoka kwenye mafuriko.
reserve	kuweka nafasi	Tunaweka nafasi za viti kwa ajili ya wageni.
resident	mkazi	Kila mkazi alipokea ilani.
resist	kupinga	Jaribu kupinga shinikizo.
resolve	kutatua	Walitatua mzozo kwa amani.
resort	kituo cha mapumziko	Kituo cha mapumziko cha kisiwani kilifunguliwa Mei.
retain	kubakiza	Kampuni inataka kubakiza wafanyakazi.
reveal	kufichua	Ripoti itafichua ukweli.
revolution	mapinduzi	Mapinduzi yalibadilisha nchi.
reward	thawabu	Kazi ngumu inastahili thawabu.
rhythm	ridhimu	Wimbo una mapigo thabiti.
rid	kuondoa	Ondoa hayo mafaili ya zamani.
root	mzizi	Mzizi wa tatizo ni pesa.
rub	kusugua	Sugua uso na kitambaa.
rubber	mpira	Kifuniko cha mpira huzuia kuvuja.
rural	ya vijijini	Shule nyingi za vijijini zinahitaji msaada.
rush	kuharakisha	Usiharakishe uamuzi huu.
satellite	satelaiti	Satelaiti ilituma picha mpya.
satisfied	kuridhika	Mteja alionekana kuridhika.
satisfy	kuridhisha	Jibu halikumridhisha.
saving	uhifadhi	Uhifadhi wa nishati hupunguza gharama za kila mwezi.
scale	kiwango	Kiwango cha uharibifu kilikuwa kikubwa.
scheme	mpango	Mpango huu husaidia wafanyakazi vijana.
scream	kiyowe	Walisikia kiyowe nje.
sector	sekta	Sekta ya teknolojia inakua.
secure	kulinda	Funga mlango kwa kufuli ili kuulinda.
seek	kutafuta	Wanatafuta ushauri kutoka kwa wataalam.
select	kuchagua	Chagua chaguo bora.
selection	chaguo	Duka linatoa chaguo pana.
self	nafsi	Alionyesha nafsi yake ya kweli.
senior	mkuu	Daktari mkuu alimchunguza mgonjwa.
sensitive	nyeti	Mada hii ni nyeti sana.
sequence	mlolongo	Fuata mlolongo wa hatua.
session	kikao	Kipindi cha mafunzo kinaanza mchana.
settle	kusuluhisha	Wanasuluhisha mabishano haraka.
severe	kali	Dhoruba ilisababisha mafuriko makali.
shade	kivuli	Kaa kwenye kivuli.
shadow	kivuli	Kivuli kilipita kwenye dirisha.
shallow	kina kifupi	Ziwa lina kina kifupi hapa.
shame	aibu	Aliona aibu baada ya kusema uongo.
shelter	makazi	Shule ilitoa hifadhi ya dharura.
shock	mshtuko	Uamuzi huo ulikuwa mshtuko.
shocked	kushtuka	Alionekana kushtushwa na habari hizo.
shooting	ufyatuaji risasi	Ufyatuaji risasi ulitokea karibu na kituo.
shot	shuti	Shuti la ushindi lilishangaza kila mtu.
significant	muhimu	Ugunduzi huo ulikuwa muhimu.
significantly	kwa kiasi kikubwa	Gharama ziliongezeka kwa kiasi kikubwa mwaka jana.
silence	ukimya	Chumba kiliingia katika ukimya.
silk	hariri	Nguo hiyo ilitengenezwa kwa hariri.
sincere	-a dhati	Tafadhali pokea shukrani zangu za dhati.
slave	mtumwa	Sheria ilimweka huru kila mtumwa.
slide	kuteleza	Mtoto alishuka kwenye sehemu ya kutelezea.
slight	-dogo	Kulikuwa na ucheleweshaji mdogo.
slip	kuteleza	Usiteleze kwenye sakafu yenye maji.
slope	mteremko	Njia inafuata mteremko mkali.
solar	-a jua	Nyumba inatumia nishati ya jua.
somewhat	kiasi	Maagizo yalikuwa ya kuchanganya kiasi.
soul	roho	Muziki uliinua roho yake.
specialist	mtaalamu	Mtaalamu alimchunguza mgonjwa.
species	spishi	Spishi hii inaishi karibu na mito.
spiritual	-a kiroho	Alielezea uzoefu wa kiroho.
split	kugawanya	Waligawanya bili sawa.
sponsor	kudhamini	Kampuni itadhamini tukio hilo.
stable	imara	Mgonjwa yuko katika hali imara.
stare	kukodolea macho	Usiwakodolee macho wageni.
status	hadhi	Hadhi yake ilibadilika usiku mmoja.
steady	thabiti	Weka mwendo thabiti.
steel	chuma	Daraja limetengenezwa kwa chuma.
steep	mwinuko mkali	Kilima kina mwinuko mkali.
sticky	-a kunata	Sakafu inahisi kunata.
stiff	-gumu	Bega lake lilihisi kukakamaa.
stock	bidhaa	Duka halina bidhaa zilizobaki.
stream	kijito	Kijito kidogo kinapita uwanjani.
stretch	kunyoosha	Nyoosha miguu yako baada ya ndege.
strict	-kali	Shule ina sheria kali.
strike	kugoma	Wafanyakazi wanaweza kugoma kesho.
struggle	kuhangaika	Familia nyingi zinahangaika na kodi.
submit	kuwasilisha	Wasilisha fomu ifikapo Ijumaa.
sum	jumla	Jumla ilikuwa kubwa kuliko ilivyotarajiwa.
surgery	upasuaji	Upasuaji ulichukua saa mbili.
surround	kuzunguka	Miti mirefu inazunguka nyumba.
surrounding	-a karibu	Eneo linalozunguka ni tulivu.
suspect	kushuku	Polisi wanashuku mwanaume wa eneo hilo.
swear	kutukana	Usitukane darasani.
sweep	kufagia	Fagia sakafu kabla wageni hawajafika.
sympathy	huruma	Alionyesha huruma kwa waathiriwa.
tale	hadithi	Bibi alisimulia hadithi ya ajabu.
tank	tenki	Tenki lina maji safi.
tear1	kuchana	Usichane waraka.
tear2	chozi	Chozi lilimtiririka shavuni.
temporary	-a muda	Ofisi ni makao ya muda.
therapy	tiba	Tiba ya mwili ilisaidia kupona kwake.
threat	tishio	Ujumbe ulikuwa na tishio.
threaten	kutishia	Dhoruba inaweza kutishia mazao.
thus	hivyo basi	Barabara ilikuwa imefungwa; hivyo basi, tulisubiri.
tone	sauti	Sauti yake ilisikika kuwa tulivu.
tough	ngumu	Usaili ulikuwa mgumu.
transfer	kuhamisha	Wao huhamisha data kila usiku.
transform	kubadilisha	Sera mpya itabadilisha huduma.
transition	mabadiliko	Mabadiliko yalichukua miezi kadhaa.
trial	kesi	Kesi itaanza wiki ijayo.
tropical	-a kitropiki	Dhoruba za kitropiki ni za kawaida hapa.
truly	kweli	Ninashukuru kweli kwa msaada wako.
trust	uaminifu	Uaminifu huchukua muda kujengeka.
tune	melodi	Bendi ilipiga melodi ya furaha.
tunnel	handaki	Handaki linapita chini ya mto.
ultimately	hatimaye	Hatimaye, mpango ulifanikiwa.
unconscious	bila fahamu	Mgonjwa alibaki bila fahamu.
unexpected	isiyotarajiwa	Ucheleweshaji haukutarajiwa.
unique	ya kipekee	Kila muundo ni wa kipekee.
universe	ulimwengu	Ulimwengu unapanuka.
unknown	haijulikani	Jina bado halijulikani.
upper	ya juu	Rafu ya juu ni tupu.
upwards	juu	Moshi ulisonga juu.
urban	-a mjini	Maeneo ya mjini yanahitaji usafiri bora.
urge	kuhimiza	Madaktari huhimiza watu kufanya mazoezi.
vary	kutofautiana	Bei hutofautiana kulingana na eneo.
vast	kubwa sana	Jangwa linachukua eneo kubwa sana.
venue	ukumbi	Ukumbi huchukua watu mia tano.
via	kupitia	Tuma hati kupitia barua pepe.
victory	ushindi	Timu ilisherehekea ushindi wake.
violence	ghasia	Jiji lilikumbwa na ghasia za kisiasa.
virtual	mtandaoni	Mkutano ni wa mtandaoni.
vision	maono	Maono yake yaliunda kampuni.
visual	-a kuona	Ripoti inajumuisha mifano ya kuona.
vital	muhimu sana	Maji ni muhimu sana kwa maisha.
vitamin	vitamini	Machungwa yana vitamini C.
volume	sauti	Punguza sauti.
wage	mshahara	Wafanyakazi walidai mshahara wa juu zaidi.
weakness	udhaifu	Mpango una udhaifu mmoja.
wealth	utajiri	Utajiri wake ulitokana na biashara.
wealthy	tajiri	Familia tajiri ilifadhili makumbusho.
whereas	wakati	Yeye anapenda chai, wakati mimi napendelea kahawa.
wherever	popote	Kaa popote unapojisikia vizuri.
whisper	kunong'ona	Tafadhali nong'ona wakati wa sherehe.
whom	nani	Ulimwalika nani?
widely	sana	Kitabu kinasomwa sana.
wildlife	wanyamapori	Hifadhi inalinda wanyamapori wa ndani.
willing	tayari	Yuko tayari kusaidia.
wind2	kuzungushia	Zungushia kebo kwenye rula.
wire	waya	Waya huunganisha vifaa hivyo viwili.
wise	-a busara	Hilo lilikuwa chaguo la busara.
witness	shahidi	Shahidi alielezea ajali hiyo.
wound	jeraha	Safisha jeraha kwa uangalifu.
wrap	kufunga	Funga zawadi katika karatasi.
zone	eneo	Eneo hili limefungwa kwa magari.
