source_headword	UZ	example_UZ
institute	institut	Institut yangi tadqiqot dasturini ochdi.
institution	muassasa	Muassasa qabul qoidalarini o'zgartirdi.
insurance	sug'urta	Uning sug'urtasi kasalxona xarajatlarini qopladi.
intended	mo'ljallangan	Xabar mo'ljallangan auditoriyaga yetib bordi.
intense	qizg'in	Bahs tezda qizg'in tus oldi.
internal	ichki	Kompaniya ichki tekshiruvni boshladi.
interpret	talqin qilmoq	Iltimos, natijalarni diqqat bilan talqin qiling.
interrupt	xalaqit bermoq	Hozir so'zlovchining gapini bo'lmang.
investigation	tergov	Tergov jiddiy xatolarni fosh qildi.
investment	sarmoya	Sarmoya ko'plab mahalliy ish o'rinlarini yaratdi.
joy	quvonch	Ularning muvaffaqiyati katta quvonch keltirdi.
judgement	mulohaza	Uning mulohazasi tajriba bilan yaxshilandi.
junior	kichik	U jamoaga kichik tahlilchi sifatida qo'shildi.
justice	adolat	Sud majlisidan keyin oila adolat talab qildi.
justify	oqlamoq	Siz bu qarorni aniq oqlashingiz kerak.
labour	mehnat	Loyiha malakali mehnatni talab qiladi.
landscape	landshaft	Bo'rondan keyin landshaft o'zgardi.
largely	asosan	Reja asosan muvaffaqiyatli bo'ldi.
launch	ishga tushirmoq	Ular ertaga mahsulotni sotuvga chiqaradilar.
leadership	etakchilik	Kuchli etakchilik jamoaning tiklanishiga yordam berdi.
league	liga	Klubimiz mintaqaviy ligaga qo'shildi.
lean	suyanmoq	Nam devorga suyanmang.
licence	litsenziya	Litsenziyaning muddati kelasi oy tugaydi.
limited	cheklangan	Bugun vaqtimiz cheklangan.
lively	jonli	Uchrashuv tushlikdan keyin jonli bo'ldi.
load	yuk	Yuk mashinasi og'ir yukni tashiydi.
loan	qarz	Bank kreditni tasdiqladi.
logical	mantiqiy	Uning dalili aniq va mantiqiy edi.
long-term	uzoq muddatli	Bu uzoq muddatli yechim.
loose	bo'sh	Tutqich bo'shab qolgandek.
lord	lord	Lord bir nechta qishloqlarga egalik qilgan.
lower	pasaytirmoq	Ular qishda narxlarni pasaytiradilar.
lung	o'pka	Chekish o'pkaga zarar etkazishi mumkin.
maintain	saqlab qolmoq	Biz muntazam aloqani saqlab turamiz.
majority	ko'pchilik	Ko'pchilik taklifni qo'llab-quvvatladi.
mass	massa	Bulutlar massasi osmonni qopladi.
massive	ulkan	Zilzila ulkan talofat keltirdi.
master	usta	U muzokaralar ustasiga aylandi.
matching	mos tushadigan	U mos tushadigan poyabzal va kamar taqib oldi.
maximum	maksimal	Xona maksimal sig'imga yetdi.
means	vosita	Elektron pochta bizning asosiy aloqa vositamizdir.
measurement	o'lchov	O'lchov biroz noto'g'ri edi.
melt	erimoq	Qor tushgacha eriydi.
military	harbiy	Harbiy baza o'tgan yili yopildi.
mineral	mineral	Temir muhim mineraldir.
minimum	minimal	Minimal yosh o'n sakkiz.
minister	vazir	Vazir qiyin savollarga javob berdi.
minor	uncha katta bo'lmagan	Baxtsiz hodisa uncha katta bo'lmagan zarar keltirdi.
minority	ozchilik	Ozchilik yangi qoidaga qarshi chiqdi.
mission	missiya	Ularning missiyasi eson-omon yakunlandi.
mixed	aralash	Yangiliklar aralash munosabatlarga sabab bo'ldi.
modify	o'zgartirmoq	Biz dizaynni keyinroq o'zgartirishimiz mumkin.
monitor	nazorat qilmoq	Hamshira uning ahvolini nazorat qiladi.
moral	axloqiy	Hikoyaning axloqiy sabog'i bor.
motor	motor	Motor ogohlantirishsiz to'xtab qoldi.
mount	o'rnatmoq	Ular kirish joyi yaqinida kameralar o'rnatadilar.
multiple	bir nechta	Kechikishga bir nechta omillar sabab bo'ldi.
multiply	ko'paytirmoq	Raqamni o'nga ko'paytiring.
mysterious	sirli	Tashqarida sirli yorug'lik paydo bo'ldi.
neat	toza	Uning stoli har doim toza.
nerve	asab	Jarohat asabga zarar yetkazdi.
nevertheless	shunga qaramay	Vazifa qiyin edi; shunga qaramay, biz uni tugatdik.
nightmare	daxshatli tush	Sayohat daxshatli tushga aylandi.
notion	tushuncha	O'zgarishning iloji yo'q degan tushunchani rad eting.
numerous	ko'plab	Ko'plab tadqiqotlar bu g'oyani qo'llab-quvvatlaydi.
obey	bo'ysunmoq	Haydovchilar belgilarga bo'ysunishi kerak.
objective	maqsad	Bizning maqsadimiz chiqindilarni kamaytirishdir.
obligation	majburiyat	Ota-onalar bolalarni himoya qilish majburiyatiga ega.
observation	kuzatuv	Uning kuzatuvi muhokamani o'zgartirdi.
observe	kuzatmoq	Olimlar har bahorda qushlarni kuzatadilar.
obtain	olmoq	Siz yozma ruxsat olishingiz kerak.
occasionally	vaqti-vaqti bilan	U vaqti-vaqti bilan uydan ishlaydi.
offence	haqorat	Fikr jiddiy haqoratga sabab bo'ldi.
offend	xafa qilmoq	Men hech kimni xafa qilmoqchi emas edim.
offensive	haqoratli	Plakatda haqoratli so'zlar bor edi.
opening	bo'sh ish o'rni	Bo'sh ish o'rni ko'plab nomzodlarni jalb qildi.
operate	ishlamoq	Mashina avtomatik ravishda ishlashi mumkin.
opponent	raqib	Uning raqibi siyosatni tanqid qildi.
oppose	qarshi chiqmoq	Ko'pgina aholi rejaga qarshi chiqmoqda.
opposed	qarama-qarshi	Guruhlar qarama-qarshi qarashlarga ega edi.
opposition	qarshilik	Taklif kuchli qarshilikka duch keldi.
organ	a'zo	Yurak muhim a'zodir.
origin	kelib chiqishi	Yong'inning kelib chiqishi noma'lum.
otherwise	aks holda	Hozir keting; aks holda, siz kechikib qolasiz.
outcome	natija	Natija hammani hayratda qoldirdi.
outer	tashqi	Tashqi devorni ta'mirlash kerak.
outline	qisqacha bayon qilmoq	Asosiy dalingizni qisqacha bayon qilib bering.
overall	umumiy	Umumiy natija ijobiy bo'ldi.
owe	qarzdor bo'lmoq	Men sizdan uzr so'rashdan qarzdorman.
pace	sur'at	Barqaror sur'atda yuring.
panel	panel	Panel iqlim siyosatini muhokama qildi.
parliament	parlament	Parlament yangi qonunni tasdiqladi.
participant	ishtirokchi	Har bir ishtirokchi shaklni imzoladi.
partly	qisman	Kechikish qisman bizning aybimiz edi.
passage	parcha	Javob berishdan oldin parchani o'qing.
pension1	pensiya	Uning pensiyasi nafaqaga chiqqandan keyin uni ta'minlaydi.
permanent	doimiy	Ularga doimiy yechim kerak.
permit	ruxsat bermoq	Qoidalar qisqa tashriflarga ruxsat beradi.
perspective	nuqtai nazar	Uning nuqtai nazarini ko'rishga harakat qiling.
phase	bosqich	Loyiha o'zining yakuniy bosqichiga kirdi.
phenomenon	hodisa	Hodisa ko'plab madaniyatlarda uchraydi.
philosophy	falsafa	Uning falsafasi amaliy harakatni qadrlaydi.
pile	uyum	Stol ustini bir uyum qog'oz qoplagan edi.
pitch	maydon	Jamoa maydonni diqqat bilan tayyorladi.
plain	tushunarli	Ko'rsatmalar tushunarli va aniq edi.
pointed	keskin	U keskin fikr bildirdi.
popularity	mashhurlik	Xonanda internetda mashhurlikka erishdi.
pose	tug'dirmoq	Savol muammo tug'dirishi mumkin.
possess	ega bo'lmoq	Kam sonli talabalar bu qobiliyatga ega.
potential	salohiyat	Bu g'oya haqiqiy salohiyatga ega.
praise	maqtov	O'qituvchi samimiy maqtov bildirdi.
pregnant	homilador	U olti oylik homilador.
preparation	tayyorgarlik	Yaxshi tayyorgarlik stressni kamaytiradi.
presence	hozirlik	Uning hozirligi kayfiyatni o'zgartirdi.
preserve	saqlab qolmoq	Biz ushbu tarixiy binoni saqlab qolishimiz kerak.
prime	asosiy	Asosiy sabab yomon rejalashtirish edi.
principle	tamoyil	Qaror aniq bir tamoyilga asoslangan edi.
priority	ustuvorlik	Xavfsizlik bizning birinchi ustuvor vazifamizdir.
privacy	maxfiylik	Mijozlar internetda maxfiylikni kutishadi.
procedure	jarayon	Jarayon o'ttiz daqiqa davom etadi.
proof	dalil	Harakat qilishdan oldin bizga dalil kerak.
proposal	taklif	Taklifga ko'proq tafsilotlar kerak.
propose	taklif qilmoq	Men boshqa yechimni taklif qilaman.
prospect	ehtimol	Muvaffaqiyatsizlik ehtimoli ularni xavotirga soldi.
protection	himoya	Dubulg'a asosiy himoyani ta'minlaydi.
psychologist	psixolog	Psixolog test natijalarini tushuntirdi.
psychology	psixologiya	U universitetda psixologiyani o'rganadi.
publication	nashr	Nashr jamoatchilik e'tiborini tortdi.
pupil	o'quvchi	Har bir o'quvchi yangi darslik oldi.
purchase	xarid qilmoq	Ular har oy zaxiralarni xarid qilishadi.
pure	toza	Suv toza va sovuq edi.
pursue	davom ettirmoq	U tibbiyot sohasidagi karyerasini davom ettiradi.
rank	unvon	U yuqori unvonga ega.
rapid	jadal	Mamlakatda jadal o'sish kuzatildi.
rapidly	tez	Bu yil narxlar tez oshdi.
raw	xom	Oshpaz xom sabzavotlarni tayyorladi.
realistic	real	Real muddatni belgilang.
reasonable	oqilona	Bu oqilona talabga o'xshaydi.
recall	eslamoq	Men uning aniq so'zlarini eslayman.
recover	sog'aymoq	U davolanishdan keyin sog'ayadi.
reduction	qisqartirish	Qisqartirish pulni tejab qoldi.
regard	hisoblamoq	Ko'pchilik uni halol deb hisoblaydi.
regional	hududiy	Hududiy idora bugun yopildi.
register	ro'yxatdan o'tmoq	Iltimos, konferensiyadan oldin ro'yxatdan o'ting.
regret	afsuslanmoq	Men oldingi qarorimdan afsuslanaman.
regulation	qoida	Yangi qoida barcha haydovchilarga ta'sir qiladi.
relatively	nisbatan	Imtihon nisbatan oson edi.
relevant	tegishli	Faqat tegishli tafsilotlarni tanlang.
relief	yengillik	Xabar katta yengillik olib keldi.
rely	tayanmoq	Bolalar kattalarning qo'llab-quvvatlashiga tayanadilar.
remark	fikr	Uning fikri munozarani yakunladi.
representative	vakil	Vakil mahalliy ishchilar bilan uchrashdi.
reputation	obroʻ	Mehmonxona yaxshi obroʻga ega.
requirement	talab	Tajriba asosiy talabdir.
rescue	qutqarmoq	Ular odamlarni suv toshqinlaridan qutqaradi.
reserve	band qilmoq	Biz mehmonlar uchun joylarni band qilamiz.
resident	aholi	Har bir aholiga xabarnoma berildi.
resist	qarshilik koʻrsatmoq	Bosimga qarshilik koʻrsatishga harakat qiling.
resolve	hal qilmoq	Ular nizonimi tinch yoʻl bilan hal qilishdi.
resort	kurort	Orol kurorti may oyida ochildi.
retain	saqlab qolmoq	Kompaniya xodimlarni saqlab qolishni xohlaydi.
reveal	fosh qilmoq	Hisobot haqiqatni fosh qiladi.
revolution	inqilob	Inqilob mamlakatni oʻzgartirdi.
reward	mukofot	Mashaqqatli mehnat mukofotga loyiq.
rhythm	ritm	Qoʻshiqda barqaror ritm bor.
rid	qutulmoq	Oʻsha eski fayllardan qutuling.
root	ildiz	Muammoning ildizi pulda.
rub	ishqalamoq	Sirtni mato bilan ishqalang.
rubber	rezina	Rezina muhr oqishni oldini oladi.
rural	qishloq	Koʻpgina qishloq maktablari qoʻllab-quvvatlashga muhtoj.
rush	shoshilmoq	Bu qarorga shoshilmang.
satellite	sunʼiy yoʻldosh	Sunʼiy yoʻldosh yangi tasvirlarni yubordi.
satisfied	qoniqqan	Mijoz qoniqqan koʻrinardi.
satisfy	qoniqtirmoq	Javob uni qoniqtirmadi.
saving	tejash	Energiyani tejash oylik xarajatlarni kamaytiradi.
scale	koʻlam	Zararning koʻlami juda katta edi.
scheme	reja	Reja yosh ishchilarga yordam beradi.
scream	baqiriq	Ular tashqarida baqiriqni eshitishdi.
sector	sektor	Texnologiya sektori oʻsib bormoqda.
secure	xavfsiz qilmoq	Xavfsiz qilish uchun eshikni qulflang.
seek	izlamoq	Ular mutaxassislardan maslahat izlaydilar.
select	tanlamoq	Eng yaxshi variantni tanlang.
selection	tanlov	Doʻkon keng tanlovni taklif etadi.
self	oʻz	U oʻzining haqiqiy yuzini koʻrsatdi.
senior	katta	Katta shifokor bemorni tekshirdi.
sensitive	nozik	Bu mavzu juda nozik.
sequence	ketma-ketlik	Qadamlar ketma-ketligiga rioya qiling.
session	mashgʻulot	Mashgʻulot tushda boshlanadi.
settle	hal qilmoq	Ular bahsni tezda hal qilishdi.
severe	jiddiy	Boʻron jiddiy suv toshqiniga sabab boʻldi.
shade	soya	Soyada oʻtiring.
shadow	soya	Derazadan soya oʻtdi.
shallow	sayoz	Bu yerda koʻl sayoz.
shame	sharmandalik	U yolgʻon gapirgandan keyin sharmandalikni his qildi.
shelter	boshpana	Maktab favqulodda boshpana bilan taʼminladi.
shock	shok	Bu qaror shok boʻldi.
shocked	lol qolgan	U yangilikdan lol qolgan koʻrinardi.
shooting	otishma	Otishma bekat yaqinida sodir boʻldi.
shot	zarba	Gʻalaba zarbasi hammani ajablantirdi.
significant	muhim	Keshfiyot muhim edi.
significantly	sezilarli darajada	Xarajatlar o'tgan yili sezilarli darajada oshdi.
silence	jimjitlik	Xonaga jimjitlik cho'kdi.
silk	ipak	Ko'ylak ipakdan tikilgan edi.
sincere	samimiy	Iltimos, samimiy minnatdorchiligimni qabul qiling.
slave	qul	Qonun har bir qulni ozod qildi.
slide	sirg'anmoq	Bola sirg'anchiqdan uchib tushdi.
slight	biroz	Biroz kechikish bo'ldi.
slip	sirpanib ketmoq	Nam polda sirpanib ketmang.
slope	qiyalik	Yo'l tik qiyalikdan o'tadi.
solar	quyosh	Uy quyosh energiyasidan foydalanadi.
somewhat	biroz	Ko'rsatmalar biroz chalkash edi.
soul	ruh	Musiqa uning ruhini ko'tardi.
specialist	mutaxassis	Mutaxassis bemorni ko'rikdan o'tkazdi.
species	tur	Bu tur daryolar yaqinida yashaydi.
spiritual	ma'naviy	U ma'naviy tajribasini tasvirlab berdi.
split	bo'lmoq	Ular hisobni teng bo'lishdi.
sponsor	homiylik qilmoq	Kompaniya tadbirga homiylik qiladi.
stable	barqaror	Bemorning ahvoli barqaror.
stare	tikilib qaramoq	Begonalarga tikilib qaramang.
status	maqom	Uning maqomi bir kechada o'zgardi.
steady	barqaror	Barqaror tezlikni saqlang.
steel	po'lat	Ko'prik po'latdan qurilgan.
steep	tik	Tepalik tik ekan.
sticky	yopishqoq	Pol yopishqoq edi.
stiff	qotib qolgan	Uning yelkasi qotib qolgan edi.
stock	zaxira	Do'konda zaxira qolmadi.
stream	jilg'a	Daladan kichik jilg'a oqib o'tadi.
stretch	cho'zmoq	Parvozdan keyin oyoqlaringizni cho'zing.
strict	qat'iy	Maktabning qat'iy qoidalari bor.
strike	ish tashlamoq	Ishchilar ertaga ish tashlashi mumkin.
struggle	qiynalmoq	Ko'p oilalar ijara to'lashda qiynalishmoqda.
submit	topshirmoq	Shaklni juma kunigacha topshiring.
sum	summa	Summa kutilganidan yuqori edi.
surgery	jarrohlik	Jarrohlik amaliyoti ikki soat davam etdi.
surround	o'rab turmoq	Uyni baland daraxtlar o'rab turadi.
surrounding	atrofdagi	Atrofdagi hudud tinch.
suspect	gumon qilmoq	Politsiya mahalliy aholidan bir kishidan gumon qilmoqda.
swear	so'kinmoq	Sinfda so'kinmang.
sweep	supurmoq	Mehmonlar kelishidan oldin polni supuring.
sympathy	hamdardlik	U jabrlanganlarga hamdardlik bildirdi.
tale	ertak	Buvim g'alati bir ertak aytib berdi.
tank	bak	Bakda toza suv bor.
tear1	yirtmoq	Hujjatni yirtmang.
tear2	ko'z yoshi	Uning yuzidan ko'z yoshi dumalab tushdi.
temporary	vaqtinchalik	Idora vaqtinchalik boshpana hisoblanadi.
therapy	terapiya	Jismoniy terapiya uning tuzalishiga yordam berdi.
threat	tahdid	Xabarda tahdid bor edi.
threaten	xavf solmoq	Bo'ron ekinlarga xavf solishi mumkin.
thus	shunday qilib	Yo'l yopiq edi; shunday qilib biz kutdik.
tone	ohang	Uning ohangi xotirjam edi.
tough	qiyin	Intervyu qiyin bo'ldi.
transfer	o'tkazmoq	Ular har tunda ma'lumotlarni o'tkazadilar.
transform	o'zgartirmoq	Yangi siyosat xizmatlarni o'zgartiradi.
transition	o'tish	O'tish davri bir necha oy davom etdi.
trial	sud	Sud kelasi hafta boshlanadi.
tropical	tropik	Bu yerda tropik bo'ronlar tez-tez bo'lib turadi.
truly	chin dildan	Yordamingizni chin dildan qadrlayman.
trust	ishonch	Ishonchni qozonish uchun vaqt kerak.
tune	kuy	Guruh quvnoq kuy chaldi.
tunnel	tunnel	Tunnel daryo ostidan o'tadi.
ultimately	oxir-oqibat	Oxir-oqibat, reja muvaffaqiyatli bo'ldi.
unconscious	hushsiz	Bemor hushsiz qoldi.
unexpected	kutilmagan	Kechikish kutilmagan edi.
unique	noyob	Har bir dizayn noyobdir.
universe	koinot	Koinot kengayib bormoqda.
unknown	noma'lum	Ism noma'lumligicha qolmoqda.
upper	yuqori	Yuqori javon bo'sh.
upwards	yuqoriga	Tutun yuqoriga ko'tarildi.
urban	shahar	Shahar hududlari yaxshiroq transportga muhtoj.
urge	undamoq	Shifokorlar odamlarni mashq qilishga undaydilar.
vary	farq qilmoq	Narxlar mintaqaga qarab farq qiladi.
vast	ulkan	Sahro ulkan maydonni egallaydi.
venue	o'tkazilish joyi	O'tkazilish joyi besh yuz kishini sig'diradi.
via	orqali	Hujjatni elektron pochta orqali yuboring.
victory	g'alaba	Jamoa o'z g'alabasini nishonladi.
violence	zo'ravonlik	Shahar siyosiy zo'ravonlikdan aziyat chekdi.
virtual	virtual	Uchrashuv virtual.
vision	qarash	Uning qarashi kompaniyani shakllantirdi.
visual	vizual	Hisobot vizual misollarni o'z ichiga oladi.
vital	hayotiy	Suv hayot uchun juda muhimdir.
vitamin	vitamin	Apelsinlarda C vitamini bor.
volume	ovoz	Ovozni pasaytiring.
wage	ish haqi	Ishchilar yuqoriroq ish haqi talab qilishdi.
weakness	zaif tomon	Rejaning bitta zaif tomoni bor.
wealth	boylik	Uning boyligi savdodan kelgan.
wealthy	badavlat	Badavlat oila muzeyni moliyalashtirdi.
whereas	holbuki	U choyni yaxshi ko'radi, holbuki men qahvani afzal ko'raman.
wherever	qayerda bo'lmasin	O'zingizga qulay bo'lgan joyda o'tiring.
whisper	pichirlamoq	Marosim paytida pichirlab gapiring.
whom	kimni	Siz kimni taklif qildingiz?
widely	keng	Kitob keng o'qiladi.
wildlife	yovvoyi tabiat	Bog' mahalliy yovvoyi tabiatni himoya qiladi.
willing	tayyor	U yordam berishga tayyor.
wind2	o'ramoq	Kabelni g'altakka o'rang.
wire	sim	Sim ikkita qurilmani bog'laydi.
wise	oqilona	Bu oqilona tanlov edi.
witness	guvoh	Guvoh avariyani tasvirlab berdi.
wound	jarohat	Jarohatni ehtiyotkorlik bilan tozalang.
wrap	o'ramoq	Sovg'ani qog'ozga o'rang.
zone	hudud	Bu hudud transport uchun yopiq.
