source_headword	ES-419	example_ES-419
absorb	absorber	La toalla absorbe el agua rápidamente.
abstract	abstracto	La clase trató sobre ideas abstractas.
accent	el acento	Su acento es fácil de entender.
accidentally	accidentalmente	Borré el archivo accidentalmente.
accommodate	acomodar	El hotel puede alojar a familias grandes.
accomplish	lograr	Ella logró su objetivo antes de junio.
accountant	el contador	El contador revisó la factura.
accuracy	la precisión	La prueba mide la precisión de lectura.
accurately	con precisión	El mapa muestra la ruta con precisión.
acid	el ácido	El ácido dañó la superficie de metal.
activate	activar	Presione el botón para activar la alarma.
addiction	la adicción	Su adicción afectó su trabajo.
additionally	además	Además, necesitamos más sillas.
adequate	adecuado	La habitación tiene luz adecuada.
adequately	adecuadamente	El informe explicó el problema adecuadamente.
adjust	ajustar	Ajuste el asiento antes de conducir.
affordable	asequible	El departamento es asequible para los estudiantes.
agriculture	la agricultura	La agricultura mantiene a muchas familias rurales.
AIDS	el SIDA	Los médicos tratan el SIDA con medicina moderna.
alien	el extraterrestre	La película muestra un planeta extraterrestre.
alongside	junto a	La ciclovía corre al lado del río.
altogether	en total	En total, el proyecto duró seis semanas.
ambulance	la ambulancia	La ambulancia llegó en cuestión de minutos.
amusing	divertido	La historia era divertida y ligera.
analyst	el analista	El analista revisó los datos de ventas.
ancestor	el antepasado	Mi antepasado vivió cerca de este pueblo.
animation	la animación	La animación hizo la lección más clara.
annually	anualmente	El festival se celebra anualmente.
anticipate	anticipar	Anticipamos mucho tráfico para mañana.
anxiety	la ansiedad	La ansiedad puede dificultar el sueño.
apology	la disculpa	Ella ofreció una disculpa sincera.
applicant	el solicitante	El candidato envió un nuevo currículum.
appropriately	apropiadamente	Por favor, vístase apropiadamente para la entrevista.
arrow	la flecha	La flecha apunta a la salida.
artwork	la obra de arte	El museo exhibió obras de arte locales.
aside	a un lado	Ella se hizo a un lado para dejarlo pasar.
asset	el activo	La experiencia es un activo valioso.
assign	asignar	El profesor asignó tarea hoy.
assistance	la asistencia	Por favor, pida ayuda al personal.
assumption	la suposición	Esa suposición podría estar equivocada.
assure	asegurar	Te aseguro que la puerta está cerrada con llave.
astonishing	asombroso	La vista desde el acantilado era asombrosa.
attachment	el archivo adjunto	El correo electrónico incluye un archivo adjunto.
auction	la subasta	La pintura se vendió en una subasta.
audio	de audio	La grabación de audio suena clara.
automatic	automático	La puerta tiene una cerradura automática.
automatically	automáticamente	Las luces se encienden automáticamente.
awareness	la conciencia	La campaña aumentó la conciencia pública.
awkward	incómodo	El silencio se sintió incómodo.
badge	la placa	Los visitantes deben usar un gafete.
balanced	equilibrado	Una dieta equilibrada incluye vegetales.
ballet	el ballet	Ella estudia ballet después de la escuela.
balloon	el globo	El globo flotó sobre la mesa.
barely	apenas	Él apenas escuchó el anuncio.
bargain	la ganga	Esa chaqueta fue una verdadera ganga.
basement	el sótano	Las cajas están en el sótano.
basket	la canasta	Ella puso las manzanas en la canasta.
bat	el bate	El murciélago salió volando de la cueva.
beneficial	beneficioso	El ejercicio regular es beneficioso para la salud.
beside	al lado de	La lámpara está al lado del sofá.
besides	además	Además de matemáticas, él estudia química.
bias	el sesgo	El artículo mostró un sesgo claro.
bid	la oferta	La empresa hizo una oferta más alta.
biological	biológico	La prueba biológica confirmó el resultado.
blanket	la manta	El niño durmió bajo una cobija.
blow	el golpe	El fuerte golpe rompió la ventana.
bold	audaz	El titular usó letras en negrita.
bombing	el bombardeo	El bombardeo dañó varios edificios.
booking	la reserva	Confirmé la reserva del hotel.
boost	el impulso	La victoria impulsó la confianza del equipo.
bound	vinculante	El paquete estaba atado con un cordel.
brick	el ladrillo	El muro está hecho de ladrillo.
briefly	brevemente	Ella habló brevemente después del almuerzo.
broadcaster	el locutor	El locutor entrevistó al alcalde.
broadly	ampliamente	Los dos planes son ampliamente similares.
bug	el insecto	La aplicación falló por un error.
cabin	la cabaña	Nos quedamos en una pequeña cabaña.
canal	el canal	Los botes se movían lentamente por el canal.
candle	la vela	La vela ardía en la mesa.
carbon	el carbono	Los árboles absorben carbono del aire.
casual	casual	Él usó ropa casual para ir al trabajo.
cave	la cueva	Los excursionistas entraron a la cueva.
certainty	la certeza	No podemos saber con certeza.
certificate	el certificado	Ella recibió un certificado de capacitación.
challenging	desafiante	El curso fue desafiante pero útil.
championship	el campeonato	Nuestro equipo llegó a la final del campeonato.
charming	encantador	La calle antigua se veía encantadora.
chase	la persecución	El perro persiguió la pelota.
cheek	la mejilla	Una lágrima corrió por su mejilla.
cheer	la aclamación	La multitud empezó a animar fuertemente.
choir	el coro	El coro cantó hermosamente.
chop	cortar	Pica las cebollas en trozos pequeños.
circuit	el circuito	El corredor completó el circuito.
civilization	la civilización	La civilización antigua moldeó esta región.
clarify	aclarar	Por favor, aclara el último punto.
classify	clasificar	Los científicos clasifican a los animales por especies.
clerk	el empleado	El empleado imprimió el recibo.
cliff	el acantilado	El camino termina cerca de un acantilado.
clinic	la clínica	La clínica abre a las ocho.
clip	el clip	Ella sujetó el clip al papel.
coincidence	la coincidencia	Encontrarlo allí fue una coincidencia.
collector	el coleccionista	El coleccionista compró monedas raras.
colony	la colonia	Las hormigas construyeron una gran colonia.
colourful	colorido	El mercado era brillante y colorido.
comic	cómico	La escena cómica nos hizo reír.
commander	el comandante	El comandante dio órdenes claras.
comparative	comparativo	El ensayo utiliza datos comparativos.
completion	la finalización	El puente está cerca de su finalización.
compose	componer	Él compondrá la música para la película.
composer	el compositor	El compositor escribió una nueva canción.
compound	el compuesto	El compuesto contiene dos sustancias químicas.
comprehensive	exhaustivo	La guía da instrucciones exhaustivas.
comprise	comprender	El equipo se compone de cinco miembros.
compulsory	obligatorio	La asistencia es obligatoria para esta clase.
concrete	concreto	El piso está hecho de concreto.
confess	confesar	Él le confesó el error a su profesor.
confusion	la confusión	El retraso causó confusión.
consequently	en consecuencia	Llovió; por consiguiente, el partido se detuvo.
conservation	la conservación	La conservación protege a los animales raros.
considerable	considerable	La reparación tomó un tiempo considerable.
considerably	considerablemente	Los precios subieron considerablemente este año.
consistently	constantemente	Ella se desempeña constantemente bien.
conspiracy	la conspiración	La policía investigó la conspiración.
consult	consultar	Consulte a su médico antes de tomar la medicina.
consultant	el consultor	El consultor sugirió una nueva estrategia.
consumption	el consumo	El consumo de energía cayó el mes pasado.
controversial	controvertido	La política sigue siendo polémica.
controversy	la controversia	La decisión causó controversia.
convenience	la comodidad	La tienda ofrece gran conveniencia.
convention	la convención	La convención anual empieza el lunes.
conventional	convencional	Él eligió un diseño convencional.
convey	transmitir	El mensaje transmitió compasión.
convincing	convincente	Su explicación fue convincente.
cope	lidar	Ella aprendió a lidiar con el estrés.
corporation	la corporación	La corporación abrió una nueva oficina.
corridor	el pasillo	El pasillo era estrecho y silencioso.
counter (long flat surface)	el mostrador	Las llaves están en el mostrador de la cocina.
coverage	la cobertura	La cobertura de noticias duró toda la noche.
crack	agrietarse	Una grieta apareció en la pared.
craft	el oficio	Ella vende artesanías hechas a mano en línea.
creativity	la creatividad	La creatividad ayuda a resolver problemas.
critically	críticamente	El artículo era críticamente importante.
cruise	el crucero	Ellos reservaron un crucero a Grecia.
cue	la señal	El actor perdió su señal.
curious	curioso	El niño sentía curiosidad por el espacio.
curriculum	el plan de estudios	La escuela actualizó su plan de estudios.
cute	lindo	El cachorro se veía lindo.
dairy	la lechería	La granja produce productos lácteos.
dare	atreverse	Te reto a intentarlo.
darkness	la oscuridad	La habitación se llenó de oscuridad.
database	la base de datos	La base de datos almacena los registros de los clientes.
deadline	la fecha límite	La fecha límite es el viernes.
deadly	mortal	La serpiente tiene un veneno mortal.
dealer	el distribuidor	El concesionario de autos ofreció un descuento.
deck	la cubierta	Las sillas están en la terraza.
defender	el defensor	El defensa bloqueó el tiro.
delete	borrar	Elimina el mensaje antiguo.
democracy	la democracia	La democracia depende de elecciones libres.
democratic	democrático	La votación siguió reglas democráticas.
demonstration	la demostración	Los estudiantes se unieron a una manifestación.
depart	partir	El tren partirá al mediodía.
dependent	dependiente	El niño es dependiente de los adultos.
deposit	el depósito	Ella pagó un depósito por el apartamento.
depression	la depresión	La depresión requiere apoyo profesional.
derive	derivar	Muchas palabras derivan del latín.
desperately	desesperadamente	Él necesitaba agua desesperadamente.
destruction	la destrucción	La tormenta causó una destrucción generalizada.
determination	la determinación	Su determinación impresionó al entrenador.
devote	dedicar	Ella dedica los fines de semana a estudiar.
differ	diferir	Sus opiniones difieren drásticamente.
disability	la discapacidad	El edificio tiene acceso para personas con discapacidad.
disabled	deshabilitado	El atleta discapacitado ganó una medalla.
disagreement	el desacuerdo	La reunión terminó en desacuerdo.
disappoint	decepcionar	El resultado puede decepcionar a los fans.
disappointment	la decepción	Él sintió una profunda decepción.
discourage	desanimar	No desanimes a los estudiantes jóvenes.
disorder	el trastorno	El médico diagnosticó un trastorno del sueño.
distant	distante	Las montañas parecían distantes.
distinct	distinto	Los dos sonidos son distintos.
distinguish	distinguir	¿Puedes distinguir estos colores?
distract	distraer	El ruido puede distraer a los estudiantes.
disturb	perturbar	Por favor, no moleste al paciente.
dive	la inmersión	Ellos van a bucear cerca del arrecife.
diverse	diverso	La ciudad tiene culturas diversas.
diversity	la diversidad	Nosotros celebramos la diversidad cultural.
divorce	el divorcio	El divorcio fue difícil para todos.
dominant	dominante	El equipo dominante controló el partido.
donation	la donación	La organización benéfica recibió una donación.
dot	el punto	Pon un punto después del número.
downtown	el centro de la ciudad	Nos encontramos en el centro después del trabajo.
dramatically	drásticamente	El precio bajó drásticamente.
drought	la sequía	La sequía dañó los cultivos.
dull	aburrido	La conferencia fue aburrida.
dump	tirar	No tires basura aquí.
duration	la duración	La duración del vuelo es de tres horas.
dynamic	la dinámica	El aula se sentía dinámica.
economics	la economía	Ella estudia economía en la universidad.
economist	el economista	El economista predijo un crecimiento más lento.
editorial	editorial	El editorial criticó la ley.
efficiently	eficientemente	El equipo trabajó eficientemente.
elbow	el codo	Se lastimó el codo.
electronics	los electrónicos	La tienda vende electrónicos.
elegant	elegante	El vestido se veía elegante.
elementary	elemental	El libro explica gramática elemental.
eliminate	eliminar	El equipo eliminó varios errores.
embrace	abrazar	Ella adoptó la nueva idea.
emission	la emisión	Los niveles de emisión de automóviles cayeron.
emotionally	emocionalmente	Él habló emocionalmente sobre su familia.
empire	el imperio	El imperio duró siglos.
enjoyable	agradable	El viaje fue agradable.
entertaining	entretenido	El espectáculo fue entretenido.
entrepreneur	el emprendedor	El emprendedor abrió un café.
envelope	el sobre	Pon la carta en un sobre.
equip	equipar	La escuela equipará el laboratorio.
equivalent	el equivalente	Un dólar no es equivalente aquí.
era	la era	El descubrimiento comenzó una nueva era.
erupt	estallar	El volcán puede hacer erupción pronto.
essentially	esencialmente	Los dos métodos son esencialmente idénticos.
ethic	la ética	Su ética de trabajo es fuerte.
ethnic	étnico	El festival celebra tradiciones étnicas.
evaluation	la evaluación	El curso incluye una evaluación final.
evident	evidente	Su nerviosismo era evidente.
evolution	la evolución	La evolución explica muchos cambios biológicos.
evolve	evolucionar	Los idiomas evolucionan con el tiempo.
exceed	exceder	La demanda puede exceder la oferta.
exception	la excepción	Hay una excepción.
excessive	excesivo	El ruido excesivo molesta a los vecinos.
exclude	excluir	La lista excluye a los trabajadores temporales.
exhibit	la exhibición	El museo exhibirá fotografías raras.
exit	la salida	La salida está detrás del escenario.
exotic	exótico	La tienda vende frutas exóticas.
expansion	la expansión	La empresa planeó una expansión.
expertise	la especialidad	Su experiencia mejoró el proyecto.
exploit	explotar	Los criminales explotan contraseñas débiles.
exposure	la exposición	La exposición al sol puede dañar la piel.
extension	la extensión	La prórroga de la fecha límite ayudó a todos.
extensive	extenso	La biblioteca tiene recursos extensos.
extensively	extensamente	El tema fue estudiado extensamente.
extract	el extracto	El extracto de vainilla da sabor.
fabric	la tela	La tela se siente suave.
fabulous	fabuloso	La comida estuvo fabulosa.
failed	fallido	El intento fallido nos enseñó algo.
fake	falso	El sitio web vendió boletos falsos.
fame	la fama	La fama cambió su vida privada.
fantasy	la fantasía	La novela es una fantasía.
fare	la tarifa	La tarifa del autobús aumentó.
federal	federal	El gobierno federal anunció financiamiento.
fever	la fiebre	El niño tiene fiebre.
firefighter	el bombero	El bombero rescató al perro.
firework	el fuego artificial	Un fuego artificial explotó sobre el parque.
firm	firme	El colchón es firme.
firmly	firmemente	Ella cerró la puerta firmemente.
flavour	el sabor	La sopa tiene un sabor rico.
fond	cariñoso	Él es aficionado al jazz.
fool	el tonto	No actúes como un tonto.
forbid	prohibir	La ley prohíbe fumar aquí.
forecast	el pronóstico	El pronóstico indica lluvia.
format	el formato	Usa el formato de archivo correcto.
formation	la formación	La formación de nubes cambia rápidamente.
formerly	anteriormente	El edificio era anteriormente una escuela.
fortunate	afortunado	Fuimos afortunados de llegar temprano.
forum	el foro	El foro discutió la política climática.
fossil	el fósil	El fósil fue encontrado en la piedra.
foundation	la fundación	La casa tiene unos cimientos fuertes.
founder	el fundador	El fundador dio la bienvenida a los invitados.
fraction	la fracción	Solo una fracción de los estudiantes vino.
fragment	el fragmento	Un fragmento de vidrio estaba en el piso.
framework	el marco	La ley crea un marco claro.
fraud	el fraude	El banco detectó fraude.
freely	libremente	Los niños jugaban libremente afuera.
frequent	frecuente	Los descansos frecuentes mejoran la concentración.
fulfil	cumplir	Espero cumplir mi promesa.
full-time	a tiempo completo	Ella tiene un trabajo a tiempo completo.
fundamentally	fundamentalmente	El plan es fundamentalmente diferente.
furious	furioso	Él estaba furioso por el retraso.
gaming	los videojuegos	Los videojuegos pueden mejorar la velocidad de reacción.
gay	gay	Él apoya los derechos de los gays.
gender	el género	La encuesta preguntó sobre el género.
gene	el gen	El gen afecta el color de los ojos.
genetic	genético	La enfermedad tiene causas genéticas.
genius	el genio	El joven pianista es un genio.
genuine	genuino	Su sonrisa parecía genuina.
genuinely	genuinamente	Él genuinamente quería ayudar.
gesture	el gesto	Ella hizo un gesto amigable.
gig	la presentación	La banda tocó en un concierto en el centro.
globalization	la globalización	La globalización afecta los negocios locales.
globe	el globo	El globo muestra todos los continentes.
golden	dorado	El atardecer se volvió dorado.
goodness	la bondad	Ella cree en la bondad humana.
gorgeous	precioso	El jardín se veía hermoso.
governor	el gobernador	El gobernador firmó la ley.
graphic	gráfico	La imagen gráfica impactó a los espectadores.
graphics	los gráficos	El juego tiene gráficos simples.
greatly	enormemente	Tu consejo ayudó enormemente.
greenhouse	el invernadero	Los tomates crecen dentro del invernadero.
grocery	la tienda de comestibles	Ella compró comestibles después del trabajo.
guideline	la pauta	La directriz explica la práctica segura.
habitat	el hábitat	El bosque es un hábitat de aves.
harbour	el puerto	El barco entró al puerto.
headquarters	la sede	La sede de la empresa se mudó al centro.
