source_headword	NO	example_NO
heal	å gro	Hvile hjelper kroppen å gro.
healthcare	et helsevesen	Helseutgiftene økte i år.
helmet	en hjelm	Bruk hjelm på sykkelen.
hence	derfor	Derfor endret vi timeplanen.
herb	en urt	Basilikum er en nyttig urt.
hidden	skjult	Nøkkelen var skjult under matten.
highway	en motorvei	Motorveien ble stengt etter snøfall.
hilarious	kjempemorsom	Filmen var kjempemorsom.
hip	en hofte	Hun skadet hoften på trening.
historian	en historiker	Historikeren studerte gamle brev.
homeless	hjemløs	Senteret hjelper hjemløse familier.
honesty	ærlighet	Ærlighet skaper tillit.
hook	en krok	Heng kåpen på kroken.
hopefully	forhåpentligvis	Forhåpentligvis kommer toget snart.
hunger	en sult	Sult kan påvirke konsentrasjonen.
hypothesis	en hypotese	Eksperimentet testet hypotesen.
icon	et ikon	App-ikonet endret seg i dag.
ID	en legitimasjon	Vis legitimasjon i resepsjonen.
identical	identisk	Tvillingene hadde på seg identiske jakker.
illusion	en illusjon	Speilet skaper en illusjon.
immigration	en innvandring	Innvandringspolitikken ble endret i fjor.
immune	immun	Vaksinasjon kan gjøre folk immune.
implement	å implementere	Skolen vil implementere regelen.
implication	en implikasjon	Implikasjonen var tydelig.
incentive	et insentiv	Bonusen ga arbeiderne et insentiv.
incorporate	å innlemme	Innlem flere grønnsaker i måltidene.
incorrect	feil	Svaret var feil.
independence	en uavhengighet	Landet feiret uavhengigheten.
index	en indeks	Sjekk indeksen for emnet.
indication	en indikasjon	Smilet var en indikasjon på lettelse.
inevitable	uunngåelig	Noe forsinkelse var uunngåelig.
inevitably	uunngåelig	Prisene økte uunngåelig etter mangelen.
infer	å slutte	Vi kan slutte oss til svaret fra sammenhengen.
inflation	en inflasjon	Inflasjonen økte matprisene.
info	info	Nettsiden viser nyttig info.
infrastructure	en infrastruktur	Stormen skadet lokal infrastruktur.
inhabitant	en innbygger	Hver innbygger fikk rent vann.
inherit	å arve	Hun vil arve familiehuset.
ink	et blekk	Skriveren trenger svart blekk.
innovation	en innovasjon	Innovasjon driver industrien fremover.
innovative	innovativ	Selskapet lanserte et innovativt produkt.
input	et innspill	Lederen ba om innspill.
insert	å sette inn	Sett kortet inn i maskinen.
inspector	en inspektør	Inspektøren sjekket bygningen.
installation	en installasjon	Installasjonen tok to timer.
instant	umiddelbar	Appen sendte et umiddelbart svar.
instantly	umiddelbart	Skjermen slo seg på umiddelbart.
integrate	å integrere	Programvaren kan integrere nye verktøy.
intellectual	intellektuell	Debatten var intellektuell, men vennlig.
interact	å samhandle	Elevene samhandler under gruppearbeid.
interaction	en interaksjon	Interaksjonen var høflig.
interpretation	en tolkning	Hennes tolkning av diktet var original.
interval	et intervall	Det var et kort intervall mellom aktene.
invade	å invadere	Hæren prøvde å invadere øya.
invasion	en invasjon	Invasjonen skadet mange byer.
investor	en investor	Investoren finansierte en ny oppstart.
isolate	å isolere	Leger isolerer pasienter med alvorlige infeksjoner.
isolated	isolert	Landsbyen var isolert av snø.
jail	et fengsel	Tyven dro i fengsel.
jet	et jetfly	Jetflyet landet klokken tolv.
joint	felles	De annonserte et felles prosjekt.
journalism	en journalistikk	Journalistikk krever nøyaktige fakta.
jury	en jury	Juryen kom til en beslutning.
kit	et sett	Reparasjonssettet inkluderer skruer.
ladder	en stige	Stigen lente seg mot veggen.
landing	en landing	Flyet hadde en myk landing.
lane	et kjørefelt	Hold deg i høyre kjørefelt.
lately	i det siste	Jeg har sovet dårlig i det siste.
leaflet	en brosjyre	Brosjyren forklarer tjenesten.
legend	en legende	Legenden forteller om en skjult by.
lens	en linse	Rengør kameralinsen forsiktig.
lifetime	en levetid	Han sparte penger et helt liv.
lighting	en belysning	God belysning forbedrer rommet.
likewise	likeså	Hun smilte; han gjorde det samme.
limitation	en begrensning	Planen har én begrensning.
literally	bokstavelig talt	Hun løp bokstavelig talt til bussen.
literary	litterær	Festivalen hedrer litterært arbeid.
litre	en liter	Kjøp en liter melk.
litter	et søppel	Ikke kast søppel.
logo	en logo	Logoen vises på hver side.
lottery	et lotteri	Han vant en liten lotteripremie.
loyal	lojal	Hunden var lojal mot eieren sin.
lyric	en sangtekst	Sangteksten gjentok hovedideen.
magnificent	storslått	Palasset så storslått ut.
make-up	en sminke	Hun brukte enkel sminke.
making	en skaping	Lagingen av filmen var vanskelig.
manufacture	å produsere	Fabrikken skal produsere telefoner.
manufacturing	en produksjon	Produksjonsjobber økte lokalt.
marathon	et maraton	Hun fullførte maratonet.
margin	en marg	Skriv notater i margen.
marker	en tusj	Bruk en tusj til etiketten.
martial	kamp-	Han studerer kampsport.
mate	en kompis	Min gamle skolekompis ringte i går.
mayor	en ordfører	Ordføreren åpnet biblioteket.
mechanic	en mekaniker	Mekanikeren reparerte bussen.
mechanical	mekanisk	Klokken har en mekanisk feil.
mechanism	en mekanisme	Låsemekanismen er enkel.
medal	en medalje	Hun vant en gullmedalje.
medication	en medisin	Ta medisin med vann.
membership	et medlemskap	Treningsmedlemskap koster mindre på nettet.
memorable	minneverdig	Turen var minneverdig.
metaphor	en metafor	Diktet bruker en sterk metafor.
miner	en gruvearbeider	Gruvearbeideren jobbet under jorden.
miserable	elendig	Regnet gjorde pikniken elendig.
mode	en modus	Bytt kameraet til nattmodus.
modest	beskjeden	De bor i et beskjedent hus.
monster	et monster	Historien har et skummelt monster.
monthly	månedlig	Vi betaler leie månedlig.
monument	et monument	Monumentet står nær elven.
moreover	dessuten	Dessuten sparer planen penger.
mortgage	et boliglån	De søkte om et boliglån.
mosque	en moské	Moskeen er nær markedet.
motion	en bevegelse	Sensoren oppdager bevegelse.
motivate	å motivere	Ros kan motivere studenter.
motivation	en motivasjon	Hennes motivasjon forble sterk.
moving	rørende	Talen var rørende.
myth	en myte	Myten forklarer fjellets navn.
naked	naken	Babyen var naken etter badet.
nasty	stygg	Kuttet så stygt ut.
navigation	en navigasjon	Appen forbedrer navigasjonen.
nearby	i nærheten	En kafé i nærheten åpner tidlig.
necessity	en nødvendighet	Rent vann er en nødvendighet.
negotiate	å forhandle	De forhandler om kontrakten i morgen.
negotiation	en forhandling	Forhandlingen varte hele morgenen.
neutral	nøytral	Dommeren forble nøytral.
newly	nylig	Den nylig malte døren så lys ut.
norm	en norm	Fjernarbeid ble normen.
notebook	en notatbok	Skriv notater i notatboken din.
novelist	en romanforfatter	Romanforfatteren signerte boken sin.
nowadays	nå til dags	Nå til dags jobber mange på nettet.
nursing	sykepleie	Hun studerer sykepleie.
nutrition	en ernæring	God ernæring støtter helsen.
obesity	en fedme	Fedme øker helserisikoen.
observer	en observatør	Observatøren registrerte resultatene.
obstacle	en hindring	Det falne treet var en hindring.
occupation	et yrke	Vennligst skriv yrket ditt her.
occupy	å flytte inn i	Familien vil flytte inn i leiligheten.
offender	en lovbryter	Lovbryteren ba om unnskyldning i retten.
ongoing	pågående	Etterforskningen er pågående.
openly	åpent	Hun snakket åpent om frykten sin.
opera	en opera	Vi så en opera i Milano.
operator	en operatør	Operatøren koblet samtalen.
optimistic	optimistisk	Hun føler seg optimistisk for fremtiden.
orchestra	et orkester	Orkesteret spilte svakt.
organic	økologisk	De kjøpte økologiske grønnsaker.
outfit	et antrekk	Antrekket hennes passet til anledningen.
output	en produksjon	Maskinens produksjon økte.
outstanding	fremragende	Hans opptreden var fremragende.
overcome	å overvinne	De overvinner problemer sammen.
overnight	over natten	Pakken ankom over natten.
overseas	utenlands	Han fant arbeid utenlands.
ownership	et eierskap	Eierskapet til landet endret seg.
oxygen	et oksygen	Planter produserer oksygen.
packet	en pakke	Åpne pakken forsiktig.
palm	en håndflate	Hold mynten i håndflaten.
panic	en panikk	Panikken spredte seg i folkemengden.
parade	en parade	Paraden startet ved middagstid.
parallel	parallell	Veiene går parallelt.
participation	en deltakelse	Deltakelsen i klassen forbedret seg.
partnership	et partnerskap	Partnerskapet hjalp begge selskaper.
part-time	deltid	Hun fant en deltidsjobb.
passionate	lidenskapelig	Han er lidenskapelig opptatt av musikk.
password	et passord	Velg et sterkt passord.
patience	en tålmodighet	Å undervise små barn krever tålmodighet.
pause	å pause	Pause videoen nå.
peer	en jevnaldrende	Gruppepress påvirket valget hans.
penalty	en straff	Spilleren fikk en straff.
perceive	å oppfatte	Folk oppfatter risiko forskjellig.
perception	en oppfatning	Hans oppfatning av fare endret seg.
permanently	permanent	Butikken stengte permanent.
pill	en pille	Ta en pille etter frokost.
pity	en synd	Det er synd.
placement	en plassering	Plasseringen av sofaen har betydning.
portion	en porsjon	Server en liten porsjon ris.
potentially	potensielt	Denne endringen er potensielt nyttig.
precede	å gå forut for	Mørke skyer går ofte forut for regn.
precious	dyrebar	Ringen er dyrebar.
precise	presis	Instruksjonene var presise.
precisely	presist	Mål avstanden presist.
predictable	forutsigbar	Slutten var forutsigbar.
preference	en preferanse	Hun uttrykte en preferanse for te.
pride	en stolthet	Han følte stolthet etter å ha fullført.
primarily	primært	Kurset er primært på nettet.
principal	en rektor	Rektoren hilste på nye studenter.
prior	forhånds-	Vi trenger forhåndsgodkjenning.
probability	en sannsynlighet	Sannsynligheten for regn er høy.
probable	sannsynlig	Regn er sannsynlig i kveld.
proceed	å fortsette	Vennligst fortsett til neste rom.
programming	en programmering	Programmering krever øvelse.
progressive	progressiv	Politikken var progressiv for sin tid.
prohibit	å forby	Reglene forbyr røyking.
promising	lovende	Resultatene ser lovende ut.
promotion	en forfremmelse	Hun fikk en forfremmelse på jobben.
prompt	rask	Det raske svaret sparte tid.
proportion	en andel	En stor andel stemte ja.
protein	et protein	Bønner inneholder protein.
protester	en demonstrant	Demonstranten holdt et skilt.
psychological	psykologisk	Ulykken forårsaket psykologisk stress.
publicity	en publisitet	Arrangementet fikk publisitet.
publishing	et forlag	Hun jobber i forlagsbransjen.
punk	en punk	Punkmusikk ble populært der.
purely	rent	Valget var rent praktisk.
pursuit	en jakt	Han fortsatte sin jakt på rettferdighet.
puzzle	et puslespill	Puslespillet tok en time.
questionnaire	et spørreskjema	Vennligst fyll ut spørreskjemaet.
racial	rase-	Rapporten diskuterte raseulikhet.
racism	en rasisme	Rasisme skader samfunn.
racist	rasistisk	Kommentaren var rasistisk.
radiation	en stråling	Stråling kan skade celler.
rail	et gelender	Hold i gelenderet i trappen.
random	tilfeldig	Datamaskinen valgte et tilfeldig tall.
rat	en rotte	En rotte løp bak søppeldunkene.
rating	en vurdering	Hotellet har en høy vurdering.
reasonably	rimelig	Rommet var rimelig rent.
rebuild	å gjenoppbygge	De vil gjenoppbygge broen.
receiver	en mottaker	Mottakeren fanget ballen.
recession	en resesjon	Resesjonen reduserte forbruket.
reckon	å regne med	Jeg regner med at toget er forsinket.
recognition	en anerkjennelse	Hun mottok anerkjennelse for arbeidet sitt.
recovery	en bedring	Bedringen tok flere uker.
recruit	å rekruttere	Selskapet vil rekruttere ingeniører.
recruitment	en rekruttering	Rekruttering begynner neste mandag.
referee	en dommer	Dommeren stoppet kampen.
refugee	en flyktning	Flyktningen fant et trygt hjem.
registration	en registrering	Registreringen stenger på fredag.
regulate	å regulere	Loven vil regulere utslipp.
reinforce	å forsterke	Ekstra bjelker forsterker taket.
relieve	å lindre	Medisin kan lindre smerte.
relieved	lettet	Hun følte seg lettet etter samtalen.
remarkable	bemerkelsesverdig	Bedringen var bemerkelsesverdig.
remarkably	bemerkelsesverdig	Han kom seg bemerkelsesverdig raskt.
reporting	en rapportering	Nøyaktig rapportering betyr noe.
resign	å si opp	Lederen vil si opp i morgen.
resolution	en oppløsning	Skjermen har høy oppløsning.
restore	å restaurere	Arbeidere restaurerer det gamle maleriet.
restrict	å begrense	Reglene begrenser parkering.
restriction	en restriksjon	Restriksjonen ender i morgen.
retail	en detaljhandel	Detaljhandelssalget økte.
retirement	en pensjonstilværelse	Hun planla pensjonstilværelsen sin nøye.
revenue	en inntekt	Billettinntektene betalte for reparasjonene.
revision	en repetisjon	Repetisjon hjalp før eksamen.
ridiculous	latterlig	Prisen var latterlig.
risky	risikabel	Planen virket risikabel.
rival	en rival	Vår rival åpnet en ny butikk.
rob	å rane	Mennene prøvde å rane banken.
robbery	et ran	Ranet skjedde om natten.
rocket	en rakett	Raketten ble skutt opp vellykket.
romance	en romanse	Romanen inkluderer en romanse.
rose	en rose	En rød rose vokste ved gjerdet.
roughly	omtrent	Omtrent tjue personer deltok.
ruin	å ødelegge	Regnet kan ødelegge pikniken.
satisfaction	en tilfredshet	Kundetilfredsheten forbedret seg.
scandal	en skandale	Skandalen skadet karrieren hans.
scare	en skrekk	Den høye lyden ga meg en skrekk.
scenario	et scenario	Det verste scenarioet er usannsynlig.
scholar	en forsker	Forskaren studerte eldgamle tekster.
scholarship	et stipend	Hun vant et stipend.
scratch	et kloremerke	Katten la igjen et kloremerke.
screening	en screening	Sykehuset tilbyr kreftscreening.
seeker	en søker	Jobbsøkeren sendte søknader.
seminar	et seminar	Seminaret starter klokken ni.
settler	en nybygger	Nybyggeren bygde en liten gård.
severely	alvorlig	Stormen skadet veiene alvorlig.
sexy	sexy	Kjolen ble ansett som sexy.
shocking	sjokkerende	Nyhetene var sjokkerende.
shore	en strand	Vi gikk langs stranden.
shortage	en mangel	Byen møtte en vannmangel.
shortly	kort tid	Bussen ankom kort tid etter middagstid.
short-term	kortsiktig	Planen har kortsiktige fordeler.
sibling	et søsken	Hvert søsken fikk en gave.
signature	en signatur	Vennligst legg til signaturen din.
significance	en betydning	Oppdagelsen har stor betydning.
skilled	faglært	Faglærte arbeidere reparerte taket.
slogan	et slagord	Kampanjen brukte et enkelt slagord.
so-called	såkalt	Den såkalte eksperten gjorde feil.
somehow	på en eller annen måte	På en eller annen måte forsvant nøklene.
sometime	en gang	Besøk oss en gang neste uke.
sophisticated	avansert	Programvaren er avansert.
spare	ekstra	Vi beholder en ekstra nøkkel.
specialize	å spesialisere seg	Leger spesialiserer seg på forskjellige felt.
specify	å spesifisere	Vennligst spesifiser ankomsttiden din.
spectacular	spektakulær	Fyrverkeriet var spektakulært.
spectator	en tilskuer	Hver tilskuer fikk et program.
speculate	å spekulere	Eksperter spekulerer på årsaken.
speculation	en spekulasjon	Artikkelen oppmuntret til spekulasjon.
spice	et krydder	Tilsett ett krydder av gangen.
spill	å søle	Ikke søl juicen.
spite	en trass	Han lyktes på tross av problemer.
spoil	å ødelegge	For mye salt kan ødelegge suppen.
spokesman	en talsmann	Talsmannen svarte på spørsmål.
spokesperson	en talsperson	Talspersonen leste en uttalelse.
spokeswoman	en talskvinne	Talskvinnen henvendte seg til pressen.
sponsorship	et sponsorat	Laget trenger sponsorat.
sporting	sports-	Byen er vert for sportsarrangementer.
stall	en bod	Markedsboden selger frukt.
stance	et standpunkt	Ministeren endret standpunktet sitt.
starve	å sulte	Uten mat kan dyr sulte.
steadily	jevnt	Selskapet vokste jevnt.
steam	en damp	Damp steg opp fra suppen.
stimulate	å stimulere	Lyse farger kan stimulere interesse.
